Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Чаунская														
														
Итоги голосования 														
														
		Сумма	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56					
1	"Число избирателей, внесенных в список"	4971	1089	1204	1664	140	296	190	388					
2	Число полученных избирательных бюллетеней	5289	1142	1171	1825	156	305	248	442					
3	"Число избирательных бюллетеней, выданных  досрочно"	263	19	0	0	0	43	22	179					
4	"Число избирательных бюллетеней, выданных в день голосования"	2987	616	707	973	134	238	160	159					
5	"Число избирательных бюллетеней, выданных вне помещения"	125	18	57	50	0	0	0	0					
6	Число погашенных избирательных бюллетеней	1914	489	407	802	22	24	66	104					
7	Число избирательных бюллетеней в переносных ящиках	388	37	57	50	0	43	22	179					
8	Число бюллетеней в стационарных ящиках для голосования	2982	616	703	972	134	238	160	159					
9	Число недействительных избирательных бюллетеней	10	1	0	5	2	0	2	0					
10	Число действительных избирательных бюллетеней	3360	652	760	1017	132	281	180	338					
11	Число полученных открепительных  удостоверений	197	45	46	72	5	9	7	13					
12	Число выданных открепительных удостоверений	21	4	5	9	2	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	0	21	3	1	1	4	6					
14	Число неиспользованных открепительных удостоверений	176	41	41	63	3	9	6	13					
15	"Число открепительных удостоверений, выданных в ТИК"	13	3	3	1	0	0	3	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	106	26	24	37	2	8	1	8					
		3.15%	3.98%	3.16%	3.62%	1.49%	2.85%	0.55%	2.37%					
19	. Малышкин Олег Александрович	40	4	16	9	4	2	1	4					
		1.19%	0.61%	2.11%	0.88%	2.99%	0.71%	0.55%	1.18%					
20	. Миронов Сергей Михайлович	15	4	0	7	0	1	0	3					
		0.45%	0.61%	0.00%	0.68%	0.00%	0.36%	0.00%	0.89%					
21	. Путин Владимир Владимирович	2909	551	676	866	116	255	152	293					
		86.32%	84.38%	88.95%	84.74%	86.57%	90.75%	83.52%	86.69%					
22	. Хакамада Ирина Муцуовна	117	31	16	28	5	8	24	5					
		3.47%	4.75%	2.11%	2.74%	3.73%	2.85%	13.19%	1.48%					
23	. Харитонов Николай Михайлович	118	26	15	54	3	5	1	14					
		3.50%	3.98%	1.97%	5.28%	2.24%	1.78%	0.55%	4.14%					
														
24	Против всех	55	10	13	16	2	2	1	11					
		1.63%	1.53%	1.71%	1.57%	1.49%	0.71%	0.55%	3.25%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
