Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Касторенская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524					
1	"Число избирателей, внесенных в список"	19142	983	1672	983	816	1306	1173	1496	277	323	619	268	207	105	456	441	242	287	248	307	481	620	455	474	261	153	376	201	502	251	175	113	962	351	242	374	624	179	139					
2	Число полученных избирательных бюллетеней	17505	900	1550	910	770	1200	1060	1350	260	300	560	245	190	100	410	405	225	260	230	280	440	560	420	430	240	140	340	185	460	230	160	105	860	315	220	340	560	165	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10587	531	868	484	356	655	601	849	129	203	390	149	112	57	262	263	140	160	158	170	310	326	229	234	148	102	283	103	311	195	117	68	575	168	137	235	280	137	92					
5	"Число избирательных бюллетеней, выданных вне помещения"	2024	64	83	74	119	88	68	26	49	21	49	31	36	27	78	80	30	53	36	38	48	47	70	78	39	20	22	62	80	17	31	34	109	91	36	51	115	13	11					
6	Число погашенных избирательных бюллетеней	4894	305	599	352	295	457	391	475	82	76	121	65	42	16	70	62	55	47	36	72	82	187	121	118	53	18	35	20	69	18	12	3	176	56	47	54	165	15	27					
7	Число избирательных бюллетеней в переносных ящиках	2024	64	83	74	119	88	68	26	49	21	49	31	36	27	78	80	30	53	36	38	48	47	70	78	39	20	22	62	80	17	31	34	109	91	36	51	115	13	11					
8	Число бюллетеней в стационарных ящиках для голосования	10586	531	868	484	355	655	601	849	129	203	390	149	112	57	262	263	140	160	158	170	310	326	229	234	148	102	283	103	311	195	117	68	575	168	137	235	280	137	92					
9	Число недействительных избирательных бюллетеней	129	2	7	3	6	6	12	8	0	7	8	2	1	1	0	0	1	4	1	1	7	0	5	6	0	2	7	5	1	0	5	3	6	3	2	2	4	0	1					
10	Число действительных избирательных бюллетеней	12481	593	944	555	468	737	657	867	178	217	431	178	147	83	340	343	169	209	193	207	351	373	294	306	187	120	298	160	390	212	143	99	678	256	171	284	391	150	102					
