Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Южноуральская городская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192					
1	"Число избирателей, внесенных в список"	30683	1016	1182	784	1240	675	1126	1507	1022	1390	1835	2313	2028	2073	2463	1931	2019	1922	1898	2116	143					
2	Число полученных избирательных бюллетеней	30388	1050	1150	760	1200	700	1150	1500	1000	1380	1830	2300	2000	2000	2450	1900	2000	1870	1900	2100	148					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20847	548	623	447	871	467	817	991	679	946	1250	1641	1454	1387	1660	1328	1496	1336	1334	1469	103					
5	"Число избирательных бюллетеней, выданных вне помещения"	1083	41	57	65	55	41	37	41	51	34	75	107	71	57	115	34	43	44	62	53	0					
6	Число погашенных избирательных бюллетеней	8457	461	470	248	274	192	296	468	269	400	505	552	475	556	675	538	461	490	504	578	45					
7	Число избирательных бюллетеней в переносных ящиках	1083	41	57	65	55	41	37	41	51	34	75	107	71	57	115	34	43	44	62	53	0					
8	Число бюллетеней в стационарных ящиках для голосования	20826	548	623	446	869	467	817	991	679	946	1250	1641	1454	1387	1644	1328	1496	1334	1334	1469	103					
9	Число недействительных избирательных бюллетеней	163	6	9	2	5	6	3	10	5	10	8	16	12	13	8	4	15	11	10	7	3					
10	Число действительных избирательных бюллетеней	21746	583	671	509	919	502	851	1022	725	970	1317	1732	1513	1431	1751	1358	1524	1367	1386	1515	100					
11	Число полученных открепительных  удостоверений	400	15	15	15	15	15	15	20	15	20	25	25	25	25	25	25	25	25	25	25	5					
12	Число выданных открепительных удостоверений	160	0	3	1	1	10	6	8	4	9	8	20	11	8	10	11	11	3	14	19	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	209	4	0	1	6	16	1	11	8	11	12	24	13	18	19	11	13	15	14	9	3					
14	Число неиспользованных открепительных удостоверений	240	15	12	14	14	5	9	12	11	11	17	5	14	17	15	14	14	22	11	6	2					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	776	13	10	11	39	22	31	45	33	24	46	62	62	57	50	48	47	63	63	49	1					
		3.54%	2.21%	1.47%	2.15%	4.22%	4.33%	3.63%	4.36%	4.52%	2.45%	3.47%	3.55%	4.07%	3.95%	2.84%	3.52%	3.05%	4.57%	4.51%	3.22%	0.97%					
19	. Малышкин Олег Александрович	614	30	22	27	29	11	17	32	23	30	34	45	36	41	52	49	29	36	36	34	1					
		2.80%	5.09%	3.24%	5.28%	3.14%	2.17%	1.99%	3.10%	3.15%	3.06%	2.57%	2.57%	2.36%	2.84%	2.96%	3.60%	1.88%	2.61%	2.58%	2.23%	0.97%					
20	. Миронов Сергей Михайлович	125	4	3	2	8	1	5	9	1	2	6	6	10	14	10	6	8	12	9	9	0					
		0.57%	0.68%	0.44%	0.39%	0.87%	0.20%	0.59%	0.87%	0.14%	0.20%	0.45%	0.34%	0.66%	0.97%	0.57%	0.44%	0.52%	0.87%	0.64%	0.59%	0.00%					
21	. Путин Владимир Владимирович	14353	419	459	315	617	324	555	621	490	684	828	1169	1023	948	1121	873	1017	833	905	1070	82					
		65.51%	71.14%	67.50%	61.64%	66.77%	63.78%	64.99%	60.17%	67.12%	69.80%	62.49%	66.88%	67.08%	65.65%	63.73%	64.10%	66.08%	60.45%	64.83%	70.30%	79.61%					
22	. Хакамада Ирина Муцуовна	837	15	22	15	41	24	36	56	33	44	55	56	46	51	67	56	59	43	51	66	1					
		3.82%	2.55%	3.24%	2.94%	4.44%	4.72%	4.22%	5.43%	4.52%	4.49%	4.15%	3.20%	3.02%	3.53%	3.81%	4.11%	3.83%	3.12%	3.65%	4.34%	0.97%					
23	. Харитонов Николай Михайлович	3918	86	132	106	137	85	158	198	113	140	307	313	260	238	358	248	275	303	244	205	12					
		17.88%	14.60%	19.41%	20.74%	14.83%	16.73%	18.50%	19.19%	15.48%	14.29%	23.17%	17.91%	17.05%	16.48%	20.35%	18.21%	17.87%	21.99%	17.48%	13.47%	11.65%					
																											
24	Против всех	1123	16	23	33	48	35	49	61	32	46	41	81	76	82	93	78	89	77	78	82	3					
		5.13%	2.72%	3.38%	6.46%	5.19%	6.89%	5.74%	5.91%	4.38%	4.69%	3.09%	4.63%	4.98%	5.68%	5.29%	5.73%	5.78%	5.59%	5.59%	5.39%	2.91%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
