Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Шимановская городская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771					
1	"Число избирателей, внесенных в список избирателей"	15630	1119	1077	1232	1562	1811	1122	1697	1245	1509	1688	1568					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16460	1177	1118	1327	1670	1898	1151	1763	1304	1598	1782	1672					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7766	421	500	699	770	906	707	746	536	820	848	813					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	872	60	90	111	55	94	40	91	51	69	85	126					
6	Число погашенных избирательных бюллетеней	7822	696	528	517	845	898	404	926	717	709	849	733					
7	Число избирательных бюллетеней в переносных ящиках для голосования	872	60	90	111	55	94	40	91	51	69	85	126					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7754	421	500	699	760	906	707	746	535	819	848	813					
9	Число недействительных избирательных бюллетеней	155	10	16	9	24	10	12	14	18	20	13	9					
10	Число действительных избирательных бюллетеней	8471	471	574	801	791	990	735	823	568	868	920	930					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	258	18	18	23	18	43	18	18	18	18	33	33					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	200	11	7	20	13	37	16	10	12	15	26	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	1	3	24	13	7	10	4	7	11	14	5					
14	Число погашенных неиспользованных открепительных удостоверений	58	7	11	3	5	6	2	8	6	3	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	3	2	7	1	5	2	4	1	3	7	5					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	922	58	64	104	93	88	77	82	69	91	102	94					
		10.69%	12.06%	10.85%	12.84%	11.41%	8.80%	10.31%	9.80%	11.77%	10.25%	10.93%	10.01%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1866	120	144	162	154	214	170	181	144	171	199	207					
		21.63%	24.95%	24.41%	20.00%	18.90%	21.40%	22.76%	21.62%	24.57%	19.26%	21.33%	22.04%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	167	5	7	14	18	20	16	17	10	22	20	18					
		1.94%	1.04%	1.19%	1.73%	2.21%	2.00%	2.14%	2.03%	1.71%	2.48%	2.14%	1.92%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1557	86	102	164	148	171	166	143	69	182	156	170					
		18.05%	17.88%	17.29%	20.25%	18.16%	17.10%	22.22%	17.08%	11.77%	20.50%	16.72%	18.10%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	137	6	4	13	18	16	12	12	6	11	16	23					
		1.59%	1.25%	0.68%	1.60%	2.21%	1.60%	1.61%	1.43%	1.02%	1.24%	1.71%	2.45%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3774	189	250	341	352	476	294	385	267	385	422	413					
		43.75%	39.29%	42.37%	42.10%	43.19%	47.60%	39.36%	45.99%	45.56%	43.36%	45.23%	43.98%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	48	7	3	3	8	5	0	3	3	6	5	5					
		0.56%	1.46%	0.51%	0.37%	0.98%	0.50%	0.00%	0.36%	0.51%	0.68%	0.54%	0.53%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
