Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Лесозаводская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557					
1	"Число избирателей, внесенных в список"	38823	964	886	1687	968	1174	1271	1990	1930	1769	1794	1533	1458	1814	1305	1022	658	1964	254	1577	1198	737	2277	1755	557	195	122	504	122	241	121	1059	343	506	288	515	772	541	211	452	289					
2	Число полученных избирательных бюллетеней	35299	855	800	1500	860	1080	1140	1730	1780	1560	1610	1450	1310	1660	1120	910	640	1790	260	1460	1060	680	2050	1590	520	214	122	485	121	245	132	955	315	470	280	480	700	430	210	455	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	379	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	34	26	0	0	36	0	0	119	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23913	493	438	861	475	599	721	1004	1168	1174	1169	1054	928	1068	588	490	359	1575	150	985	729	332	1272	1019	439	172	110	485	107	238	98	716	240	344	233	418	592	340	200	316	214					
5	"Число избирательных бюллетеней, выданных вне помещения"	2038	73	68	97	70	73	21	140	99	34	34	47	68	37	129	78	50	3	25	63	70	114	60	120	78	19	8	0	10	0	5	66	34	29	37	47	42	39	7	12	32					
6	Число погашенных избирательных бюллетеней	8969	289	294	542	315	408	342	586	513	352	407	349	314	555	403	342	231	212	85	412	261	234	718	451	3	23	4	0	4	7	29	65	7	71	10	15	30	51	3	8	24					
7	Число избирательных бюллетеней в переносных ящиках	2417	73	68	97	70	73	77	140	99	34	34	47	68	37	129	78	50	3	25	63	70	114	60	120	78	19	8	0	10	0	5	174	68	55	37	47	78	39	7	131	32					
8	Число бюллетеней в стационарных ящиках для голосования	23902	493	438	861	474	599	721	1003	1165	1174	1169	1054	928	1068	588	487	357	1575	150	985	729	331	1272	1019	439	172	110	485	107	238	98	716	240	344	233	418	592	340	200	316	214					
9	Число недействительных избирательных бюллетеней	244	0	6	11	8	11	7	8	9	10	6	2	5	7	7	1	4	10	0	18	9	3	13	13	6	0	0	9	0	3	1	18	1	7	4	5	11	8	0	3	0					
10	Число действительных избирательных бюллетеней	26075	566	500	947	536	661	791	1135	1255	1198	1197	1099	991	1098	710	564	403	1568	175	1030	790	442	1319	1126	511	191	118	476	117	235	102	872	307	392	266	460	659	371	207	444	246					
11	Число полученных открепительных  удостоверений	589	14	10	14	5	11	20	25	40	13	25	27	21	34	7	7	6	87	4	18	16	15	29	22	6	8	4	4	2	5	3	15	3	5	3	13	10	5	4	17	12					
12	Число выданных открепительных удостоверений	558	13	8	14	5	11	20	24	39	13	25	25	21	33	7	7	6	87	2	18	15	15	28	20	6	8	4	4	1	2	3	10	3	5	1	13	9	4	0	17	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	350	7	9	7	5	4	6	17	18	27	18	6	20	17	18	4	5	14	10	11	23	20	10	5	6	4	4	4	3	5	4	10	1	1	3	3	2	5	4	3	7					
14	Число неиспользованных открепительных удостоверений	31	1	2	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	2	0	1	0	1	2	0	0	0	0	1	3	0	5	0	0	2	0	1	1	4	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	1	0	0	0	1	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
