Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Лениногорская городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1813	УИК №1814	УИК №1816	УИК №1817	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843					
1	"Число избирателей, внесенных в список"	47669	805	1153	842	1160	1121	932	2013	1515	1345	974	1158	1969	2648	1383	1378	2090	974	1106	849	2221	1981	1029	1414	1026	1014	1529	944	1141	1315	1135	885	1258	1481	804	1107	546	956	468					
2	Число полученных избирательных бюллетеней	43330	745	1031	755	1029	1008	875	1803	1345	1218	867	1054	1795	2407	1255	1260	1916	899	977	780	1941	1782	927	1265	933	1108	1385	866	1040	1176	1040	810	1135	1345	720	1003	512	853	470					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36022	545	801	613	894	714	684	1419	1086	1002	711	834	1573	2010	1081	1066	1650	629	932	615	1769	1388	864	1141	859	833	1109	757	889	892	929	745	1052	1034	579	805	417	640	461					
5	"Число избирательных бюллетеней, выданных вне помещения"	1414	33	23	75	35	52	88	49	24	35	27	31	89	114	20	26	72	96	30	33	48	45	34	46	12	27	25	30	4	23	14	8	16	43	17	22	10	38	0					
6	Число погашенных избирательных бюллетеней	5894	167	207	67	100	242	103	335	235	181	129	189	133	283	154	168	194	174	15	132	124	349	29	78	62	248	251	79	147	261	97	57	67	268	124	176	85	175	9					
7	Число избирательных бюллетеней в переносных ящиках	1414	33	23	75	35	52	88	49	24	35	27	31	89	114	20	26	72	96	30	33	48	45	34	46	12	27	25	30	4	23	14	8	16	43	17	22	10	38	0					
8	Число бюллетеней в стационарных ящиках для голосования	36011	545	801	613	894	714	684	1419	1086	1002	708	834	1573	2006	1080	1066	1650	628	932	615	1769	1388	864	1141	859	833	1109	757	887	892	929	745	1052	1034	579	805	417	640	461					
9	Число недействительных избирательных бюллетеней	280	9	0	5	14	4	3	14	12	9	6	10	13	19	5	19	15	5	10	2	12	7	0	13	0	3	17	4	4	0	10	7	6	9	6	2	0	4	2					
10	Число действительных избирательных бюллетеней	37145	569	824	683	915	762	769	1454	1098	1028	729	855	1649	2101	1095	1073	1707	719	952	646	1805	1426	898	1174	871	857	1117	783	887	915	933	746	1062	1068	590	825	427	674	459					
11	Число полученных открепительных  удостоверений	1065	10	25	20	20	20	45	35	30	30	20	30	40	60	30	30	50	25	25	25	50	30	30	30	30	25	30	20	30	30	30	25	30	30	10	30	10	25	0					
12	Число выданных открепительных удостоверений	816	9	13	7	14	11	40	32	23	20	12	27	36	50	27	28	45	25	14	21	39	18	18	25	16	21	26	16	19	14	21	22	20	25	6	24	9	23	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	464	2	2	8	0	10	7	12	7	2	7	6	7	9	4	6	0	3	1	3	4	2	8	4	4	2	3	2	5	3	2	3	2	5	1	3	0	1	314					
14	Число неиспользованных открепительных удостоверений	249	1	12	13	6	9	5	3	7	10	8	3	4	10	3	2	5	0	11	4	11	12	12	5	14	4	4	4	11	16	9	3	10	5	4	6	1	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	23	0	0	1	0	0	1	0	1	0	0	1	0	3	0	0	1	1	1	3	0	3	1	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	1149	15	51	30	12	24	5	71	57	44	21	37	25	21	34	36	52	31	24	5	45	69	14	45	9	17	39	43	4	46	30	9	54	22	25	49	8	11	15					
		3.07%	2.60%	6.19%	4.36%	1.29%	3.13%	0.65%	4.84%	5.14%	4.24%	2.86%	4.28%	1.50%	0.99%	3.09%	3.30%	3.02%	4.28%	2.49%	0.77%	2.48%	4.82%	1.56%	3.79%	1.03%	1.98%	3.44%	5.46%	0.45%	5.03%	3.18%	1.20%	5.06%	2.04%	4.19%	5.93%	1.87%	1.62%	3.25%					
19	. Малышкин Олег Александрович	738	14	33	19	9	23	6	37	36	23	24	15	26	40	35	25	30	16	13	1	14	34	15	35	0	9	31	24	6	33	15	10	28	14	10	16	8	5	6					
		1.97%	2.42%	4.00%	2.76%	0.97%	3.00%	0.78%	2.52%	3.24%	2.22%	3.27%	1.73%	1.56%	1.89%	3.18%	2.29%	1.74%	2.21%	1.35%	0.15%	0.77%	2.37%	1.67%	2.95%	0.00%	1.05%	2.73%	3.05%	0.67%	3.61%	1.59%	1.33%	2.62%	1.30%	1.68%	1.93%	1.87%	0.74%	1.30%					
20	. Миронов Сергей Михайлович	720	8	17	10	10	16	1	37	42	16	6	21	26	46	27	20	29	14	18	1	18	32	8	28	34	28	32	21	9	19	22	9	19	18	23	12	6	4	13					
		1.92%	1.38%	2.06%	1.45%	1.08%	2.09%	0.13%	2.52%	3.78%	1.54%	0.82%	2.43%	1.56%	2.17%	2.45%	1.83%	1.68%	1.93%	1.87%	0.15%	0.99%	2.23%	0.89%	2.36%	3.90%	3.26%	2.82%	2.67%	1.01%	2.08%	2.33%	1.20%	1.78%	1.67%	3.86%	1.45%	1.41%	0.59%	2.82%					
