Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Тоцкая																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720					
1	"Число избирателей, внесенных в список"	34514	2243	2022	1571	103	364	1440	3431	2988	3403	2783	2214	2093	1059	296	232	187	267	320	318	78	86	527	97	150	516	133	66	314	52	248	203	28	411	264	226	214	261	220	333	715	132	51	36	86	323	246	611	217	336					
2	Число полученных избирательных бюллетеней	30899	1932	1804	1402	107	364	1255	2965	2220	2750	2344	1970	1880	963	291	239	189	269	320	323	80	90	513	98	170	518	133	68	316	54	235	224	30	459	268	224	210	261	226	339	722	131	54	41	88	324	251	628	222	335					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21341	1146	1240	852	89	307	1091	1865	1239	1908	1540	1114	1074	720	224	201	180	252	277	298	75	81	350	71	131	407	112	58	285	52	235	203	28	325	207	182	163	216	187	260	579	100	41	36	81	256	184	424	141	254					
5	"Число избирательных бюллетеней, выданных вне помещения"	5057	269	105	71	4	7	92	617	886	422	674	773	534	93	43	20	0	0	20	0	0	0	90	14	19	5	0	0	17	0	0	0	0	23	12	19	13	19	8	12	19	5	0	0	0	0	24	52	30	46					
6	Число погашенных избирательных бюллетеней	4501	517	459	479	14	50	72	483	95	420	130	83	272	150	24	18	9	17	23	25	5	9	73	13	20	106	21	10	14	2	0	21	2	111	49	23	34	26	31	67	124	26	13	5	7	68	43	152	51	35					
7	Число избирательных бюллетеней в переносных ящиках	5057	269	105	71	4	7	92	617	886	422	674	773	534	93	43	20	0	0	20	0	0	0	90	14	19	5	0	0	17	0	0	0	0	23	12	19	13	19	8	12	19	5	0	0	0	0	24	52	30	46					
8	Число бюллетеней в стационарных ящиках для голосования	21336	1146	1240	852	89	307	1091	1865	1239	1908	1540	1110	1074	720	224	201	180	252	277	298	75	81	350	71	131	407	112	58	285	52	235	203	28	325	207	182	163	216	187	260	578	100	41	36	81	256	184	424	141	254					
9	Число недействительных избирательных бюллетеней	154	9	7	6	2	3	5	12	7	12	7	1	6	2	2	2	9	0	1	3	0	0	4	3	0	4	2	0	1	0	2	6	0	2	2	1	1	7	2	4	7	1	0	0	0	1	2	5	0	1					
10	Число действительных избирательных бюллетеней	26239	1406	1338	917	91	311	1178	2470	2118	2318	2207	1882	1602	811	265	219	171	252	296	295	75	81	436	82	150	408	110	58	301	52	233	197	28	346	217	200	175	228	193	268	590	104	41	36	81	255	206	471	171	299					
