Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Санчурская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012					
1	"Число избирателей, внесенных в список"	9890	1605	1823	772	251	220	232	318	648	266	337	592	171	212	369	624	358	195	298	441	158					
2	Число полученных избирательных бюллетеней	10523	1703	1885	791	263	233	242	374	698	301	344	650	188	214	392	649	386	228	337	456	189					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5461	923	1009	450	162	112	138	200	362	160	174	320	92	79	176	305	182	116	182	258	61					
5	"Число избирательных бюллетеней, выданных вне помещения"	2216	128	156	90	65	83	52	80	180	65	107	165	46	112	127	267	153	54	87	125	74					
6	Число погашенных избирательных бюллетеней	2846	652	720	251	36	38	52	94	156	76	63	165	50	23	89	77	51	58	68	73	54					
7	Число избирательных бюллетеней в переносных ящиках	2216	128	156	90	65	83	52	80	180	65	107	165	46	112	127	267	153	54	87	125	74					
8	Число бюллетеней в стационарных ящиках для голосования	5460	923	1009	450	162	112	138	200	362	160	174	320	92	79	176	305	182	116	181	258	61					
9	Число недействительных избирательных бюллетеней	49	11	14	0	0	1	0	3	4	1	0	4	0	0	1	1	1	1	3	3	1					
10	Число действительных избирательных бюллетеней	7627	1040	1151	540	227	194	190	277	538	224	281	481	138	191	302	571	334	169	265	380	134					
11	Число полученных открепительных  удостоверений	96	13	17	6	1	1	3	3	7	3	5	5	3	2	4	6	5	3	3	4	2					
12	Число выданных открепительных удостоверений	71	12	17	2	0	0	1	1	7	1	4	4	2	2	4	3	5	0	3	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	8	13	1	3	0	2	2	2	3	1	2	0	2	2	1	1	2	2	0	1					
14	Число неиспользованных открепительных удостоверений	25	1	0	4	1	1	2	2	0	2	1	1	1	0	0	3	0	3	0	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	230	37	36	18	2	4	0	8	38	4	2	7	4	3	8	21	5	4	9	13	7					
		3.00%	3.52%	3.09%	3.33%	0.88%	2.05%	0.00%	2.86%	7.01%	1.78%	0.71%	1.44%	2.90%	1.57%	2.64%	3.67%	1.49%	2.35%	3.36%	3.39%	5.19%					
19	. Малышкин Олег Александрович	184	28	18	22	6	10	6	10	17	5	3	6	2	5	9	17	10	3	2	4	1					
		2.40%	2.66%	1.55%	4.07%	2.64%	5.13%	3.16%	3.57%	3.14%	2.22%	1.07%	1.24%	1.45%	2.62%	2.97%	2.97%	2.99%	1.76%	0.75%	1.04%	0.74%					
20	. Миронов Сергей Михайлович	82	11	19	5	1	4	1	3	7	2	2	2	0	2	2	3	2	2	4	7	3					
		1.07%	1.05%	1.63%	0.93%	0.44%	2.05%	0.53%	1.07%	1.29%	0.89%	0.71%	0.41%	0.00%	1.05%	0.66%	0.52%	0.60%	1.18%	1.49%	1.83%	2.22%					
21	. Путин Владимир Владимирович	5283	625	727	371	154	148	141	224	354	168	202	349	90	148	238	400	221	147	177	303	96					
		68.82%	59.47%	62.40%	68.70%	67.84%	75.90%	74.21%	80.00%	65.31%	74.67%	71.89%	71.96%	65.22%	77.49%	78.55%	69.93%	65.97%	86.47%	66.04%	79.11%	71.11%					
22	. Хакамада Ирина Муцуовна	105	25	21	5	7	3	4	1	6	1	1	4	2	2	1	6	3	0	6	4	3					
		1.37%	2.38%	1.80%	0.93%	3.08%	1.54%	2.11%	0.36%	1.11%	0.44%	0.36%	0.82%	1.45%	1.05%	0.33%	1.05%	0.90%	0.00%	2.24%	1.04%	2.22%					
23	. Харитонов Николай Михайлович	1602	291	292	118	48	25	37	28	101	44	62	107	38	27	41	114	87	11	63	44	24					
		20.87%	27.69%	25.06%	21.85%	21.15%	12.82%	19.47%	10.00%	18.63%	19.56%	22.06%	22.06%	27.54%	14.14%	13.53%	19.93%	25.97%	6.47%	23.51%	11.49%	17.78%					
																											
24	Против всех	141	23	38	1	9	0	1	3	15	0	9	6	2	4	3	10	6	2	4	5	0					
		1.84%	2.19%	3.26%	0.19%	3.96%	0.00%	0.53%	1.07%	2.77%	0.00%	3.20%	1.24%	1.45%	2.09%	0.99%	1.75%	1.79%	1.18%	1.49%	1.31%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
