Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Оленегорская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
1	"Число избирателей, внесенных в список"	26237	1749	1874	108	2154	2024	1793	1757	1995	2141	1917	1541	1651	1755	1728	54	122	160	1714					
2	Число полученных избирательных бюллетеней	25620	1700	1800	150	2100	2000	1700	1700	1900	2100	1900	1500	1600	1700	1700	60	130	180	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14712	828	988	21	1051	1047	1057	1009	1104	1156	929	797	804	1119	1101	38	93	90	1480					
5	"Число избирательных бюллетеней, выданных вне помещения"	424	18	21	87	5	19	20	21	9	17	8	12	10	18	2	0	0	67	90					
6	Число погашенных избирательных бюллетеней	10484	854	791	42	1044	934	623	670	787	927	963	691	786	563	597	22	37	23	130					
7	Число избирательных бюллетеней в переносных ящиках	424	18	21	87	5	19	20	21	9	17	8	12	10	18	2	0	0	67	90					
8	Число бюллетеней в стационарных ящиках для голосования	14700	828	988	21	1051	1047	1056	1009	1104	1156	929	797	804	1114	1098	38	93	90	1477					
9	Число недействительных избирательных бюллетеней	77	7	16	0	4	5	8	5	4	0	3	6	1	9	3	0	0	0	6					
10	Число действительных избирательных бюллетеней	15047	839	993	108	1052	1061	1068	1025	1109	1173	934	803	813	1123	1097	38	93	157	1561					
11	Число полученных открепительных  удостоверений	740	40	40	0	40	40	40	40	40	40	40	40	40	60	60	10	20	50	100					
12	Число выданных открепительных удостоверений	343	18	24	0	14	16	27	12	13	20	11	18	11	42	26	4	1	32	54					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	169	3	2	86	3	2	7	3	11	8	0	3	3	3	15	12	2	1	5					
14	Число неиспользованных открепительных удостоверений	397	22	16	0	26	24	13	28	27	20	29	22	29	18	34	6	19	18	46					
15	"Число открепительных удостоверений, выданных в ТИК"	20	2	1	0	0	1	0	0	5	0	0	5	2	2	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	487	18	38	4	36	45	32	24	45	30	43	31	30	40	42	0	0	4	25					
		3.22%	2.13%	3.77%	3.70%	3.41%	4.22%	2.97%	2.33%	4.04%	2.56%	4.59%	3.83%	3.69%	3.53%	3.82%	0.00%	0.00%	2.55%	1.60%					
19	. Малышкин Олег Александрович	325	17	27	0	23	28	18	23	28	21	24	12	15	23	31	1	4	2	28					
		2.15%	2.01%	2.68%	0.00%	2.18%	2.63%	1.67%	2.23%	2.52%	1.79%	2.56%	1.48%	1.84%	2.03%	2.82%	2.63%	4.30%	1.27%	1.79%					
20	. Миронов Сергей Михайлович	130	10	11	1	7	8	12	8	16	9	7	11	7	9	9	1	0	1	3					
		0.86%	1.18%	1.09%	0.93%	0.66%	0.75%	1.12%	0.78%	1.44%	0.77%	0.75%	1.36%	0.86%	0.80%	0.82%	2.63%	0.00%	0.64%	0.19%					
21	. Путин Владимир Владимирович	11399	649	752	86	747	787	758	744	771	858	692	580	593	870	846	33	84	132	1417					
		75.37%	76.71%	74.53%	79.63%	70.74%	73.83%	70.45%	72.23%	69.27%	73.15%	73.85%	71.69%	72.85%	76.86%	76.91%	86.84%	90.32%	84.08%	90.43%					
22	. Хакамада Ирина Муцуовна	668	48	43	3	76	50	51	39	58	82	30	47	41	38	37	0	1	4	20					
		4.42%	5.67%	4.26%	2.78%	7.20%	4.69%	4.74%	3.79%	5.21%	6.99%	3.20%	5.81%	5.04%	3.36%	3.36%	0.00%	1.08%	2.55%	1.28%					
23	. Харитонов Николай Михайлович	1392	71	93	12	105	100	156	143	117	117	78	90	88	80	85	3	2	9	43					
		9.20%	8.39%	9.22%	11.11%	9.94%	9.38%	14.50%	13.88%	10.51%	9.97%	8.32%	11.12%	10.81%	7.07%	7.73%	7.89%	2.15%	5.73%	2.74%					
																									
24	Против всех	646	26	29	2	58	43	41	44	74	56	60	32	39	63	47	0	2	5	25					
		4.27%	3.07%	2.87%	1.85%	5.49%	4.03%	3.81%	4.27%	6.65%	4.77%	6.40%	3.96%	4.79%	5.57%	4.27%	0.00%	2.15%	3.18%	1.60%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
