Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Целинная  																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200					
1	"Число избирателей, внесенных в список"	12559	484	186	473	1541	654	270	498	513	338	307	193	767	867	579	1139	1320	1089	753	588					
2	Число полученных избирательных бюллетеней	12867	500	187	487	1542	618	270	491	494	333	301	190	799	902	614	1182	1347	1160	807	643					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8291	355	86	305	829	539	208	379	337	235	179	82	597	630	333	745	684	745	628	395					
5	"Число избирательных бюллетеней, выданных вне помещения"	1471	125	84	131	175	63	62	67	64	82	97	108	41	30	47	36	37	151	24	47					
6	Число погашенных избирательных бюллетеней	3105	20	17	51	538	16	0	45	93	16	25	0	161	242	234	401	626	264	155	201					
7	Число избирательных бюллетеней в переносных ящиках	1471	125	84	131	175	63	62	67	64	82	97	108	41	30	47	36	37	151	24	47					
8	Число бюллетеней в стационарных ящиках для голосования	8291	355	86	305	829	539	208	379	337	235	179	82	597	630	333	745	684	745	628	395					
9	Число недействительных избирательных бюллетеней	24	0	0	0	4	0	1	1	1	0	0	0	2	0	4	2	3	0	2	4					
10	Число действительных избирательных бюллетеней	9738	480	170	436	1000	602	269	445	400	317	276	190	636	660	376	779	718	896	650	438					
11	Число полученных открепительных  удостоверений	294	30	10	20	15	15	15	15	15	15	10	10	15	15	12	21	15	20	15	11					
12	Число выданных открепительных удостоверений	215	30	2	18	11	2	15	15	7	11	3	3	12	14	12	17	9	20	4	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	130	9	1	7	14	9	8	4	13	10	8	3	9	4	2	13	3	4	8	1					
14	Число неиспользованных открепительных удостоверений	79	0	8	2	4	13	0	0	8	4	7	7	3	1	0	4	6	0	11	1					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	141	0	0	5	24	6	1	10	2	0	4	0	6	10	4	18	15	17	13	6					
		1.44%	0.00%	0.00%	1.15%	2.39%	1.00%	0.37%	2.24%	0.50%	0.00%	1.45%	0.00%	0.94%	1.52%	1.05%	2.30%	2.08%	1.90%	1.99%	1.36%					
19	. Малышкин Олег Александрович	97	1	2	0	17	3	1	11	0	1	0	0	3	16	6	3	9	12	8	4					
		0.99%	0.21%	1.18%	0.00%	1.69%	0.50%	0.37%	2.47%	0.00%	0.32%	0.00%	0.00%	0.47%	2.42%	1.58%	0.38%	1.25%	1.34%	1.23%	0.90%					
20	. Миронов Сергей Михайлович	30	0	0	2	3	0	2	2	0	0	0	1	4	1	2	0	4	4	5	0					
		0.31%	0.00%	0.00%	0.46%	0.30%	0.00%	0.74%	0.45%	0.00%	0.00%	0.00%	0.53%	0.63%	0.15%	0.53%	0.00%	0.55%	0.45%	0.77%	0.00%					
21	. Путин Владимир Владимирович	8452	462	158	395	743	564	256	364	372	310	249	186	549	574	326	671	581	775	532	385					
		86.58%	96.25%	92.94%	90.60%	74.00%	93.69%	94.81%	81.61%	92.77%	97.79%	90.22%	97.89%	86.05%	86.97%	85.79%	85.92%	80.58%	86.50%	81.60%	87.10%					
22	. Хакамада Ирина Муцуовна	228	4	0	3	21	7	3	6	6	2	10	1	22	21	7	30	31	19	27	8					
		2.34%	0.83%	0.00%	0.69%	2.09%	1.16%	1.11%	1.35%	1.50%	0.63%	3.62%	0.53%	3.45%	3.18%	1.84%	3.84%	4.30%	2.12%	4.14%	1.81%					
23	. Харитонов Николай Михайлович	693	13	8	29	181	19	5	47	20	3	11	1	41	29	30	47	62	62	53	32					
		7.10%	2.71%	4.71%	6.65%	18.03%	3.16%	1.85%	10.54%	4.99%	0.95%	3.99%	0.53%	6.43%	4.39%	7.89%	6.02%	8.60%	6.92%	8.13%	7.24%					
																										
24	Против всех	97	0	2	2	11	3	1	5	0	1	2	1	11	9	1	10	16	7	12	3					
		0.99%	0.00%	1.18%	0.46%	1.10%	0.50%	0.37%	1.12%	0.00%	0.32%	0.72%	0.53%	1.72%	1.36%	0.26%	1.28%	2.22%	0.78%	1.84%	0.68%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
