Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Красносельская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347					
1	"Число избирателей, внесенных в список"	15408	2256	2259	2257	1306	447	453	842	480	481	539	214	199	214	317	284	574	735	493	264	610	184					
2	Число полученных избирательных бюллетеней	14382	2100	2100	2100	1200	410	420	750	450	450	500	200	200	200	300	270	550	700	480	250	570	182					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7803	1057	1140	1175	704	247	196	379	279	185	210	100	143	150	135	105	322	370	279	171	327	129					
5	"Число избирательных бюллетеней, выданных вне помещения"	1020	50	35	30	29	30	52	57	16	46	97	47	18	15	58	63	111	70	42	16	121	17					
6	Число погашенных избирательных бюллетеней	5559	993	925	895	467	133	172	314	155	219	193	53	39	35	107	102	117	260	159	63	122	36					
7	Число избирательных бюллетеней в переносных ящиках	1020	50	35	30	29	30	52	57	16	46	97	47	18	15	58	63	111	70	42	16	121	17					
8	Число бюллетеней в стационарных ящиках для голосования	7800	1057	1137	1175	704	247	196	379	279	185	210	100	143	150	135	105	322	370	279	171	327	129					
9	Число недействительных избирательных бюллетеней	46	5	1	7	6	0	1	5	2	1	3	0	0	0	0	0	4	4	1	1	3	2					
10	Число действительных избирательных бюллетеней	8774	1102	1171	1198	727	277	247	431	293	230	304	147	161	165	193	168	429	436	320	186	445	144					
11	Число полученных открепительных  удостоверений	198	15	15	15	15	10	10	10	10	10	10	5	8	5	5	5	10	10	10	5	10	5					
12	Число выданных открепительных удостоверений	32	3	5	7	3	0	1	1	3	0	3	1	3	0	0	0	0	0	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	116	4	6	6	2	0	1	54	7	3	5	0	3	1	1	0	2	7	2	1	5	6					
14	Число неиспользованных открепительных удостоверений	166	12	10	8	12	10	9	9	7	10	7	4	5	5	5	5	10	10	10	5	8	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	267	52	48	39	21	1	2	10	11	5	8	3	1	5	3	9	8	10	13	8	7	3					
		3.03%	4.70%	4.10%	3.24%	2.86%	0.36%	0.81%	2.29%	3.73%	2.16%	2.61%	2.04%	0.62%	3.03%	1.55%	5.36%	1.85%	2.27%	4.05%	4.28%	1.56%	2.05%					
19	. Малышкин Олег Александрович	269	23	35	28	24	2	6	12	5	11	4	6	7	6	7	6	45	21	6	2	10	3					
		3.05%	2.08%	2.99%	2.32%	3.27%	0.72%	2.42%	2.75%	1.69%	4.76%	1.30%	4.08%	4.35%	3.64%	3.63%	3.57%	10.39%	4.77%	1.87%	1.07%	2.23%	2.05%					
20	. Миронов Сергей Михайлович	63	7	3	8	5	0	2	5	1	5	4	1	1	0	1	1	5	2	2	3	2	5					
		0.71%	0.63%	0.26%	0.66%	0.68%	0.00%	0.81%	1.15%	0.34%	2.16%	1.30%	0.68%	0.62%	0.00%	0.52%	0.60%	1.15%	0.45%	0.62%	1.60%	0.45%	3.42%					
21	. Путин Владимир Владимирович	6499	824	857	900	518	181	183	326	208	152	218	113	112	116	153	125	303	344	232	148	371	115					
		73.68%	74.44%	73.12%	74.69%	70.67%	65.34%	73.79%	74.77%	70.51%	65.80%	71.01%	76.87%	69.57%	70.30%	79.27%	74.40%	69.98%	78.18%	72.27%	79.14%	82.81%	78.77%					
22	. Хакамада Ирина Муцуовна	171	30	37	22	13	6	0	12	9	2	2	3	1	2	2	2	6	10	5	1	5	1					
		1.94%	2.71%	3.16%	1.83%	1.77%	2.17%	0.00%	2.75%	3.05%	0.87%	0.65%	2.04%	0.62%	1.21%	1.04%	1.19%	1.39%	2.27%	1.56%	0.53%	1.12%	0.68%					
23	. Харитонов Николай Михайлович	1296	142	160	160	129	83	50	52	52	52	66	18	31	30	24	19	57	41	58	14	42	16					
		14.69%	12.83%	13.65%	13.28%	17.60%	29.96%	20.16%	11.93%	17.63%	22.51%	21.50%	12.24%	19.25%	18.18%	12.44%	11.31%	13.16%	9.32%	18.07%	7.49%	9.37%	10.96%					
																												
24	Против всех	209	24	31	41	17	4	4	14	7	3	2	3	8	6	3	6	5	8	4	10	8	1					
		2.37%	2.17%	2.65%	3.40%	2.32%	1.44%	1.61%	3.21%	2.37%	1.30%	0.65%	2.04%	4.97%	3.64%	1.55%	3.57%	1.15%	1.82%	1.25%	5.35%	1.79%	0.68%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
