Выборы Президента Российской Федерации																																																	
																																																	
"Наименование Избирательной комиссии:    Калуга, Московская"																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282					
1	"Число избирателей, внесенных в список"	89693	2572	2829	2815	2583	2667	2747	2007	2357	2607	2780	2863	2888	705	1259	2436	2328	2440	2572	2870	2396	2595	1064	1920	1610	1700	1750	2756	2101	2019	2020	2277	2328	2274	2895	2502	2610	2779	1393	999	504	545	331					
2	Число полученных избирательных бюллетеней	83000	2400	2500	2500	2400	2400	2550	1950	2200	2400	2600	2600	2600	700	1100	2200	2300	2300	2400	2600	2500	2400	1000	1700	1500	1600	1600	2500	2000	1900	1900	2100	2100	2000	2600	2400	2400	2700	1300	900	450	500	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	46281	1239	1305	1428	1300	1385	1472	1026	1051	1212	1397	1378	1373	367	537	1181	1178	1390	1621	1583	1362	1336	436	1112	835	935	880	1502	1049	972	1013	1251	1206	1228	1681	1419	1456	1423	686	433	250	273	120					
5	"Число избирательных бюллетеней, выданных вне помещения"	1248	11	14	10	6	10	19	25	17	13	38	12	24	7	16	20	25	14	11	25	120	31	15	35	27	28	43	43	29	24	25	25	19	90	27	21	14	17	24	129	52	30	63					
6	Число погашенных избирательных бюллетеней	35471	1150	1181	1062	1094	1005	1059	899	1132	1175	1165	1210	1203	326	547	999	1097	896	768	992	1018	1033	549	553	638	637	677	955	922	904	862	824	875	682	892	960	930	1260	590	338	148	197	67					
7	Число избирательных бюллетеней в переносных ящиках	1248	11	14	10	6	10	19	25	17	13	38	12	24	7	16	20	25	14	11	25	120	31	15	35	27	28	43	43	29	24	25	25	19	90	27	21	14	17	24	129	52	30	63					
8	Число бюллетеней в стационарных ящиках для голосования	46242	1239	1305	1428	1300	1385	1471	1026	1051	1212	1396	1375	1372	366	537	1181	1178	1386	1620	1581	1362	1336	436	1111	833	934	877	1500	1049	971	1009	1248	1203	1228	1677	1419	1455	1423	686	433	250	273	120					
9	Число недействительных избирательных бюллетеней	360	10	16	12	6	6	8	6	7	10	16	16	14	7	8	14	6	14	12	10	10	11	5	4	4	11	7	8	14	10	6	5	7	0	8	9	17	5	8	7	4	0	2					
10	Число действительных избирательных бюллетеней	47130	1240	1303	1426	1300	1389	1482	1045	1061	1215	1418	1371	1382	366	545	1187	1197	1386	1619	1596	1472	1356	446	1142	856	951	913	1535	1064	985	1028	1268	1215	1318	1696	1431	1452	1435	702	555	298	303	181					
