Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Шипуновская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867					
1	"Число избирателей, внесенных в список"	27540	387	822	280	821	726	210	291	436	1153	594	137	123	628	220	206	265	382	1006	916	252	307	186	914	490	570	748	1177	870	733	1091	162	758	895	2770	652	2130	2624	608					
2	Число полученных избирательных бюллетеней	26950	400	800	300	800	700	250	300	450	1100	700	150	150	650	250	200	300	400	1000	950	250	300	200	900	500	600	750	1100	900	700	1000	200	800	900	2500	600	2000	2300	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18887	284	601	248	616	527	145	245	307	781	472	103	97	463	210	136	207	297	685	639	215	232	141	655	374	423	594	833	557	537	743	107	531	518	1598	434	1365	1590	377					
5	"Число избирательных бюллетеней, выданных вне помещения"	935	9	36	0	13	37	6	0	17	17	31	0	6	20	10	8	11	8	24	41	0	10	0	41	12	22	15	31	20	16	33	6	32	102	75	37	47	133	9					
6	Число погашенных избирательных бюллетеней	7128	107	163	52	171	136	99	55	126	302	197	47	47	167	30	56	82	95	291	270	35	58	59	204	114	155	141	236	323	147	224	87	237	280	827	129	588	577	214					
7	Число избирательных бюллетеней в переносных ящиках	935	9	36	0	13	37	6	0	17	17	31	0	6	20	10	8	11	8	24	41	0	10	0	41	12	22	15	31	20	16	33	6	32	102	75	37	47	133	9					
8	Число бюллетеней в стационарных ящиках для голосования	18880	284	601	248	616	526	145	245	307	781	472	103	97	463	210	136	207	297	685	638	215	232	141	655	374	423	594	833	557	537	738	107	531	518	1598	434	1365	1590	377					
9	Число недействительных избирательных бюллетеней	149	2	11	0	11	5	1	0	0	9	2	0	0	2	3	2	2	5	7	8	0	2	0	6	0	3	5	8	6	8	4	0	6	1	7	2	12	6	3					
10	Число действительных избирательных бюллетеней	19666	291	626	248	618	558	150	245	324	789	501	103	103	481	217	142	216	300	702	671	215	240	141	690	386	442	604	856	571	545	767	113	557	619	1666	469	1400	1717	383					
