Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Покровская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	648	85	21	20	11	12	13	34	24	24	30	8	10	8	104	15	15	15	23	41	25	15	10	15	25	7	7	9	9	8	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	182	21	9	0	0	0	3	0	3	0	2	0	0	0	93	1	2	0	1	23	9	2	0	0	4	2	0	5	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	13	5	1	1	0	2	1	0	0	3	0	1	0	2	2	4	0	0	2	3	2	0	0	0	0	0	0	0	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	466	64	12	20	11	12	10	34	21	24	28	8	10	8	11	14	13	15	22	18	16	13	10	15	21	5	7	4	8	8	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	794	150	70	22	7	2	29	24	27	10	27	19	8	26	25	25	33	24	14	15	60	31	26	13	27	10	14	16	18	7	15					
		8.50%	9.99%	8.84%	9.87%	6.93%	2.13%	7.57%	9.64%	10.19%	4.02%	7.01%	8.09%	5.19%	7.88%	7.53%	10.04%	10.78%	11.32%	9.21%	6.58%	7.55%	12.97%	10.61%	5.99%	10.71%	5.10%	7.87%	9.82%	10.11%	5.22%	4.92%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1192	232	109	43	12	10	34	32	26	26	42	27	36	46	28	31	29	29	16	29	74	32	26	36	40	27	27	29	17	5	42					
		12.76%	15.46%	13.76%	19.28%	11.88%	10.64%	8.88%	12.85%	9.81%	10.44%	10.91%	11.49%	23.38%	13.94%	8.43%	12.45%	9.48%	13.68%	10.53%	12.72%	9.31%	13.39%	10.61%	16.59%	15.87%	13.78%	15.17%	17.79%	9.55%	3.73%	13.77%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	69	18	6	2	0	0	5	1	2	1	1	0	0	3	3	0	5	2	0	2	5	4	0	2	1	3	2	0	1	0	0					
		0.74%	1.20%	0.76%	0.90%	0.00%	0.00%	1.31%	0.40%	0.75%	0.40%	0.26%	0.00%	0.00%	0.91%	0.90%	0.00%	1.63%	0.94%	0.00%	0.88%	0.63%	1.67%	0.00%	0.92%	0.40%	1.53%	1.12%	0.00%	0.56%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2984	587	378	86	22	26	98	98	65	82	111	68	49	76	73	29	137	82	31	76	334	81	61	75	55	30	38	31	39	24	42					
		31.94%	39.11%	47.73%	38.57%	21.78%	27.66%	25.59%	39.36%	24.53%	32.93%	28.83%	28.94%	31.82%	23.03%	21.99%	11.65%	44.77%	38.68%	20.39%	33.33%	42.01%	33.89%	24.90%	34.56%	21.83%	15.31%	21.35%	19.02%	21.91%	17.91%	13.77%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	55	9	3	0	4	1	2	2	0	4	2	0	0	1	2	2	3	1	0	2	6	3	2	0	0	1	0	0	0	4	1					
		0.59%	0.60%	0.38%	0.00%	3.96%	1.06%	0.52%	0.80%	0.00%	1.61%	0.52%	0.00%	0.00%	0.30%	0.60%	0.80%	0.98%	0.47%	0.00%	0.88%	0.75%	1.26%	0.82%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	2.99%	0.33%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4123	485	208	68	56	55	214	91	141	125	200	118	61	171	200	157	91	69	91	101	298	86	126	90	125	125	92	85	102	89	203					
		44.13%	32.31%	26.26%	30.49%	55.45%	58.51%	55.87%	36.55%	53.21%	50.20%	51.95%	50.21%	39.61%	51.82%	60.24%	63.05%	29.74%	32.55%	59.87%	44.30%	37.48%	35.98%	51.43%	41.47%	49.60%	63.78%	51.69%	52.15%	57.30%	66.42%	66.56%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	34	9	5	0	0	0	1	0	0	1	0	0	0	1	1	0	1	2	0	0	3	0	3	1	2	0	1	2	0	1	0					
		0.36%	0.60%	0.63%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.30%	0.30%	0.00%	0.33%	0.94%	0.00%	0.00%	0.38%	0.00%	1.22%	0.46%	0.79%	0.00%	0.56%	1.23%	0.00%	0.75%	0.00%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
