Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Итум-Калинская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №144	УИК №145	УИК №146	УИК №414	УИК №415	УИК №416					
1	"Число избирателей, внесенных в список"	5097	796	390	160	176	376	88	232	115	1014	568	578	604					
2	Число полученных избирательных бюллетеней	5160	796	398	163	176	385	88	232	117	1031	580	590	604					
3	"Число избирательных бюллетеней, выданных  досрочно"	1283	0	0	0	0	0	0	0	0	0	500	465	318					
4	"Число избирательных бюллетеней, выданных в день голосования"	3567	796	376	160	176	376	88	232	115	841	61	106	240					
5	"Число избирательных бюллетеней, выданных вне помещения"	38	0	0	0	0	0	0	0	0	38	0	0	0					
6	Число погашенных избирательных бюллетеней	272	0	22	3	0	9	0	0	2	152	19	19	46					
7	Число избирательных бюллетеней в переносных ящиках	1321	0	0	0	0	0	0	0	0	38	500	465	318					
8	Число бюллетеней в стационарных ящиках для голосования	3567	796	376	160	176	376	88	232	115	841	61	106	240					
9	Число недействительных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	1	0	0	0					
10	Число действительных избирательных бюллетеней	4887	796	376	160	176	376	88	232	115	878	561	571	558					
11	Число полученных открепительных  удостоверений	150	0	0	0	0	0	0	0	0	128	7	5	10					
12	Число выданных открепительных удостоверений	102	0	0	0	0	0	0	0	0	80	7	5	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	0	0	0	0	0	0	0	0	79	0	0	0					
14	Число неиспользованных открепительных удостоверений	48	0	0	0	0	0	0	0	0	48	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	34	8	9	1	0	3	0	5	3	1	1	2	1					
		0.70%	1.01%	2.39%	0.62%	0.00%	0.80%	0.00%	2.16%	2.61%	0.11%	0.18%	0.35%	0.18%					
19	. Малышкин Олег Александрович	55	4	3	4	4	2	1	5	0	11	10	3	8					
		1.13%	0.50%	0.80%	2.50%	2.27%	0.53%	1.14%	2.16%	0.00%	1.25%	1.78%	0.53%	1.43%					
20	. Миронов Сергей Михайлович	19	1	0	2	2	0	3	2	1	2	3	1	2					
		0.39%	0.13%	0.00%	1.25%	1.14%	0.00%	3.41%	0.86%	0.87%	0.23%	0.53%	0.18%	0.36%					
21	. Путин Владимир Владимирович	4542	721	346	144	164	370	70	186	109	815	533	548	536					
		92.92%	90.58%	92.02%	90.00%	93.18%	98.40%	79.55%	80.17%	94.78%	92.72%	95.01%	95.97%	96.06%					
22	. Хакамада Ирина Муцуовна	78	14	9	6	2	1	9	7	2	12	4	9	3					
		1.60%	1.76%	2.39%	3.75%	1.14%	0.27%	10.23%	3.02%	1.74%	1.37%	0.71%	1.58%	0.54%					
23	. Харитонов Николай Михайлович	75	7	9	0	3	0	2	27	0	19	1	2	5					
		1.53%	0.88%	2.39%	0.00%	1.70%	0.00%	2.27%	11.64%	0.00%	2.16%	0.18%	0.35%	0.90%					
																			
24	Против всех	84	41	0	3	1	0	3	0	0	18	9	6	3					
		1.72%	5.15%	0.00%	1.88%	0.57%	0.00%	3.41%	0.00%	0.00%	2.05%	1.60%	1.05%	0.54%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
