Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Заинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509					
1	"Число избирателей, внесенных в список"	11430	316	110	166	142	146	252	159	83	264	317	273	191	151	162	360	114	694	227	572	294	350	369	387	580	611	318	294	745	265	229	91	287	349	446	222	272	163	147	312					
2	Число полученных избирательных бюллетеней	11424	315	110	166	142	146	252	159	83	265	318	274	184	151	162	361	114	695	222	576	294	352	370	388	585	611	318	294	742	266	233	90	288	346	448	220	268	163	143	310					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11115	315	105	150	142	146	248	151	83	239	271	272	184	151	162	352	110	673	215	560	283	350	352	375	567	594	318	294	732	265	212	82	284	346	443	216	262	163	138	310					
5	"Число избирательных бюллетеней, выданных вне помещения"	242	0	5	16	0	0	4	8	0	24	44	0	0	0	0	8	4	5	7	12	9	0	17	8	10	17	0	0	10	0	13	8	0	0	0	2	6	0	5	0					
6	Число погашенных избирательных бюллетеней	67	0	0	0	0	0	0	0	0	2	3	2	0	0	0	1	0	17	0	4	2	2	1	5	8	0	0	0	0	1	8	0	4	0	5	2	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	242	0	5	16	0	0	4	8	0	24	44	0	0	0	0	8	4	5	7	12	9	0	17	8	10	17	0	0	10	0	13	8	0	0	0	2	6	0	5	0					
8	Число бюллетеней в стационарных ящиках для голосования	11115	315	105	150	142	146	248	151	83	239	271	272	184	151	162	352	110	673	215	560	283	350	352	375	567	594	318	294	732	265	212	82	284	346	443	216	262	163	138	310					
9	Число недействительных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	11355	315	110	166	142	146	252	159	83	263	315	272	184	151	162	360	114	677	222	572	292	349	369	383	577	611	318	294	742	265	225	90	284	346	443	218	268	163	143	310					
11	Число полученных открепительных  удостоверений	500	13	13	13	13	12	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	12	12	12	12	12	12					
12	Число выданных открепительных удостоверений	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	2	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	4	6	0	1	0	0	0	0	3	1	1	10	0	1	1	0	4	0	2	4	1	4	4					
14	Число неиспользованных открепительных удостоверений	492	13	13	13	13	12	13	13	13	13	13	12	13	13	13	13	13	12	13	13	13	13	13	13	13	13	11	11	12	13	13	13	13	13	11	12	12	12	12	12					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
