Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Краснослободская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
1	"Число избирателей, внесенных в список"	21815	1500	1636	1493	1072	1051	1408	558	454	227	796	170	77	513	322	576	443	463	219	229	190	1070	140	550	465	402	148	964	683	536	409	732	392	1014	293	233	387					
2	Число полученных избирательных бюллетеней	22000	1500	1600	1500	1000	1000	1400	570	470	230	810	180	80	520	330	590	455	480	230	240	200	1100	155	570	470	410	155	970	700	555	430	740	400	1010	310	240	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19330	1351	1545	1286	904	815	1221	478	426	161	736	124	77	476	320	527	438	418	206	225	164	934	115	523	388	364	114	877	622	502	408	653	212	996	246	193	285					
5	"Число избирательных бюллетеней, выданных вне помещения"	1838	30	47	146	78	152	145	72	20	64	44	43	0	37	2	40	3	43	0	0	26	108	25	22	65	22	33	68	50	25	0	69	178	0	43	40	98					
6	Число погашенных избирательных бюллетеней	832	119	8	68	18	33	34	20	24	5	30	13	3	7	8	23	14	19	24	15	10	58	15	25	17	24	8	25	28	28	22	18	10	14	21	7	17					
7	Число избирательных бюллетеней в переносных ящиках	1838	30	47	146	78	152	145	72	20	64	44	43	0	37	2	40	3	43	0	0	26	108	25	22	65	22	33	68	50	25	0	69	178	0	43	40	98					
8	Число бюллетеней в стационарных ящиках для голосования	19330	1351	1545	1286	904	815	1221	478	426	161	736	124	77	476	320	527	438	418	206	225	164	934	115	523	388	364	114	877	622	502	408	653	212	996	246	193	285					
9	Число недействительных избирательных бюллетеней	317	5	122	2	0	0	0	2	4	2	2	11	0	2	0	4	3	6	41	2	0	8	5	1	27	0	0	1	40	0	0	0	0	3	2	22	0					
10	Число действительных избирательных бюллетеней	20851	1376	1470	1430	982	967	1366	548	442	223	778	156	77	511	322	563	438	455	165	223	190	1034	135	544	426	386	147	944	632	527	408	722	390	993	287	211	383					
