Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Муслюмовская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070					
1	"Число избирателей, внесенных в список"	16159	759	671	895	883	877	953	279	232	487	315	103	77	401	158	526	147	410	242	434	432	92	119	280	310	205	180	218	325	232	95	92	249	232	310	542	146	652	297	365	556	310	427	284	360					
2	Число полученных избирательных бюллетеней	16198	758	665	882	885	862	945	281	232	491	315	105	77	411	158	532	147	412	244	436	438	94	120	280	312	208	182	220	327	232	101	94	249	234	312	547	146	656	297	369	555	309	428	287	363					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15410	662	639	843	861	832	904	272	218	456	302	103	77	383	152	526	147	410	242	376	427	92	119	224	310	203	166	213	321	230	94	90	228	232	307	439	146	652	291	365	515	303	418	264	356					
5	"Число избирательных бюллетеней, выданных вне помещения"	625	77	25	36	9	29	12	7	14	31	13	0	0	15	6	0	0	0	0	58	5	0	0	56	0	0	14	5	4	2	0	2	21	0	0	103	0	0	6	0	40	6	5	20	4					
6	Число погашенных избирательных бюллетеней	163	19	1	3	15	1	29	2	0	4	0	2	0	13	0	6	0	2	2	2	6	2	1	0	2	5	2	2	2	0	7	2	0	2	5	5	0	4	0	4	0	0	5	3	3					
7	Число избирательных бюллетеней в переносных ящиках	625	77	25	36	9	29	12	7	14	31	13	0	0	15	6	0	0	0	0	58	5	0	0	56	0	0	14	5	4	2	0	2	21	0	0	103	0	0	6	0	40	6	5	20	4					
8	Число бюллетеней в стационарных ящиках для голосования	15410	662	639	843	861	832	904	272	218	456	302	103	77	383	152	526	147	410	242	376	427	92	119	224	310	203	166	213	321	230	94	90	228	232	307	439	146	652	291	365	515	303	418	264	356					
9	Число недействительных избирательных бюллетеней	52	9	0	0	2	0	0	0	0	0	2	0	0	0	0	3	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	9	5	0	1	0	1	0	0	1	0	3	1					
10	Число действительных избирательных бюллетеней	15983	730	664	879	868	861	916	279	232	487	313	103	77	398	158	523	147	402	242	429	432	92	119	280	310	203	180	218	325	232	94	92	247	223	302	542	145	652	296	365	555	308	423	281	359					
11	Число полученных открепительных  удостоверений	434	20	20	20	20	20	25	7	7	13	9	3	2	12	4	15	4	12	6	12	12	3	3	6	9	6	6	6	9	6	3	3	6	6	9	15	4	18	9	10	15	9	12	8	10					
12	Число выданных открепительных удостоверений	80	7	2	4	11	6	9	1	0	10	1	1	0	8	1	0	0	0	0	2	0	1	0	0	2	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	4	1	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	6	2	3	4	2	2	0	2	2	1	0	1	0	0	0	1	0	1	3	0	1	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	13	0	0	3	0					
14	Число неиспользованных открепительных удостоверений	354	13	18	16	9	14	16	6	7	3	8	2	2	4	3	15	4	12	6	10	12	2	3	6	7	5	6	6	9	6	2	3	5	6	9	14	4	18	9	9	11	8	10	6	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	61	5	0	3	2	3	2	0	0	0	1	0	0	6	0	1	0	4	0	0	0	0	0	1	5	1	0	0	0	1	0	0	0	0	5	3	0	2	0	0	6	4	2	2	2					
		0.38%	0.68%	0.00%	0.34%	0.23%	0.35%	0.22%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	1.51%	0.00%	0.19%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	1.61%	0.49%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	1.63%	0.55%	0.00%	0.31%	0.00%	0.00%	1.08%	1.29%	0.47%	0.70%	0.56%					
19	. Малышкин Олег Александрович	26	0	0	3	0	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	1	1	1	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	1	2	0	0					
		0.16%	0.00%	0.00%	0.34%	0.00%	0.23%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.36%	0.32%	0.49%	0.00%	0.92%	0.00%	0.43%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.68%	0.15%	0.00%	0.00%	0.00%	0.32%	0.47%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	37	0	3	2	1	2	3	0	0	0	1	0	1	0	0	1	0	2	0	0	2	0	4	2	1	0	0	1	0	1	0	0	0	0	0	1	0	2	3	0	0	2	0	1	1					
		0.23%	0.00%	0.45%	0.23%	0.11%	0.23%	0.33%	0.00%	0.00%	0.00%	0.32%	0.00%	1.30%	0.00%	0.00%	0.19%	0.00%	0.49%	0.00%	0.00%	0.46%	0.00%	3.36%	0.71%	0.32%	0.00%	0.00%	0.46%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.31%	1.01%	0.00%	0.00%	0.65%	0.00%	0.35%	0.28%					
21	. Путин Владимир Владимирович	15630	716	651	861	852	840	897	274	226	478	307	98	76	390	153	513	143	394	237	428	424	92	114	268	296	200	177	213	320	227	90	88	244	222	292	531	141	643	292	365	543	294	415	256	349					
		97.47%	96.89%	98.04%	97.95%	97.93%	97.56%	97.93%	98.21%	97.41%	98.15%	97.46%	95.15%	98.70%	97.99%	96.84%	97.53%	97.28%	96.10%	97.93%	98.62%	98.15%	100.00%	95.80%	95.71%	95.48%	98.52%	98.33%	97.71%	98.46%	97.84%	95.74%	95.65%	97.99%	95.69%	95.11%	97.97%	96.58%	98.62%	98.32%	100.00%	97.84%	95.15%	98.11%	90.14%	96.94%					
