Выборы Президента Российской Федерации																																																																		
Дата голосования: 02.03.2008																																																																		
																																																																		
Наименование Избирательной комиссии:    Cемилукская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
	Число участковых избирательных комиссий	55																																																																
	Число участковых избирательных комиссий, приступивших к передаче сведений	55																																																																
																																																																		
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553	УИК №3554	УИК №3555									
		0.77%	1.04%	1.24%	1.15%	1.86%	0.69%	0.27%	0.91%	1.00%	1.29%	1.39%	0.66%	0.57%	0.36%	0.74%	0.00%	0.51%	0.33%	0.59%	1.08%	0.27%	0.28%	0.27%	1.22%	0.63%	0.15%	0.99%	0.16%	1.07%	0.70%	0.37%	0.00%	0.00%	0.00%	1.29%	0.92%	0.47%	0.51%	1.21%	0.00%	0.30%	0.70%	0.00%	0.00%	1.49%	1.00%	1.36%	1.20%	0.00%	0.53%	0.90%	1.67%	0.95%	1.38%	1.38%	0.98%									
19	Жириновский Владимир Вольфович	3280	167	92	50	87	162	154	110	202	222	15	95	18	54	68	45	37	51	115	53	58	73	48	1	50	49	13	9	9	36	13	29	6	47	24	24	22	56	27	41	107	77	3	14	17	27	21	16	13	10	121	99	102	24	106	91									
		9.67%	12.36%	11.39%	14.41%	10.78%	11.14%	10.56%	9.13%	12.66%	12.98%	10.42%	10.52%	5.16%	19.49%	12.62%	13.98%	18.97%	8.40%	9.74%	9.52%	5.21%	6.75%	13.11%	1.22%	15.77%	7.39%	6.40%	1.48%	2.41%	8.37%	4.76%	16.86%	4.88%	12.84%	10.34%	3.68%	3.46%	9.57%	10.93%	12.13%	7.96%	6.77%	1.62%	4.26%	12.69%	6.77%	7.12%	6.43%	5.68%	5.26%	13.63%	9.75%	12.10%	11.06%	12.17%	9.86%									
20	Зюганов Геннадий Андреевич	7601	402	257	77	269	425	416	405	437	435	31	201	39	40	71	41	30	119	246	120	140	133	52	22	40	117	24	71	24	95	52	34	7	55	17	28	39	117	34	38	399	202	15	43	32	172	94	49	41	49	253	302	196	46	237	271									
		22.41%	29.76%	31.81%	22.19%	33.33%	29.23%	28.51%	33.61%	27.40%	25.44%	21.53%	22.26%	11.17%	14.44%	13.17%	12.73%	15.38%	19.60%	20.83%	21.54%	12.57%	12.30%	14.21%	26.83%	12.62%	17.65%	11.82%	11.70%	6.42%	22.09%	19.05%	19.77%	5.69%	15.03%	7.33%	4.29%	6.13%	20.00%	13.77%	11.24%	29.67%	17.77%	8.11%	13.07%	23.88%	43.11%	31.86%	19.68%	17.90%	25.79%	28.49%	29.75%	23.25%	21.20%	27.21%	29.36%									
21	Медведев Дмитрий Анатольевич	22472	754	436	211	432	841	878	671	917	1017	95	597	290	181	389	235	127	431	804	374	913	866	265	57	223	492	164	526	337	295	204	103	109	263	186	593	569	404	183	255	832	834	167	272	83	194	176	118	173	126	499	584	537	141	504	545									
		66.25%	55.81%	53.96%	60.81%	53.53%	57.84%	60.18%	55.68%	57.49%	59.47%	65.97%	66.11%	83.09%	65.34%	72.17%	72.98%	65.13%	71.00%	68.08%	67.15%	81.96%	80.11%	72.40%	69.51%	70.35%	74.21%	80.79%	86.66%	90.11%	68.60%	74.73%	59.88%	88.62%	71.86%	80.17%	90.81%	89.47%	69.06%	74.09%	75.44%	61.86%	73.35%	90.27%	82.67%	61.94%	48.62%	59.66%	47.39%	75.55%	66.32%	56.19%	57.54%	63.70%	64.98%	57.86%	59.05%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
