Выборы Президента Российской Федерации																																												
																																												
"Наименование Избирательной комиссии:    Ярославль, Ленинская"																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193					
1	"Число избирателей, внесенных в список"	55396	2017	1834	1687	1587	2327	2207	2107	2499	2338	2027	2084	1973	2071	2151	2198	2185	2156	2035	1969	1784	1732	1792	1927	1893	2336	2112	1381	102	184	56	42	126	63	71	66	126	151					
2	Число полученных избирательных бюллетеней	50324	1865	1658	1551	1438	2115	1992	1900	2284	2120	1850	1884	1797	1882	1953	1993	1928	1961	1852	1784	1628	1576	1634	1748	1708	2110	1904	1224	105	191	55	47	132	53	56	64	130	152					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30321	881	1034	889	786	1378	1257	1283	1490	1250	1214	1157	976	1201	1108	1187	1233	1107	1120	1137	1047	966	984	1014	957	1223	944	822	93	73	50	0	106	36	43	41	84	150					
5	"Число избирательных бюллетеней, выданных вне помещения"	1755	20	28	39	45	91	96	73	62	83	61	48	62	46	92	64	73	46	66	65	40	58	34	40	27	21	64	45	9	108	0	42	12	17	13	23	42	0					
6	Число погашенных избирательных бюллетеней	18248	964	596	623	607	646	639	544	732	787	575	679	759	635	753	742	622	808	666	582	541	552	616	694	724	866	896	357	3	10	5	5	14	0	0	0	4	2					
7	Число избирательных бюллетеней в переносных ящиках	1755	20	28	39	45	91	96	73	62	83	61	48	62	46	92	64	73	46	66	65	40	58	34	40	27	21	64	45	9	108	0	42	12	17	13	23	42	0					
8	Число бюллетеней в стационарных ящиках для голосования	30287	881	1034	889	772	1376	1257	1283	1489	1250	1212	1156	970	1199	1108	1186	1233	1104	1119	1136	1047	966	984	1014	957	1223	944	822	93	73	50	0	106	36	43	41	84	150					
9	Число недействительных избирательных бюллетеней	296	9	16	5	11	9	11	11	11	8	13	8	13	12	8	9	6	17	10	13	11	10	7	17	13	16	0	8	1	3	0	1	4	0	0	1	0	4					
10	Число действительных избирательных бюллетеней	31746	892	1046	923	806	1458	1342	1345	1540	1325	1260	1196	1019	1233	1192	1241	1300	1133	1175	1188	1076	1014	1011	1037	971	1228	1008	859	101	178	50	41	114	53	56	63	126	146					
