Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Кукморская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754					
1	"Число избирателей, внесенных в список"	37895	362	229	609	219	259	1542	241	140	741	583	382	539	354	329	256	290	613	175	390	165	685	490	270	281	829	284	659	477	400	291	542	269	477	508	468	253	190	606	262	206	373	708	529	285	482	143	288	520	179	409	626	349	454	340	349	229	485	272	551	451	1279	1515	1681	1269	1958	1693	2376	702	535					
2	Число полученных избирательных бюллетеней	38042	366	229	617	219	261	1544	240	141	754	618	381	542	356	330	257	290	626	180	391	168	688	489	273	295	823	284	659	474	402	287	549	271	479	510	469	243	192	614	265	207	375	713	536	291	494	145	289	527	184	409	631	353	456	343	353	234	487	273	554	450	1276	1502	1695	1263	1975	1679	2347	682	543					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31040	337	206	492	200	249	1456	210	127	694	563	350	492	324	314	240	266	570	165	369	148	649	436	254	276	689	271	652	439	372	274	522	260	438	476	423	213	166	487	241	186	340	550	429	250	321	127	281	352	176	386	575	323	403	303	309	202	427	241	485	385	875	1099	1081	761	1482	1138	1388	506	349					
5	"Число избирательных бюллетеней, выданных вне помещения"	2237	25	23	102	15	10	50	20	13	32	20	11	29	17	10	11	12	35	10	19	13	36	47	12	5	30	10	2	16	17	11	15	9	26	10	18	11	14	49	18	17	14	108	91	31	117	7	0	42	0	17	42	19	43	31	36	17	41	31	62	53	106	71	92	39	49	82	56	69	21					
6	Число погашенных избирательных бюллетеней	4765	4	0	23	4	2	38	10	1	28	35	20	21	15	6	6	12	21	5	3	7	3	6	7	14	104	3	5	19	13	2	12	2	15	24	28	19	12	78	6	4	21	55	16	10	56	11	8	133	8	6	14	11	10	9	8	15	19	1	7	12	295	332	522	463	444	459	903	107	173					
7	Число избирательных бюллетеней в переносных ящиках	2237	25	23	102	15	10	50	20	13	32	20	11	29	17	10	11	12	35	10	19	13	36	47	12	5	30	10	2	16	17	11	15	9	26	10	18	11	14	49	18	17	14	108	91	31	117	7	0	42	0	17	42	19	43	31	36	17	41	31	62	53	106	71	92	39	49	82	56	69	21					
8	Число бюллетеней в стационарных ящиках для голосования	31028	337	206	492	200	249	1456	210	127	694	563	350	492	324	314	240	266	570	165	369	148	643	436	254	276	689	271	652	439	372	274	522	260	438	476	423	213	166	487	241	186	340	550	429	250	321	127	281	351	176	386	575	323	403	303	309	202	427	241	485	385	875	1099	1081	761	1482	1138	1383	506	349					
9	Число недействительных избирательных бюллетеней	225	0	0	0	0	0	8	2	0	0	0	3	0	0	1	0	0	1	1	0	0	0	0	1	0	2	0	5	3	0	0	15	0	1	0	15	0	3	1	0	3	3	2	0	0	0	0	2	7	0	1	0	2	6	1	1	0	0	0	0	2	6	9	9	12	74	14	0	2	7					
10	Число действительных избирательных бюллетеней	33040	362	229	594	215	259	1498	228	140	726	583	358	521	341	323	251	278	604	174	388	161	679	483	265	281	717	281	649	452	389	285	522	269	463	486	426	224	177	535	259	200	351	656	520	281	438	134	279	386	176	402	617	340	440	333	344	219	468	272	547	436	975	1161	1164	788	1457	1206	1439	573	363					
