Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Ирбитская городская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №2610	УИК №2611	УИК №2612	УИК №2613					
1	"Число избирателей, внесенных в список"	35464	2190	1856	1883	1892	1888	1650	1844	1817	1764	1768	1682	1653	1778	1643	1746	1745	1597	1777	1591	1700					
2	Число полученных избирательных бюллетеней	35300	1840	1830	1820	1840	1840	1670	1820	1830	1780	1800	1700	1700	1820	1640	1740	1790	1600	1780	1690	1770					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17352	616	759	879	827	957	956	996	749	891	848	1028	1009	800	871	892	895	712	992	835	840					
5	"Число избирательных бюллетеней, выданных вне помещения"	1283	341	87	47	136	34	50	23	59	36	34	22	32	52	45	44	46	43	52	46	54					
6	Число погашенных избирательных бюллетеней	16665	883	984	894	877	849	664	801	1022	853	918	650	659	968	724	804	849	845	736	809	876					
7	Число избирательных бюллетеней в переносных ящиках	1283	341	87	47	136	34	50	23	59	36	34	22	32	52	45	44	46	43	52	46	54					
8	Число бюллетеней в стационарных ящиках для голосования	17351	616	759	879	827	957	956	996	749	891	848	1028	1009	800	871	892	895	711	992	835	840					
9	Число недействительных избирательных бюллетеней	178	27	6	18	8	4	3	10	9	5	11	14	8	5	7	8	6	9	3	10	7					
10	Число действительных избирательных бюллетеней	18456	930	840	908	955	987	1003	1009	799	922	871	1036	1033	847	909	928	935	745	1041	871	887					
11	Число полученных открепительных  удостоверений	684	30	30	30	25	30	30	30	30	30	30	30	40	25	30	30	30	30	30	30	114					
12	Число выданных открепительных удостоверений	315	9	21	4	10	9	18	17	7	24	27	13	38	9	24	7	13	12	11	28	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	228	18	15	10	14	11	15	10	11	10	11	11	18	7	10	10	5	10	9	13	10					
14	Число неиспользованных открепительных удостоверений	369	21	9	26	15	21	12	13	23	6	3	17	2	16	6	23	17	18	19	2	100					
15	"Число открепительных удостоверений, выданных в ТИК"	16	1	0	0	0	1	2	1	0	0	0	2	1	0	1	0	5	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	609	13	21	20	19	26	44	41	24	42	16	43	54	22	41	35	31	22	27	38	30					
		3.27%	1.36%	2.48%	2.16%	1.97%	2.62%	4.37%	4.02%	2.97%	4.53%	1.81%	4.10%	5.19%	2.58%	4.48%	3.74%	3.29%	2.92%	2.59%	4.31%	3.36%					
19	. Малышкин Олег Александрович	499	24	17	32	32	29	15	35	29	18	26	26	30	29	19	39	23	16	23	13	24					
		2.68%	2.51%	2.01%	3.46%	3.32%	2.93%	1.49%	3.43%	3.59%	1.94%	2.95%	2.48%	2.88%	3.40%	2.07%	4.17%	2.44%	2.12%	2.20%	1.48%	2.68%					
20	. Миронов Сергей Михайлович	99	10	3	6	7	5	5	5	9	6	2	8	4	1	2	5	8	2	3	3	5					
		0.53%	1.04%	0.35%	0.65%	0.73%	0.50%	0.50%	0.49%	1.11%	0.65%	0.23%	0.76%	0.38%	0.12%	0.22%	0.53%	0.85%	0.27%	0.29%	0.34%	0.56%					
21	. Путин Владимир Владимирович	14643	771	698	755	808	760	793	785	645	701	718	761	740	697	738	715	755	605	820	693	685					
		78.58%	80.56%	82.51%	81.53%	83.90%	76.69%	78.83%	77.04%	79.83%	75.62%	81.41%	72.48%	71.09%	81.81%	80.57%	76.39%	80.23%	80.24%	78.54%	78.66%	76.62%					
22	. Хакамада Ирина Муцуовна	573	23	21	24	24	31	34	44	25	31	23	31	44	15	26	27	27	23	20	53	27					
		3.08%	2.40%	2.48%	2.59%	2.49%	3.13%	3.38%	4.32%	3.09%	3.34%	2.61%	2.95%	4.23%	1.76%	2.84%	2.88%	2.87%	3.05%	1.92%	6.02%	3.02%					
23	. Харитонов Николай Михайлович	1636	41	63	53	49	118	100	73	54	97	62	152	141	71	67	84	78	64	114	55	100					
		8.78%	4.28%	7.45%	5.72%	5.09%	11.91%	9.94%	7.16%	6.68%	10.46%	7.03%	14.48%	13.54%	8.33%	7.31%	8.97%	8.29%	8.49%	10.92%	6.24%	11.19%					
																											
24	Против всех	397	48	17	18	16	18	12	26	13	27	24	15	20	12	16	23	13	13	34	16	16					
		2.13%	5.02%	2.01%	1.94%	1.66%	1.82%	1.19%	2.55%	1.61%	2.91%	2.72%	1.43%	1.92%	1.41%	1.75%	2.46%	1.38%	1.72%	3.26%	1.82%	1.79%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
