Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Кореневская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586	УИК  587	УИК  588	УИК  589					
1	"Число избирателей, внесенных в список"	15951	2562	2907	433	263	136	101	390	128	244	547	184	929	949	211	601	110	535	267	706	730	562	260	508	147	672	198	671					
2	Число полученных избирательных бюллетеней	15375	2420	2800	420	250	135	100	380	130	240	530	180	900	910	205	580	110	515	260	670	705	560	250	490	135	650	200	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9987	1397	1742	312	207	81	44	247	100	199	402	115	558	531	134	412	78	361	202	435	470	364	190	305	118	375	156	452					
5	"Число избирательных бюллетеней, выданных вне помещения"	1666	130	103	81	24	29	32	70	17	25	65	32	115	90	36	63	18	49	51	102	146	79	53	56	9	103	15	73					
6	Число погашенных избирательных бюллетеней	3722	893	955	27	19	25	24	63	13	16	63	33	227	289	35	105	14	105	7	133	89	117	7	129	8	172	29	125					
7	Число избирательных бюллетеней в переносных ящиках	1666	130	103	81	24	29	32	70	17	25	65	32	115	90	36	63	18	49	51	102	146	79	53	56	9	103	15	73					
8	Число бюллетеней в стационарных ящиках для голосования	9987	1397	1742	312	207	81	44	247	100	199	402	115	558	531	134	412	78	361	202	435	470	364	190	305	118	375	156	452					
9	Число недействительных избирательных бюллетеней	160	16	12	9	1	2	1	4	1	6	12	3	4	11	5	4	0	5	3	11	12	5	6	7	2	5	2	11					
10	Число действительных избирательных бюллетеней	11493	1511	1833	384	230	108	75	313	116	218	455	144	669	610	165	471	96	405	250	526	604	438	237	354	125	473	169	514					
11	Число полученных открепительных  удостоверений	170	15	35	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	82	15	31	1	2	0	0	0	0	0	5	0	5	1	1	0	0	3	0	5	0	1	2	5	0	0	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	9	2	2	2	1	2	1	2	2	4	3	0	3	1	2	1	3	1	1	1	2	1	1	1	0	2	2					
14	Число неиспользованных открепительных удостоверений	88	0	4	4	3	5	5	5	5	5	0	5	0	4	4	5	5	2	5	0	0	4	3	0	5	5	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	222	44	51	6	3	0	5	3	2	2	11	1	17	12	2	4	0	8	6	1	10	11	1	6	0	6	3	7					
		1.91%	2.88%	2.76%	1.53%	1.30%	0.00%	6.58%	0.95%	1.71%	0.89%	2.36%	0.68%	2.53%	1.93%	1.18%	0.84%	0.00%	1.95%	2.37%	0.19%	1.62%	2.48%	0.41%	1.66%	0.00%	1.26%	1.75%	1.33%					
19	. Малышкин Олег Александрович	271	54	46	9	5	1	0	4	1	5	6	3	13	18	3	6	1	19	14	10	10	6	6	6	7	5	4	9					
