Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Чудовская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550					
1	"Число избирателей, внесенных в список"	20142	792	141	91	352	666	534	547	254	944	493	103	1343	821	2569	2456	2295	1465	1819	2457					
2	Число полученных избирательных бюллетеней	20199	800	142	90	359	660	530	553	246	947	484	97	1350	816	2605	2486	2265	1463	1817	2489					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10502	454	98	47	250	369	250	303	127	614	385	70	834	257	1380	1288	1114	600	869	1193					
5	"Число избирательных бюллетеней, выданных вне помещения"	515	30	3	17	2	31	86	14	24	7	0	0	21	72	21	40	75	41	22	9					
6	Число погашенных избирательных бюллетеней	9182	316	41	26	107	260	194	236	95	326	99	27	495	487	1204	1158	1076	822	926	1287					
7	Число избирательных бюллетеней в переносных ящиках	515	30	3	17	2	31	86	14	24	7	0	0	21	72	21	40	75	41	22	9					
8	Число бюллетеней в стационарных ящиках для голосования	10502	454	98	47	250	369	250	303	127	614	385	70	834	257	1380	1288	1114	600	869	1193					
9	Число недействительных избирательных бюллетеней	75	4	1	0	1	3	0	4	2	2	1	3	19	1	7	6	5	4	7	5					
10	Число действительных избирательных бюллетеней	10942	480	100	64	251	397	336	313	149	619	384	67	836	328	1394	1322	1184	637	884	1197					
11	Число полученных открепительных  удостоверений	290	15	5	5	10	15	15	10	10	15	10	5	20	15	25	25	25	20	20	25					
12	Число выданных открепительных удостоверений	63	12	3	0	0	2	0	1	2	1	1	0	7	3	6	7	6	1	3	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	8	3	2	5	4	7	1	0	0	3	6	7	2	9	7	5	3	13	4					
14	Число неиспользованных открепительных удостоверений	227	3	2	5	10	13	15	9	8	14	9	5	13	12	19	18	19	19	17	17					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	313	8	1	0	3	6	2	7	2	12	3	4	21	10	45	50	47	33	21	38					
		2.84%	1.65%	0.99%	0.00%	1.19%	1.50%	0.60%	2.21%	1.32%	1.93%	0.78%	5.71%	2.46%	3.04%	3.21%	3.77%	3.95%	5.15%	2.36%	3.16%					
19	. Малышкин Олег Александрович	270	13	4	2	1	11	9	14	1	17	3	0	26	5	38	32	24	17	26	27					
		2.45%	2.69%	3.96%	3.12%	0.40%	2.75%	2.68%	4.42%	0.66%	2.74%	0.78%	0.00%	3.04%	1.52%	2.71%	2.41%	2.02%	2.65%	2.92%	2.25%					
20	. Миронов Сергей Михайлович	125	5	0	2	2	10	0	6	3	4	1	0	7	2	19	22	4	8	10	20					
		1.13%	1.03%	0.00%	3.12%	0.79%	2.50%	0.00%	1.89%	1.99%	0.64%	0.26%	0.00%	0.82%	0.61%	1.36%	1.66%	0.34%	1.25%	1.12%	1.66%					
21	. Путин Владимир Владимирович	8028	364	80	53	216	304	254	223	113	464	349	59	606	255	996	904	872	446	622	848					
		72.87%	75.21%	79.21%	82.81%	85.71%	76.00%	75.60%	70.35%	74.83%	74.72%	90.65%	84.29%	70.88%	77.51%	71.09%	68.07%	73.34%	69.58%	69.81%	70.55%					
22	. Хакамада Ирина Муцуовна	366	8	2	0	8	13	4	13	4	14	8	0	17	9	46	63	37	23	33	64					
		3.32%	1.65%	1.98%	0.00%	3.17%	3.25%	1.19%	4.10%	2.65%	2.25%	2.08%	0.00%	1.99%	2.74%	3.28%	4.74%	3.11%	3.59%	3.70%	5.32%					
23	. Харитонов Николай Михайлович	1344	66	10	5	18	48	46	33	22	88	17	3	132	43	163	183	127	78	131	131					
		12.20%	13.64%	9.90%	7.81%	7.14%	12.00%	13.69%	10.41%	14.57%	14.17%	4.42%	4.29%	15.44%	13.07%	11.63%	13.78%	10.68%	12.17%	14.70%	10.90%					
																										
24	Против всех	496	16	3	2	3	5	21	17	4	20	3	1	27	4	87	68	73	32	41	69					
		4.50%	3.31%	2.97%	3.12%	1.19%	1.25%	6.25%	5.36%	2.65%	3.22%	0.78%	1.43%	3.16%	1.22%	6.21%	5.12%	6.14%	4.99%	4.60%	5.74%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
