Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Шуйская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804					
1	"Число избирателей, внесенных в список"	17240	380	352	107	1018	162	104	350	427	85	240	187	684	997	442	2724	668	566	278	283	378	303	293	337	733	357	2359	226	2200					
2	Число полученных избирательных бюллетеней	15805	345	350	110	915	160	110	330	400	90	215	190	620	900	420	2480	620	515	250	250	350	275	260	300	670	320	2150	210	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8451	205	157	61	556	72	50	205	272	60	123	108	411	533	267	1195	223	241	145	129	153	143	180	144	352	205	1275	104	882					
5	"Число избирательных бюллетеней, выданных вне помещения"	1864	68	49	18	88	52	22	51	45	16	27	27	89	58	18	183	222	164	24	31	107	12	12	34	44	30	43	50	280					
6	Число погашенных избирательных бюллетеней	5490	72	144	31	271	36	38	74	83	14	65	55	120	309	135	1102	175	110	81	90	90	120	68	122	274	85	832	56	838					
7	Число избирательных бюллетеней в переносных ящиках	1864	68	49	18	88	52	22	51	45	16	27	27	89	58	18	183	222	164	24	31	107	12	12	34	44	30	43	50	280					
8	Число бюллетеней в стационарных ящиках для голосования	8451	205	157	61	556	72	50	205	272	60	123	108	411	533	267	1195	223	241	145	129	153	143	180	144	352	205	1275	104	882					
9	Число недействительных избирательных бюллетеней	57	0	0	0	6	0	0	1	0	0	0	0	1	6	1	12	1	0	0	2	3	0	1	3	3	3	12	0	2					
10	Число действительных избирательных бюллетеней	10258	273	206	79	638	124	72	255	317	76	150	135	499	585	284	1366	444	405	169	158	257	155	191	175	393	232	1306	154	1160					
11	Число полученных открепительных  удостоверений	290	8	8	5	20	5	5	8	10	5	5	5	20	15	23	33	8	8	5	5	6	5	5	5	8	5	20	15	20					
12	Число выданных открепительных удостоверений	108	0	3	0	4	0	0	2	1	0	1	0	0	2	12	31	7	4	0	0	3	0	0	0	3	4	19	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	2	6	0	3	2	0	1	4	1	2	3	7	10	3	6	3	1	1	3	2	2	3	5	4	2	14	3	9					
14	Число неиспользованных открепительных удостоверений	182	8	5	5	16	5	5	6	9	5	4	5	20	13	11	2	1	4	5	5	3	5	5	5	5	1	1	8	15					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	349	4	2	0	15	1	2	6	11	1	4	8	10	17	19	82	26	4	6	6	6	6	3	8	4	5	50	4	39					
		3.38%	1.47%	0.97%	0.00%	2.33%	0.81%	2.78%	2.34%	3.47%	1.32%	2.67%	5.93%	2.00%	2.88%	6.67%	5.95%	5.84%	0.99%	3.55%	3.75%	2.31%	3.87%	1.56%	4.49%	1.01%	2.13%	3.79%	2.60%	3.36%					
19	. Малышкин Олег Александрович	345	5	7	5	15	3	4	7	6	3	4	9	12	22	16	46	15	19	7	2	14	8	5	7	12	8	41	11	32					
		3.34%	1.83%	3.40%	6.33%	2.33%	2.42%	5.56%	2.73%	1.89%	3.95%	2.67%	6.67%	2.40%	3.72%	5.61%	3.34%	3.37%	4.69%	4.14%	1.25%	5.38%	5.16%	2.60%	3.93%	3.03%	3.40%	3.11%	7.14%	2.75%					
20	. Миронов Сергей Михайлович	70	3	2	1	8	1	1	0	1	0	1	2	2	6	1	8	3	3	2	0	0	1	1	0	3	0	11	0	9					
		0.68%	1.10%	0.97%	1.27%	1.24%	0.81%	1.39%	0.00%	0.32%	0.00%	0.67%	1.48%	0.40%	1.02%	0.35%	0.58%	0.67%	0.74%	1.18%	0.00%	0.00%	0.65%	0.52%	0.00%	0.76%	0.00%	0.83%	0.00%	0.77%					
21	. Путин Владимир Владимирович	6785	221	136	44	456	101	52	133	145	65	127	101	376	358	138	838	280	287	125	118	164	90	154	111	299	160	872	74	760					
		65.78%	80.95%	66.02%	55.70%	70.81%	81.45%	72.22%	51.95%	45.74%	85.53%	84.67%	74.81%	75.20%	60.58%	48.42%	60.81%	62.92%	70.86%	73.96%	73.75%	63.08%	58.06%	80.21%	62.36%	75.51%	68.09%	66.16%	48.05%	65.40%					
22	. Хакамада Ирина Муцуовна	222	6	3	2	13	0	2	6	5	3	1	1	4	17	9	51	11	5	1	0	3	2	2	3	2	2	48	1	19					
		2.15%	2.20%	1.46%	2.53%	2.02%	0.00%	2.78%	2.34%	1.58%	3.95%	0.67%	0.74%	0.80%	2.88%	3.16%	3.70%	2.47%	1.23%	0.59%	0.00%	1.15%	1.29%	1.04%	1.69%	0.51%	0.85%	3.64%	0.65%	1.64%					
23	. Харитонов Николай Михайлович	2147	32	49	27	115	16	9	97	136	3	11	12	79	144	81	263	98	82	28	28	66	40	22	45	66	49	213	61	275					
		20.81%	11.72%	23.79%	34.18%	17.86%	12.90%	12.50%	37.89%	42.90%	3.95%	7.33%	8.89%	15.80%	24.37%	28.42%	19.09%	22.02%	20.25%	16.57%	17.50%	25.38%	25.81%	11.46%	25.28%	16.67%	20.85%	16.16%	39.61%	23.67%					
																																			
24	Против всех	340	2	7	0	16	2	2	6	13	1	2	2	16	21	20	78	11	5	0	4	4	8	4	1	7	8	71	3	26					
		3.30%	0.73%	3.40%	0.00%	2.48%	1.61%	2.78%	2.34%	4.10%	1.32%	1.33%	1.48%	3.20%	3.55%	7.02%	5.66%	2.47%	1.23%	0.00%	2.50%	1.54%	5.16%	2.08%	0.56%	1.77%	3.40%	5.39%	1.95%	2.24%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
