Выборы Президента Российской Федерации															
															
"Наименование Избирательной комиссии:    Кемерово, Кедровская"															
															
Итоги голосования 															
															
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365					
1	"Число избирателей, внесенных в список"	15625	1940	2310	2197	2620	2363	2594	1120	481					
2	Число полученных избирательных бюллетеней	16000	1950	2350	2250	2700	2400	2650	1200	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12704	1651	1930	1856	2152	1910	2052	755	398					
5	"Число избирательных бюллетеней, выданных вне помещения"	901	87	72	69	224	95	161	145	48					
6	Число погашенных избирательных бюллетеней	2395	212	348	325	324	395	437	300	54					
7	Число избирательных бюллетеней в переносных ящиках	901	87	72	69	224	95	161	145	48					
8	Число бюллетеней в стационарных ящиках для голосования	12704	1651	1930	1856	2152	1910	2052	755	398					
9	Число недействительных избирательных бюллетеней	96	5	18	5	16	8	20	14	10					
10	Число действительных избирательных бюллетеней	13509	1733	1984	1920	2360	1997	2193	886	436					
11	Число полученных открепительных  удостоверений	500	50	60	60	80	80	65	75	30					
12	Число выданных открепительных удостоверений	449	50	47	48	65	69	65	75	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	149	18	19	15	20	25	18	23	11					
14	Число неиспользованных открепительных удостоверений	51	0	13	12	15	11	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	333	32	35	42	84	39	69	19	13					
		2.45%	1.84%	1.75%	2.18%	3.54%	1.95%	3.12%	2.11%	2.91%					
19	. Малышкин Олег Александрович	497	48	103	90	89	32	98	29	8					
		3.65%	2.76%	5.14%	4.68%	3.75%	1.60%	4.43%	3.22%	1.79%					
20	. Миронов Сергей Михайлович	131	17	12	30	15	20	19	8	10					
		0.96%	0.98%	0.60%	1.56%	0.63%	1.00%	0.86%	0.89%	2.24%					
21	. Путин Владимир Владимирович	11375	1535	1686	1638	1869	1824	1755	721	347					
		83.61%	88.32%	84.22%	85.09%	78.66%	90.97%	79.30%	80.11%	77.80%					
22	. Хакамада Ирина Муцуовна	361	29	57	46	79	29	65	34	22					
		2.65%	1.67%	2.85%	2.39%	3.32%	1.45%	2.94%	3.78%	4.93%					
23	. Харитонов Николай Михайлович	675	41	81	40	201	48	181	54	29					
		4.96%	2.36%	4.05%	2.08%	8.46%	2.39%	8.18%	6.00%	6.50%					
															
24	Против всех	137	31	10	34	23	5	6	21	7					
		1.01%	1.78%	0.50%	1.77%	0.97%	0.25%	0.27%	2.33%	1.57%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
