Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Холмская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531					
1	"Число избирателей, внесенных в список"	5803	818	823	955	930	212	102	135	180	59	197	48	306	83	193	278	127	111	139	107					
2	Число полученных избирательных бюллетеней	5868	826	828	960	941	216	103	136	182	60	198	50	313	86	196	281	130	112	143	107					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3112	404	381	448	394	162	55	73	90	42	119	42	159	58	127	225	82	77	93	81					
5	"Число избирательных бюллетеней, выданных вне помещения"	421	21	48	11	27	19	23	30	40	0	33	0	56	16	36	7	19	16	13	6					
6	Число погашенных избирательных бюллетеней	2335	401	399	501	520	35	25	33	52	18	46	8	98	12	33	49	29	19	37	20					
7	Число избирательных бюллетеней в переносных ящиках	421	21	48	11	27	19	23	30	40	0	33	0	56	16	36	7	19	16	13	6					
8	Число бюллетеней в стационарных ящиках для голосования	3112	404	381	448	394	162	55	73	90	42	119	42	159	58	127	225	82	77	93	81					
9	Число недействительных избирательных бюллетеней	8	1	1	1	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	3525	424	428	458	419	181	77	102	130	42	152	42	214	74	163	232	101	93	106	87					
11	Число полученных открепительных  удостоверений	100	14	14	16	16	4	2	3	3	1	3	1	5	2	3	5	2	2	2	2					
12	Число выданных открепительных удостоверений	11	1	1	4	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	1	0	4	1	0	0	1	1	0	1	0	0	0	2	1	0	0	0	1					
14	Число неиспользованных открепительных удостоверений	89	13	13	12	16	2	2	3	2	1	3	1	5	2	1	5	2	2	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	58	6	6	5	4	2	2	1	1	0	4	0	6	1	0	9	2	4	1	4					
		1.64%	1.41%	1.40%	1.09%	0.95%	1.10%	2.56%	0.97%	0.77%	0.00%	2.63%	0.00%	2.79%	1.35%	0.00%	3.88%	1.98%	4.30%	0.94%	4.60%					
19	. Малышкин Олег Александрович	87	16	11	19	5	6	0	3	3	2	1	0	5	0	2	7	4	1	1	1					
		2.46%	3.76%	2.56%	4.14%	1.19%	3.31%	0.00%	2.91%	2.31%	4.76%	0.66%	0.00%	2.33%	0.00%	1.23%	3.02%	3.96%	1.08%	0.94%	1.15%					
20	. Миронов Сергей Михайлович	27	4	5	3	5	1	0	1	1	0	0	0	4	0	1	1	0	1	0	0					
		0.76%	0.94%	1.17%	0.65%	1.19%	0.55%	0.00%	0.97%	0.77%	0.00%	0.00%	0.00%	1.86%	0.00%	0.61%	0.43%	0.00%	1.08%	0.00%	0.00%					
21	. Путин Владимир Владимирович	2703	310	305	334	317	151	63	78	113	29	119	41	179	28	140	176	76	81	95	68					
		76.51%	72.94%	71.10%	72.77%	75.30%	83.43%	80.77%	75.73%	86.92%	69.05%	78.29%	97.62%	83.26%	37.84%	85.89%	75.86%	75.25%	87.10%	89.62%	78.16%					
22	. Хакамада Ирина Муцуовна	60	6	5	11	14	2	1	2	2	2	1	0	2	2	2	2	0	1	1	4					
		1.70%	1.41%	1.17%	2.40%	3.33%	1.10%	1.28%	1.94%	1.54%	4.76%	0.66%	0.00%	0.93%	2.70%	1.23%	0.86%	0.00%	1.08%	0.94%	4.60%					
23	. Харитонов Николай Михайлович	541	76	90	76	71	16	11	16	9	7	26	1	14	39	16	34	18	5	7	9					
		15.31%	17.88%	20.98%	16.56%	16.86%	8.84%	14.10%	15.53%	6.92%	16.67%	17.11%	2.38%	6.51%	52.70%	9.82%	14.66%	17.82%	5.38%	6.60%	10.34%					
																										
24	Против всех	49	6	6	10	3	3	0	1	1	2	1	0	4	4	2	3	1	0	1	1					
		1.39%	1.41%	1.40%	2.18%	0.71%	1.66%	0.00%	0.97%	0.77%	4.76%	0.66%	0.00%	1.86%	5.41%	1.23%	1.29%	0.99%	0.00%	0.94%	1.15%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
