Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Островская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510					
1	"Число избирателей, внесенных в список"	10843	628	186	259	274	673	384	106	438	138	515	355	212	175	365	521	177	601	305	171	142	425	1010	1106	1004	673					
2	Число полученных избирательных бюллетеней	10974	640	186	260	282	680	384	110	446	142	517	360	215	175	370	530	180	605	315	175	150	432	1015	1120	1000	685					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5408	303	126	160	151	330	166	68	251	84	223	186	123	64	185	209	51	291	125	83	117	226	549	504	506	327					
5	"Число избирательных бюллетеней, выданных вне помещения"	1136	67	14	5	32	32	103	15	66	25	51	49	20	40	45	97	57	38	113	18	4	32	33	58	80	42					
6	Число погашенных избирательных бюллетеней	4430	270	46	95	99	318	115	27	129	33	243	125	72	71	140	224	72	276	77	74	29	174	433	558	414	316					
7	Число избирательных бюллетеней в переносных ящиках	1136	67	14	5	32	32	103	15	66	25	51	49	20	40	45	97	57	38	113	18	4	32	33	58	80	42					
8	Число бюллетеней в стационарных ящиках для голосования	5408	303	126	160	151	330	166	68	251	84	223	186	123	64	185	209	51	291	125	83	117	226	549	504	506	327					
9	Число недействительных избирательных бюллетеней	37	0	1	0	0	4	0	0	2	1	0	1	1	1	1	1	1	4	0	1	0	0	2	5	5	6					
10	Число действительных избирательных бюллетеней	6507	370	139	165	183	358	269	83	315	108	274	234	142	103	229	305	107	325	238	100	121	258	580	557	581	363					
11	Число полученных открепительных  удостоверений	151	10	7	6	4	7	5	3	6	3	5	6	4	5	4	6	5	6	5	4	5	5	10	10	10	10					
12	Число выданных открепительных удостоверений	58	6	0	0	4	3	0	0	2	1	1	1	1	0	0	1	0	1	3	4	4	0	8	8	1	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	0	1	3	1	0	2	1	0	0	0	2	0	2	2	1	0	3	1	2	0	0	4	5	1	1					
14	Число неиспользованных открепительных удостоверений	93	4	7	6	0	4	5	3	4	2	4	5	3	5	4	5	5	5	2	0	1	5	2	2	9	1					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	180	17	3	11	2	9	3	0	2	0	3	12	3	3	2	8	0	8	17	0	5	5	19	17	22	9					
		2.75%	4.59%	2.14%	6.67%	1.09%	2.49%	1.12%	0.00%	0.63%	0.00%	1.09%	5.11%	2.10%	2.88%	0.87%	2.61%	0.00%	2.43%	7.14%	0.00%	4.13%	1.94%	3.26%	3.02%	3.75%	2.44%					
19	. Малышкин Олег Александрович	198	4	7	1	3	16	7	3	12	6	5	7	1	8	8	13	1	14	14	1	0	7	14	22	19	5					
		3.03%	1.08%	5.00%	0.61%	1.64%	4.42%	2.60%	3.61%	3.79%	5.50%	1.82%	2.98%	0.70%	7.69%	3.48%	4.25%	0.93%	4.26%	5.88%	0.99%	0.00%	2.71%	2.41%	3.91%	3.24%	1.36%					
20	. Миронов Сергей Михайлович	62	4	4	1	2	8	3	0	7	0	3	1	1	0	0	2	1	1	0	1	1	6	7	7	2	0					
		0.95%	1.08%	2.86%	0.61%	1.09%	2.21%	1.12%	0.00%	2.21%	0.00%	1.09%	0.43%	0.70%	0.00%	0.00%	0.65%	0.93%	0.30%	0.00%	0.99%	0.83%	2.33%	1.20%	1.25%	0.34%	0.00%					
21	. Путин Владимир Владимирович	4991	249	108	131	127	273	196	73	264	73	215	192	111	84	186	243	94	271	182	86	96	198	428	406	426	279					
		76.27%	67.30%	77.14%	79.39%	69.40%	75.41%	72.86%	87.95%	83.28%	66.97%	78.47%	81.70%	77.62%	80.77%	80.87%	79.41%	87.04%	82.37%	76.47%	85.15%	79.34%	76.74%	73.54%	72.24%	72.70%	75.61%					
22	. Хакамада Ирина Муцуовна	118	10	2	3	2	6	7	1	4	1	3	2	2	1	5	2	2	4	6	1	2	7	16	12	10	7					
		1.80%	2.70%	1.43%	1.82%	1.09%	1.66%	2.60%	1.20%	1.26%	0.92%	1.09%	0.85%	1.40%	0.96%	2.17%	0.65%	1.85%	1.22%	2.52%	0.99%	1.65%	2.71%	2.75%	2.14%	1.71%	1.90%					
23	. Харитонов Николай Михайлович	848	74	14	14	41	39	51	3	26	28	41	18	22	5	26	28	8	22	19	11	17	31	81	84	91	54					
