Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Унинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180					
1	"Число избирателей, внесенных в список"	8518	219	208	198	109	375	336	187	169	134	340	560	392	217	152	199	1464	1345	1113	461	222	118					
2	Число полученных избирательных бюллетеней	8700	226	210	205	108	390	345	200	177	138	364	550	390	220	154	202	1490	1390	1125	465	234	117					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5839	189	166	130	88	261	265	127	138	95	255	401	286	157	127	137	968	861	730	196	156	106					
5	"Число избирательных бюллетеней, выданных вне помещения"	1118	21	24	58	14	64	23	39	19	30	42	78	59	45	15	37	98	115	122	168	41	6					
6	Число погашенных избирательных бюллетеней	1743	16	20	17	6	65	57	34	20	13	67	71	45	18	12	28	424	414	273	101	37	5					
7	Число избирательных бюллетеней в переносных ящиках	1118	21	24	58	14	64	23	39	19	30	42	78	59	45	15	37	98	115	122	168	41	6					
8	Число бюллетеней в стационарных ящиках для голосования	5839	189	166	130	88	261	265	127	138	95	255	401	286	157	127	137	968	861	730	196	156	106					
9	Число недействительных избирательных бюллетеней	31	0	2	0	0	2	1	0	0	0	1	2	6	0	0	0	7	5	5	0	0	0					
10	Число действительных избирательных бюллетеней	6926	210	188	188	102	323	287	166	157	125	296	477	339	202	142	174	1059	971	847	364	197	112					
11	Число полученных открепительных  удостоверений	178	10	5	5	3	8	5	12	5	3	11	10	8	5	5	5	22	23	17	5	8	3					
12	Число выданных открепительных удостоверений	141	7	5	5	0	7	4	12	5	2	11	3	5	5	0	5	16	20	16	5	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	2	3	0	1	1	4	1	1	3	1	6	3	2	0	0	6	7	2	1	1	1					
14	Число неиспользованных открепительных удостоверений	37	3	0	0	3	1	1	0	0	1	0	7	3	0	5	0	6	3	1	0	0	3					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	284	11	4	5	7	18	12	4	3	2	13	11	21	6	0	2	55	59	31	15	4	1					
		4.08%	5.24%	2.11%	2.66%	6.86%	5.54%	4.17%	2.41%	1.91%	1.60%	4.38%	2.30%	6.09%	2.97%	0.00%	1.15%	5.16%	6.05%	3.64%	4.12%	2.03%	0.89%					
19	. Малышкин Олег Александрович	240	8	1	5	4	20	11	9	5	2	19	22	6	17	3	10	25	15	24	20	14	0					
		3.45%	3.81%	0.53%	2.66%	3.92%	6.15%	3.82%	5.42%	3.18%	1.60%	6.40%	4.59%	1.74%	8.42%	2.11%	5.75%	2.35%	1.54%	2.82%	5.49%	7.11%	0.00%					
20	. Миронов Сергей Михайлович	58	1	0	0	0	1	2	2	0	2	3	6	3	4	0	1	8	9	11	5	0	0					
		0.83%	0.48%	0.00%	0.00%	0.00%	0.31%	0.69%	1.20%	0.00%	1.60%	1.01%	1.25%	0.87%	1.98%	0.00%	0.57%	0.75%	0.92%	1.29%	1.37%	0.00%	0.00%					
21	. Путин Владимир Владимирович	4123	55	101	112	65	171	92	88	93	52	190	285	242	60	65	130	677	676	556	225	77	111					
		59.26%	26.19%	53.16%	59.57%	63.73%	52.62%	31.94%	53.01%	59.24%	41.60%	63.97%	59.50%	70.14%	29.70%	45.77%	74.71%	63.51%	69.26%	65.26%	61.81%	39.09%	99.11%					
22	. Хакамада Ирина Муцуовна	92	4	1	0	0	8	1	1	5	0	6	4	4	1	2	3	14	14	19	4	1	0					
		1.32%	1.90%	0.53%	0.00%	0.00%	2.46%	0.35%	0.60%	3.18%	0.00%	2.02%	0.84%	1.16%	0.50%	1.41%	1.72%	1.31%	1.43%	2.23%	1.10%	0.51%	0.00%					
23	. Харитонов Николай Михайлович	1987	126	80	62	24	101	160	61	49	65	58	145	62	109	71	27	247	176	180	89	95	0					
		28.56%	60.00%	42.11%	32.98%	23.53%	31.08%	55.56%	36.75%	31.21%	52.00%	19.53%	30.27%	17.97%	53.96%	50.00%	15.52%	23.17%	18.03%	21.13%	24.45%	48.22%	0.00%					
																												
24	Против всех	142	5	1	4	2	4	9	1	2	2	7	4	1	5	1	1	33	22	26	6	6	0					
		2.04%	2.38%	0.53%	2.13%	1.96%	1.23%	3.12%	0.60%	1.27%	1.60%	2.36%	0.84%	0.29%	2.48%	0.70%	0.57%	3.10%	2.25%	3.05%	1.65%	3.05%	0.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
