Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Тимирязевский район																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №3065					
1	"Число избирателей, внесенных в список"	53771	2442	2594	2558	2782	2571	2272	2826	2723	2277	2644	1966	2389	2349	2119	2603	2746	2665	2480	2573	2755	2715	722					
2	Число полученных избирательных бюллетеней	50300	2300	2400	2400	2600	2400	2100	2600	2500	2100	2300	1900	2200	2200	2000	2400	2600	2500	2300	2400	2600	2500	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30095	1380	1419	1441	1460	1309	1248	1613	1509	1287	1856	1135	1306	1209	1124	1381	1591	1411	1398	1310	1511	1546	651					
5	"Число избирательных бюллетеней, выданных вне помещения"	996	55	47	28	39	45	31	77	94	43	19	41	63	27	31	49	51	51	39	58	46	40	22					
6	Число погашенных избирательных бюллетеней	19209	865	934	931	1101	1046	821	910	897	770	425	724	831	964	845	970	958	1038	863	1032	1043	914	327					
7	Число избирательных бюллетеней в переносных ящиках	996	55	47	28	39	45	31	77	94	43	19	41	63	27	31	49	51	51	39	58	46	40	22					
8	Число бюллетеней в стационарных ящиках для голосования	29969	1380	1419	1441	1460	1308	1246	1607	1509	1282	1851	1135	1305	1202	1122	1375	1585	1397	1387	1310	1456	1541	651					
9	Число недействительных избирательных бюллетеней	256	7	19	15	10	10	11	15	13	10	7	6	12	11	18	8	23	8	6	18	9	11	9					
10	Число действительных избирательных бюллетеней	30709	1428	1447	1454	1489	1343	1266	1669	1590	1315	1863	1170	1356	1218	1135	1416	1613	1440	1420	1350	1493	1570	664					
11	Число полученных открепительных  удостоверений	1174	50	50	50	70	50	50	50	64	50	130	50	50	50	50	50	60	50	50	50	50	50	0					
12	Число выданных открепительных удостоверений	783	32	42	39	48	33	19	42	56	30	83	24	32	27	25	26	47	35	37	29	47	30	0					
