Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Петропавловская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263					
1	"Число избирателей, внесенных в список"	10919	1222	1290	1315	1375	800	948	807	1327	1068	115	652					
2	Число полученных избирательных бюллетеней	9775	1100	1140	1180	1230	720	860	730	1170	940	115	590					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7013	772	843	760	1023	503	537	557	846	686	82	404					
5	"Число избирательных бюллетеней, выданных вне помещения"	467	33	25	77	39	26	72	41	67	35	19	33					
6	Число погашенных избирательных бюллетеней	2291	295	272	343	164	191	251	132	257	219	14	153					
7	Число избирательных бюллетеней в переносных ящиках	467	33	25	77	39	26	72	41	67	35	19	33					
8	Число бюллетеней в стационарных ящиках для голосования	7005	767	843	760	1020	503	537	557	846	686	82	404					
9	Число недействительных избирательных бюллетеней	95	7	18	9	7	8	10	12	2	16	0	6					
10	Число действительных избирательных бюллетеней	7377	793	850	828	1052	521	599	586	911	705	101	431					
11	Число полученных открепительных  удостоверений	75	8	8	8	8	6	6	6	8	8	3	6					
12	Число выданных открепительных удостоверений	19	2	0	4	2	2	0	2	2	3	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	0	1	2	4	2	0	0	1	1	0	1					
14	Число неиспользованных открепительных удостоверений	56	6	8	4	6	4	6	4	6	5	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	0	0	0	0	0	3	0	0	1					
16	Число утраченных избирательных бюллетеней	4	0	0	0	4	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	281	45	30	42	32	12	19	18	47	27	5	4					
		3.76%	5.62%	3.46%	5.02%	3.02%	2.27%	3.12%	3.01%	5.15%	3.74%	4.95%	0.92%					
19	. Малышкин Олег Александрович	283	33	31	51	44	12	26	21	31	16	4	14					
		3.79%	4.12%	3.57%	6.09%	4.15%	2.27%	4.27%	3.51%	3.40%	2.22%	3.96%	3.20%					
20	. Миронов Сергей Михайлович	77	16	5	6	10	8	7	5	6	3	4	7					
		1.03%	2.00%	0.58%	0.72%	0.94%	1.51%	1.15%	0.84%	0.66%	0.42%	3.96%	1.60%					
21	. Путин Владимир Владимирович	4624	548	608	598	526	368	307	367	581	468	66	187					
		61.88%	68.50%	70.05%	71.45%	49.67%	69.57%	50.41%	61.37%	63.64%	64.91%	65.35%	42.79%					
22	. Хакамада Ирина Муцуовна	111	17	10	18	8	7	10	5	19	14	0	3					
		1.49%	2.12%	1.15%	2.15%	0.76%	1.32%	1.64%	0.84%	2.08%	1.94%	0.00%	0.69%					
23	. Харитонов Николай Михайлович	1958	134	163	107	425	109	227	169	214	174	20	216					
		26.20%	16.75%	18.78%	12.78%	40.13%	20.60%	37.27%	28.26%	23.44%	24.13%	19.80%	49.43%					
																		
24	Против всех	43	0	3	6	7	5	3	1	13	3	2	0					
		0.58%	0.00%	0.35%	0.72%	0.66%	0.95%	0.49%	0.17%	1.42%	0.42%	1.98%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
