Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Кармаскалинская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648					
1	"Число избирателей, внесенных в список"	33892	581	283	527	436	1238	411	968	1948	770	156	317	226	373	1415	1612	234	472	1529	1671	2163	464	1127	642	195	210	755	605	281	1086	611	1187	274	857	272	446	739	189	634	271	631	486	639	2225	1736					
2	Число полученных избирательных бюллетеней	34154	585	283	521	443	1259	435	994	1967	785	155	320	228	380	1421	1630	239	477	1508	1669	2155	465	1156	658	195	193	753	609	281	1086	611	1206	269	871	264	447	739	190	647	284	639	492	639	2237	1769					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32556	549	272	511	434	1216	402	945	1923	750	139	290	226	368	1387	1574	227	453	1469	1583	2098	464	1101	630	186	103	750	573	279	1081	588	1120	259	836	247	393	695	173	576	271	629	442	624	2098	1622					
5	"Число избирательных бюллетеней, выданных вне помещения"	792	32	11	8	2	16	9	23	2	12	16	24	0	3	5	7	3	8	0	20	17	0	26	12	7	90	0	16	0	5	14	56	8	4	17	45	38	16	56	0	2	44	15	47	56					
6	Число погашенных избирательных бюллетеней	806	4	0	2	7	27	24	26	42	23	0	6	2	9	29	49	9	16	39	66	40	1	29	16	2	0	3	20	2	0	9	30	2	31	0	9	6	1	15	13	8	6	0	92	91					
7	Число избирательных бюллетеней в переносных ящиках	792	32	11	8	2	16	9	23	2	12	16	24	0	3	5	7	3	8	0	20	17	0	26	12	7	90	0	16	0	5	14	56	8	4	17	45	38	16	56	0	2	44	15	47	56					
8	Число бюллетеней в стационарных ящиках для голосования	32556	549	272	511	434	1216	402	945	1923	750	139	290	226	368	1387	1574	227	453	1469	1583	2098	464	1101	630	186	103	750	573	279	1081	588	1120	259	836	247	393	695	173	576	271	629	442	624	2098	1622					
9	Число недействительных избирательных бюллетеней	22	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	1	0	2	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	33326	581	283	519	436	1232	411	968	1925	762	155	314	221	371	1391	1581	230	461	1462	1603	2115	464	1127	642	193	193	750	589	279	1083	601	1174	267	840	264	438	732	189	630	271	631	486	639	2145	1678					
11	Число полученных открепительных  удостоверений	350	5	2	5	5	5	2	5	18	5	2	2	2	2	2	6	5	5	10	83	40	2	5	2	2	2	10	10	2	5	5	4	2	5	2	5	5	2	10	2	10	5	2	20	20					
12	Число выданных открепительных удостоверений	159	2	0	5	5	5	2	1	7	3	0	2	0	0	2	6	1	0	4	21	20	0	5	0	0	0	0	1	0	4	0	4	0	0	0	4	3	0	1	2	6	3	0	20	20					
