Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Ессентукская городская 																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379					
1	"Число избирателей, внесенных в список"	63106	2074	1967	2026	2079	2392	1382	1509	1801	2057	2540	2022	1851	2788	2683	2788	2088	1396	1953	1368	2209	2361	1587	2491	2342	2030	1558	1818	2239	2542	2678	54	55	11	107	7	10	15	27	82	16	10	55	38					
2	Число полученных избирательных бюллетеней	60787	1900	1900	1900	2000	2200	1200	1400	1700	2000	2500	1900	1800	2600	2600	2700	2000	1300	1800	1400	2100	2300	1500	2400	2300	1800	1600	1800	2100	2500	2600	100	100	20	250	45	30	100	30	100	20	50	92	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33681	1157	904	1123	1175	1260	781	787	907	1084	1349	1085	899	1524	1482	1435	1158	681	1029	617	1260	1428	699	1442	1364	1253	770	1048	1181	1344	1012	14	55	11	107	7	9	15	27	79	16	10	55	38					
5	"Число избирательных бюллетеней, выданных вне помещения"	1809	43	106	38	46	44	53	49	91	65	70	45	39	92	76	30	53	67	51	75	49	35	77	49	47	50	81	42	93	33	84	36	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	25297	700	890	739	779	896	366	564	702	851	1081	770	862	984	1042	1235	789	552	720	708	791	837	724	909	889	497	749	710	826	1123	1504	50	45	9	143	38	21	85	3	21	4	40	37	12					
7	Число избирательных бюллетеней в переносных ящиках	1809	43	106	38	46	44	53	49	91	65	70	45	39	92	76	30	53	67	51	75	49	35	77	49	47	50	81	42	93	33	84	36	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	33674	1157	904	1123	1173	1260	781	787	907	1084	1349	1085	899	1524	1482	1431	1158	681	1029	617	1259	1428	699	1442	1364	1253	770	1048	1181	1344	1012	14	55	11	107	7	9	15	27	79	16	10	55	38					
9	Число недействительных избирательных бюллетеней	195	4	7	3	4	2	3	0	5	6	5	7	8	17	9	12	7	8	4	1	14	6	5	10	5	3	9	8	5	9	6	0	0	0	0	0	0	0	0	3	0	0	0	0					
10	Число действительных избирательных бюллетеней	35288	1196	1003	1158	1215	1302	831	836	993	1143	1414	1123	930	1599	1549	1449	1204	740	1076	691	1294	1457	771	1481	1406	1300	842	1082	1269	1368	1090	50	55	11	107	7	9	15	27	76	16	10	55	38					
