7	Число избирательных бюллетеней в переносных ящиках для голосования	8049	200	113	27	96	17	54	57	34	46	0	55	32	58	133	53	54	10	237	24	62	19	22	86	66	24	27	52	16	4	188	88	11	71	29	58	48	28	78	25	44	25	59	29	210	175	167	195	13	213	122	5	0	29	18	9	52	53	70	110	76	36	6	48	34	514	53	7	7	61	29	3	16	27	22	21	12	91	67	87	80	11	21	15	10	7	0	20	21	82	21	15	14	49	21	87	69	14	54	142	158	63	47	33	85	192	126	39	41	126	136	133	112	79	26	33	98	68	19	34	24	389	32	29	20	8	19	10									
8	Число бюллетеней в стационарных ящиках для голосования	144191	1500	1349	1169	1737	1155	1183	1661	1534	1469	559	287	1441	1427	1759	1465	1277	1461	1555	1449	1644	1386	1833	1401	1108	1533	1505	1729	1837	1136	970	242	1764	1533	1215	282	1418	1485	1788	1618	1603	1538	1071	960	1153	1121	1694	407	817	1317	631	1282	722	1389	1725	900	1160	1178	1310	1185	1317	829	730	1219	601	522	529	1275	1112	853	1239	1007	1817	362	1043	1447	1349	1122	1281	1315	192	1384	1480	1447	1371	1066	812	1704	2037	760	332	887	1166	429	744	1657	1625	682	314	1047	1211	476	743	790	245	415	561	1319	760	507	519	1290	266	308	1590	1683	1220	1314	1380	796	1513	1607	989	913	1519	980	638	507									
9	Число недействительных избирательных бюллетеней	3030	23	18	18	40	26	26	44	27	28	4	4	18	23	30	21	23	30	37	32	26	37	107	46	28	23	25	38	35	17	14	11	32	70	18	7	37	16	31	31	37	27	27	26	15	23	29	11	13	38	13	24	27	27	19	11	23	22	12	15	20	15	8	29	7	13	9	15	15	15	18	16	31	11	20	29	32	12	25	20	5	24	28	43	26	14	28	58	25	10	2	21	24	4	16	21	26	11	8	18	19	13	11	10	3	6	12	30	14	9	11	31	1	3	16	28	28	25	26	10	34	261	16	26	22	17	11	5									
10	Число действительных избирательных бюллетеней	149210	1677	1444	1178	1793	1146	1211	1674	1541	1487	555	338	1455	1462	1862	1497	1308	1441	1755	1441	1680	1368	1748	1441	1146	1534	1507	1743	1818	1123	1144	319	1743	1534	1226	333	1429	1497	1835	1612	1610	1536	1103	963	1348	1273	1832	591	817	1492	740	1263	695	1391	1724	898	1189	1209	1368	1280	1373	850	728	1238	628	1023	573	1267	1104	899	1250	994	1802	378	1045	1439	1329	1201	1323	1382	267	1371	1473	1419	1355	1059	784	1666	2033	832	351	881	1156	474	749	1723	1668	685	360	1171	1350	526	779	813	327	601	675	1328	787	624	644	1392	377	384	1600	1688	1290	1357	1373	820	1503	1735	1005	916	1517	971	646	512									
11	Число полученных открепительных  удостоверений	3732	40	25	35	25	30	25	45	25	35	0	0	30	35	45	35	30	51	45	30	40	26	34	30	25	32	30	40	50	15	50	20	40	30	25	40	40	35	31	30	30	30	30	25	20	20	35	15	22	30	40	15	1	25	35	15	15	15	125	130	125	25	15	20	15	10	15	22	23	25	40	25	25	10	25	30	45	35	35	40	35	30	28	28	25	18	0	25	29	16	15	15	15	10	25	40	50	25	7	75	65	10	15	20	5	13	24	25	30	30	20	55	5	30	60	60	35	10	20	25	35	25	10	15	15	12	10	15									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	3672	40	25	35	25	30	25	45	25	35	0	0	30	35	44	35	30	51	45	30	40	25	33	30	25	32	30	40	50	15	50	20	40	30	24	40	40	35	31	30	30	30	30	25	20	19	35	11	22	30	40	15	1	25	35	15	15	15	124	115	124	25	15	20	12	10	15	22	22	25	40	25	25	10	25	30	45	35	35	40	35	28	26	28	24	18	0	25	28	16	15	12	14	8	24	40	50	25	7	75	65	9	15	20	5	10	24	25	28	30	14	55	5	30	60	60	32	10	20	25	33	25	10	15	15	12	10	15									
13	Число избирателей, проголосовавших по открепительным удостоверениям	6129	17	16	17	90	26	28	87	22	18	18	21	37	22	29	30	44	26	19	69	13	39	7	26	12	26	25	31	22	80	44	22	56	39	72	20	41	22	16	32	47	160	17	35	19	32	41	6	20	36	7	43	3	47	41	28	37	38	25	17	47	17	44	34	74	37	15	35	32	32	69	7	14	13	6	24	28	25	20	9	14	34	64	117	24	55	12	41	19	22	30	65	116	105	55	85	73	5	99	98	35	75	24	32	18	30	32	47	9	28	42	43	36	36	22	20	56	0	41	26	235	582	237	219	224	86	183	16									
14	Число неиспользованных открепительных удостоверений	58	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	15	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	3	1	2	1	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	6	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	118	4	1	1	1	0	0	1	1	2	0	0	0	1	1	3	1	4	3	1	7	3	0	1	1	0	5	3	4	1	0	0	1	0	0	0	1	0	2	0	3	1	2	0	1	1	1	0	0	3	0	0	0	0	0	1	1	0	0	0	1	1	1	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	2	0	0	1	1	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	25									
16	Число утраченных открепительных удостоверений	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																										
19	Жириновский Владимир Вольфович	10339	114	85	97	120	116	82	94	127	104	30	43	69	90	93	84	92	138	111	119	90	93	100	88	59	68	116	103	103	58	70	26	115	87	95	20	125	116	107	140	103	99	100	78	89	77	129	36	43	92	39	86	23	120	51	62	95	87	79	92	95	64	56	96	36	78	35	110	93	72	83	75	95	30	77	86	83	79	114	112	23	105	104	73	99	64	32	81	83	34	14	35	71	25	42	131	173	48	28	95	118	43	49	73	8	48	49	102	69	45	53	95	16	30	132	157	105	126	127	48	104	149	76	67	149	95	55	55									
		6.79%	6.71%	5.81%	8.11%	6.55%	9.90%	6.63%	5.47%	8.10%	6.86%	5.37%	12.57%	4.68%	6.06%	4.92%	5.53%	6.91%	9.38%	6.19%	8.08%	5.28%	6.62%	5.39%	5.92%	5.03%	4.37%	7.57%	5.78%	5.56%	5.09%	6.04%	7.88%	6.48%	5.42%	7.64%	5.88%	8.53%	7.67%	5.73%	8.52%	6.25%	6.33%	8.85%	7.89%	6.53%	5.94%	6.93%	5.98%	5.18%	6.01%	5.18%	6.68%	3.19%	8.46%	2.93%	6.82%	7.84%	7.07%	5.72%	7.10%	6.82%	7.40%	7.61%	7.58%	5.67%	7.53%	6.01%	8.58%	8.31%	7.88%	6.55%	7.43%	5.18%	7.71%	7.23%	5.86%	6.10%	6.51%	8.46%	7.99%	8.46%	7.53%	6.93%	4.99%	7.17%	5.96%	3.94%	4.70%	4.03%	4.04%	3.97%	3.88%	6.02%	5.23%	5.49%	7.51%	10.21%	6.90%	7.61%	7.99%	8.62%	7.98%	6.20%	8.87%	2.42%	7.91%	7.13%	7.51%	8.61%	7.11%	8.09%	6.68%	4.23%	7.75%	8.17%	9.15%	7.97%	9.12%	9.08%	5.78%	6.77%	7.46%	7.44%	7.11%	9.68%	9.62%	8.37%	10.64%									
20	Зюганов Геннадий Андреевич	29749	279	329	233	330	237	330	404	290	359	74	72	335	338	349	290	187	311	348	334	346	255	369	353	254	382	345	343	312	195	192	64	336	323	222	60	314	267	352	310	384	342	234	216	197	229	354	81	206	233	127	175	58	286	410	169	272	287	214	212	250	180	161	241	149	191	72	265	194	220	275	239	162	70	259	323	314	236	233	322	54	289	300	280	238	194	87	190	279	127	79	181	321	76	147	262	333	120	60	252	245	113	158	186	60	109	138	298	163	132	103	346	78	112	359	400	301	309	256	185	345	325	178	187	362	157	115	95									
		19.54%	16.41%	22.50%	19.48%	18.00%	20.22%	26.68%	23.52%	18.49%	23.70%	13.24%	21.05%	22.74%	22.76%	18.45%	19.10%	14.05%	21.14%	19.42%	22.67%	20.28%	18.15%	19.89%	23.74%	21.64%	24.53%	22.52%	19.26%	16.84%	17.11%	16.58%	19.39%	18.93%	20.14%	17.85%	17.65%	21.42%	17.65%	18.86%	18.87%	23.32%	21.88%	20.71%	21.84%	14.45%	17.67%	19.02%	13.46%	24.82%	15.23%	16.87%	13.60%	8.03%	20.17%	23.52%	18.59%	22.44%	23.31%	15.51%	16.37%	17.95%	20.81%	21.88%	19.02%	23.46%	18.44%	12.37%	20.67%	17.34%	24.07%	21.69%	23.66%	8.84%	17.99%	24.32%	22.00%	23.07%	19.46%	17.28%	22.97%	19.85%	20.72%	19.99%	19.15%	17.23%	18.08%	10.71%	11.02%	13.56%	15.08%	22.38%	20.07%	27.20%	15.90%	19.22%	15.02%	19.66%	17.24%	16.30%	21.19%	17.90%	20.96%	20.00%	22.60%	18.18%	17.96%	20.09%	21.94%	20.35%	20.85%	15.73%	24.31%	20.63%	28.94%	22.22%	23.31%	22.84%	22.36%	18.30%	22.29%	22.45%	16.28%	17.43%	19.85%	23.52%	15.89%	17.50%	18.38%									
21	Миронов Сергей Михайлович	6804	80	62	61	64	57	69	106	97	64	15	13	44	73	87	81	65	59	72	87	91	57	113	80	58	81	75	71	65	32	39	10	80	101	61	17	62	73	74	84	90	73	55	58	66	53	83	21	39	75	29	51	26	79	71	38	78	60	47	56	44	39	30	80	15	31	11	61	44	48	51	53	39	29	41	52	57	28	56	55	7	82	59	72	52	43	33	67	80	27	17	36	58	17	51	87	42	27	11	36	45	28	50	37	10	30	30	51	33	19	37	74	15	15	90	82	80	76	72	31	74	103	38	43	53	47	24	21									
		4.47%	4.71%	4.24%	5.10%	3.49%	4.86%	5.58%	6.17%	6.19%	4.22%	2.68%	3.80%	2.99%	4.92%	4.60%	5.34%	4.88%	4.01%	4.02%	5.91%	5.33%	4.06%	6.09%	5.38%	4.94%	5.20%	4.90%	3.99%	3.51%	2.81%	3.37%	3.03%	4.51%	6.30%	4.90%	5.00%	4.23%	4.82%	3.97%	5.11%	5.46%	4.67%	4.87%	5.86%	4.84%	4.09%	4.46%	3.49%	4.70%	4.90%	3.85%	3.96%	3.60%	5.57%	4.07%	4.18%	6.44%	4.87%	3.41%	4.32%	3.16%	4.51%	4.08%	6.31%	2.36%	2.99%	1.89%	4.76%	3.93%	5.25%	4.02%	5.25%	2.13%	7.46%	3.85%	3.54%	4.19%	2.31%	4.15%	3.92%	2.57%	5.88%	3.93%	4.92%	3.77%	4.01%	4.06%	3.89%	3.89%	3.21%	4.82%	3.99%	4.92%	3.56%	6.67%	4.99%	2.48%	3.88%	2.99%	3.03%	3.29%	5.19%	6.33%	4.50%	3.03%	4.94%	4.37%	3.76%	4.12%	3.00%	5.65%	5.20%	3.97%	3.88%	5.57%	4.78%	6.07%	5.50%	5.15%	3.73%	4.81%	5.16%	3.72%	4.56%	3.44%	4.76%	3.65%	4.06%									
22	Прохоров Михаил Дмитриевич	21711	203	70	137	163	128	158	272	273	213	44	50	147	234	282	221	174	249	243	217	270	274	204	148	204	287	210	384	426	353	168	47	308	265	197	43	227	176	247	301	273	192	171	115	175	182	246	82	101	164	114	366	478	160	209	157	154	129	132	134	125	108	84	160	90	111	67	193	140	78	228	137	94	72	114	191	205	78	174	177	25	216	300	325	303	238	517	228	257	168	64	123	217	109	87	228	163	92	73	63	138	78	104	96	45	96	111	119	41	71	62	190	68	46	195	171	139	147	165	95	185	290	153	190	110	125	48	60									
		14.26%	11.94%	4.79%	11.45%	8.89%	10.92%	12.77%	15.83%	17.41%	14.06%	7.87%	14.62%	9.98%	15.76%	14.90%	14.56%	13.07%	16.93%	13.56%	14.73%	15.83%	19.50%	10.99%	9.95%	17.38%	18.43%	13.71%	21.56%	22.99%	30.96%	14.51%	14.24%	17.35%	16.52%	15.84%	12.65%	15.48%	11.63%	13.24%	18.32%	16.58%	12.28%	15.13%	11.63%	12.84%	14.04%	13.22%	13.62%	12.17%	10.72%	15.14%	28.44%	66.20%	11.28%	11.99%	17.27%	12.71%	10.48%	9.57%	10.35%	8.97%	12.49%	11.41%	12.63%	14.17%	10.71%	11.51%	15.05%	12.51%	8.53%	17.98%	13.56%	5.13%	18.51%	10.70%	13.01%	15.06%	6.43%	12.91%	12.62%	9.19%	15.48%	19.99%	22.23%	21.94%	22.18%	63.67%	13.23%	12.49%	19.95%	18.13%	13.64%	18.39%	22.80%	11.37%	13.07%	9.62%	13.22%	19.84%	5.30%	10.08%	14.47%	13.16%	11.66%	13.64%	15.82%	16.16%	8.76%	5.12%	11.22%	9.47%	13.35%	17.99%	11.89%	12.07%	9.97%	10.55%	10.64%	11.79%	11.45%	12.04%	14.53%	14.99%	20.17%	7.15%	12.65%	7.31%	11.61%									
23	Путин Владимир Владимирович	80607	1001	898	650	1116	608	572	798	754	747	392	160	860	727	1051	821	790	684	981	684	883	689	962	772	571	716	761	842	912	485	675	172	904	758	651	193	701	865	1055	777	760	830	543	496	821	732	1020	371	428	928	431	585	110	746	983	472	590	646	896	786	859	459	397	661	338	612	388	638	633	481	613	490	1412	177	554	787	670	780	746	716	158	679	710	669	663	520	115	1100	1334	476	177	506	489	247	422	1015	957	398	188	725	804	264	418	421	204	318	347	758	481	357	389	687	200	181	824	878	665	699	753	461	795	868	560	429	843	547	404	281									
		52.95%	58.88%	61.42%	54.35%	60.88%	51.88%	46.24%	46.45%	48.09%	49.31%	70.13%	46.78%	58.38%	48.96%	55.55%	54.08%	59.35%	46.50%	54.74%	46.44%	51.76%	49.04%	51.86%	51.92%	48.64%	45.99%	49.67%	47.28%	49.22%	42.54%	58.29%	52.12%	50.93%	47.26%	52.33%	56.76%	47.82%	57.17%	56.54%	47.29%	46.14%	53.10%	48.05%	50.15%	60.23%	56.48%	54.81%	61.63%	51.57%	60.65%	57.24%	45.45%	15.24%	52.61%	56.40%	51.93%	48.68%	52.48%	64.93%	60.69%	61.67%	53.06%	53.94%	52.17%	53.23%	59.07%	66.67%	49.77%	56.57%	52.63%	48.34%	48.51%	77.03%	45.50%	52.02%	53.61%	49.23%	64.30%	55.34%	51.07%	58.09%	48.67%	47.30%	45.76%	48.01%	48.46%	14.16%	63.81%	64.82%	56.53%	50.14%	56.10%	41.44%	51.67%	55.16%	58.20%	56.49%	57.18%	51.09%	60.98%	58.73%	48.98%	52.91%	51.15%	61.82%	52.39%	50.51%	55.82%	60.05%	56.40%	59.39%	48.28%	52.91%	46.77%	50.99%	51.17%	50.46%	50.58%	53.82%	55.54%	51.72%	43.49%	54.85%	45.54%	54.78%	55.36%	61.49%	54.35%									
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
																																																																																																																																										
