Выборы Президента Российской Федерации																																																																																																																																						
																																																																																																																																						
Наименование Избирательной комиссии:    Одинцовская																																																																																																																																						
																																																																																																																																						
Итоги голосования 																																																																																																																																						
																																																																																																																																						
		Сумма	УИК  1740	УИК  1741	УИК  1742	УИК  1743	УИК  1744	УИК  1745	УИК  1746	УИК  1747	УИК  1748	УИК  1749	УИК  1750	УИК  1751	УИК  1752	УИК  1753	УИК  1754	УИК  1755	УИК  1756	УИК  1757	УИК  1758	УИК  1759	УИК  1760	УИК  1761	УИК  1762	УИК  1763	УИК  1764	УИК  1765	УИК  1766	УИК  1767	УИК  1768	УИК  1769	УИК  1770	УИК  1771	УИК  1772	УИК  1773	УИК  1774	УИК  1775	УИК  1776	УИК  1777	УИК  1778	УИК  1779	УИК  1780	УИК  1781	УИК  1782	УИК  1783	УИК  1784	УИК  1785	УИК  1786	УИК  1787	УИК  1788	УИК  1789	УИК  1790	УИК  1791	УИК  1792	УИК  1793	УИК  1794	УИК  1795	УИК  1796	УИК  1797	УИК  1798	УИК  1799	УИК  1800	УИК  1801	УИК  1802	УИК  1803	УИК  1804	УИК  1805	УИК  1806	УИК  1807	УИК  1808	УИК  1809	УИК  1810	УИК  1811	УИК  1812	УИК  1813	УИК  1814	УИК  1815	УИК  1816	УИК  1817	УИК  1818	УИК  1819	УИК  1820	УИК  1821	УИК  1822	УИК  1823	УИК  1824	УИК  1825	УИК  1826	УИК  1827	УИК  1828	УИК  1829	УИК  1830	УИК  1831	УИК  1832	УИК  1833	УИК  1834	УИК  1835	УИК  1836	УИК  1837	УИК  1838	УИК  1839	УИК  1840	УИК  1841	УИК  1842	УИК  1843	УИК  1844	УИК  1845	УИК  1846	УИК  1847	УИК  1848	УИК  1849	УИК  1850	УИК  1851	УИК  1852	УИК  1853	УИК  1854	УИК  1855	УИК  1856	УИК  1857	УИК  1858	УИК  1859	УИК  1860	УИК  1861	УИК  1862	УИК  1863	УИК  1864	УИК  1865	УИК  1866					
11	Число полученных открепительных  удостоверений	3975	40	40	40	40	40	40	40	40	40	40	40	30	0	40	40	20	40	40	40	20	40	40	40	40	40	30	20	40	20	40	40	40	20	40	20	40	40	40	20	20	20	20	40	10	35	40	40	40	60	40	210	0	40	60	40	40	20	20	20	10	20	40	30	20	40	40	40	40	20	40	20	35	10	10	10	10	10	20	40	20	40	40	40	40	10	10	10	40	43	20	40	20	20	10	30	10	20	40	10	20	50	50	10	60	40	40	40	40	20	20	10	40	40	20	20	10	40	40	20	20	40	20	20	10	20	10	12					
12	Число выданных открепительных удостоверений	2337	19	13	14	20	10	22	25	22	22	21	29	24	0	19	11	16	17	15	15	14	32	20	13	26	9	22	14	12	13	19	28	27	10	25	9	22	14	16	16	10	10	11	23	2	31	22	28	21	56	29	210	0	17	52	29	6	13	6	16	3	12	8	24	14	22	20	8	40	0	21	16	32	6	2	1	0	1	11	23	12	20	26	15	12	6	5	3	25	43	20	16	6	16	10	21	4	4	16	3	15	38	42	10	60	40	28	21	10	15	8	1	35	32	19	10	8	21	19	12	8	5	3	7	7	17	1	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2366	5	8	5	12	7	8	36	8	3	8	14	5	6	16	17	10	8	15	10	6	5	10	20	12	5	12	9	11	19	16	16	14	12	10	12	10	16	10	14	15	6	13	3	6	11	29	8	8	16	13	14	101	7	7	58	25	24	70	27	49	22	20	27	15	10	9	11	11	0	11	21	23	6	41	43	43	20	9	35	29	18	8	12	10	27	173	26	38	35	3	29	13	33	5	25	4	3	25	32	14	13	20	19	32	13	4	0	31	0	7	6	12	14	15	7	2	32	20	77	32	16	25	18	3	13	28	18					
14	Число неиспользованных открепительных удостоверений	1638	21	27	26	20	30	18	15	18	18	19	11	6	0	21	29	4	23	25	25	6	8	20	27	14	31	8	6	28	7	21	12	13	10	15	11	18	26	24	4	10	10	9	17	8	4	18	12	19	4	11	0	0	23	8	11	34	7	14	4	7	8	32	6	6	18	20	32	0	20	19	4	3	4	8	9	10	9	9	17	8	20	14	25	28	4	5	7	15	0	0	24	14	4	0	9	6	16	24	7	5	12	8	0	0	0	12	19	30	5	12	9	5	8	1	10	2	19	21	8	12	35	17	13	3	3	9	1					
15	"Число открепительных удостоверений, выданных в ТИК"	20	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																						
18	. Глазьев Сергей Юрьевич	9257	79	53	80	96	70	120	166	102	133	128	123	77	12	124	124	74	99	124	89	91	128	95	150	111	83	92	36	64	24	94	82	110	82	132	100	95	74	84	95	77	53	56	101	12	60	96	121	109	109	88	36	8	77	122	111	64	32	28	71	40	85	74	82	61	67	104	25	94	22	100	78	60	23	18	7	20	36	102	119	77	64	98	89	65	26	41	35	88	62	38	86	48	45	7	45	8	27	100	27	44	79	93	15	107	141	80	55	91	62	52	39	81	116	75	21	3	95	118	96	96	79	24	19	29	52	28	48					
		6.40%	6.08%	4.10%	6.93%	6.33%	5.88%	10.08%	10.74%	8.15%	8.39%	7.62%	8.12%	7.29%	7.36%	8.72%	9.79%	6.40%	6.67%	8.55%	7.00%	8.20%	8.37%	6.92%	11.94%	8.51%	6.42%	7.22%	4.72%	4.76%	2.49%	6.53%	5.34%	8.19%	8.04%	11.57%	9.41%	7.14%	6.26%	6.23%	7.79%	5.91%	5.60%	5.35%	6.78%	5.38%	4.75%	6.21%	7.85%	7.73%	7.16%	6.25%	2.10%	3.21%	4.98%	7.05%	6.77%	4.15%	4.08%	3.97%	6.38%	6.75%	9.07%	5.87%	7.02%	6.49%	5.36%	8.23%	1.73%	6.69%	1.86%	7.42%	7.75%	7.04%	6.34%	6.19%	4.52%	11.11%	10.26%	11.26%	9.74%	8.41%	4.54%	5.64%	7.50%	4.90%	4.36%	6.40%	6.90%	5.00%	3.45%	5.37%	5.95%	5.84%	3.38%	2.03%	3.90%	3.29%	2.82%	5.78%	8.85%	3.76%	6.01%	6.93%	2.60%	5.67%	8.77%	6.14%	5.01%	6.32%	4.30%	4.85%	5.58%	4.25%	7.62%	5.74%	2.17%	2.19%	7.19%	8.03%	12.45%	10.02%	4.91%	3.40%	1.57%	6.64%	4.43%	6.01%	7.04%					
