Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Ленская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №1086	УИК №1087					
1	"Число избирателей, внесенных в список"	12142	1742	1616	251	361	336	471	475	206	499	302	70	599	500	148	138	267	1731	1718	285	208	219					
2	Число полученных избирательных бюллетеней	12000	1690	1600	250	360	330	480	470	200	500	320	70	600	510	150	130	260	1680	1700	280	220	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6864	1002	987	106	192	176	257	288	157	307	205	34	294	274	115	77	156	918	922	169	86	142					
5	"Число избирательных бюллетеней, выданных вне помещения"	556	88	30	30	11	4	25	36	13	50	0	17	57	16	0	33	7	38	68	2	14	17					
6	Число погашенных избирательных бюллетеней	4580	600	583	114	157	150	198	146	30	143	115	19	249	220	35	20	97	724	710	109	120	41					
7	Число избирательных бюллетеней в переносных ящиках	556	88	30	30	11	4	25	36	13	50	0	17	57	16	0	33	7	38	68	2	14	17					
8	Число бюллетеней в стационарных ящиках для голосования	6863	1002	987	106	192	176	257	288	157	307	205	34	294	274	115	77	156	918	921	169	86	142					
9	Число недействительных избирательных бюллетеней	32	3	4	2	0	5	2	2	1	2	0	0	1	3	0	1	0	3	1	1	0	1					
10	Число действительных избирательных бюллетеней	7387	1087	1013	134	203	175	280	322	169	355	205	51	350	287	115	109	163	953	988	170	100	158					
11	Число полученных открепительных  удостоверений	198	18	20	5	10	10	8	10	5	10	5	5	10	10	5	5	5	20	20	7	5	5					
12	Число выданных открепительных удостоверений	38	9	4	1	3	0	3	1	1	5	4	0	2	2	0	0	0	2	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	4	1	0	1	4	2	2	0	2	0	0	1	1	4	0	0	11	4	0	0	7					
14	Число неиспользованных открепительных удостоверений	160	9	16	4	7	10	5	9	4	5	1	5	8	8	5	5	5	18	19	7	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	154	27	16	2	4	7	6	5	1	7	2	0	3	8	2	7	2	29	19	1	3	3					
		2.08%	2.48%	1.57%	1.47%	1.97%	3.89%	2.13%	1.54%	0.59%	1.96%	0.98%	0.00%	0.85%	2.76%	1.74%	6.36%	1.23%	3.03%	1.92%	0.58%	3.00%	1.89%					
19	. Малышкин Олег Александрович	193	18	24	5	7	3	10	2	4	14	2	0	9	7	4	2	9	33	30	8	0	2					
		2.60%	1.65%	2.36%	3.68%	3.45%	1.67%	3.55%	0.62%	2.35%	3.92%	0.98%	0.00%	2.56%	2.41%	3.48%	1.82%	5.52%	3.45%	3.03%	4.68%	0.00%	1.26%					
20	. Миронов Сергей Михайлович	70	15	6	3	2	2	1	3	1	7	0	0	3	3	1	4	1	12	5	0	1	0					
		0.94%	1.38%	0.59%	2.21%	0.99%	1.11%	0.35%	0.93%	0.59%	1.96%	0.00%	0.00%	0.85%	1.03%	0.87%	3.64%	0.61%	1.26%	0.51%	0.00%	1.00%	0.00%					
21	. Путин Владимир Владимирович	5840	857	795	112	154	153	204	250	146	264	167	44	298	224	89	80	114	745	777	145	83	139					
		78.72%	78.62%	78.17%	82.35%	75.86%	85.00%	72.34%	77.16%	85.88%	73.95%	81.46%	86.27%	84.90%	77.24%	77.39%	72.73%	69.94%	77.93%	78.56%	84.80%	83.00%	87.42%					
22	. Хакамада Ирина Муцуовна	195	26	33	1	6	2	9	7	2	7	7	2	4	7	1	2	9	42	21	5	1	1					
		2.63%	2.39%	3.24%	0.74%	2.96%	1.11%	3.19%	2.16%	1.18%	1.96%	3.41%	3.92%	1.14%	2.41%	0.87%	1.82%	5.52%	4.39%	2.12%	2.92%	1.00%	0.63%					
23	. Харитонов Николай Михайлович	830	128	121	10	27	6	41	54	14	54	24	4	30	31	17	12	24	78	119	11	12	13					
		11.19%	11.74%	11.90%	7.35%	13.30%	3.33%	14.54%	16.67%	8.24%	15.13%	11.71%	7.84%	8.55%	10.69%	14.78%	10.91%	14.72%	8.16%	12.03%	6.43%	12.00%	8.18%					
																												
24	Против всех	105	16	18	1	3	2	9	1	1	2	3	1	3	7	1	2	4	14	17	0	0	0					
		1.42%	1.47%	1.77%	0.74%	1.48%	1.11%	3.19%	0.31%	0.59%	0.56%	1.46%	1.96%	0.85%	2.41%	0.87%	1.82%	2.45%	1.46%	1.72%	0.00%	0.00%	0.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
