Выборы Президента Российской Федерации																																																																
Дата голосования: 18.03.2018																																																																
																																																																
Наименование Избирательной комиссии:    Лысьвенская городская																																																																
																																																																
Сводная таблица итогов голосования																																																																
																																																																
	Число участковых избирательных комиссий	53																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	53																																																														
																																																																
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053									
		13.48%	13.00%	15.12%	12.80%	13.13%	11.75%	16.93%	11.59%	12.67%	16.52%	11.11%	12.95%	16.32%	17.59%	12.80%	14.45%	13.26%	12.25%	16.54%	15.75%	12.22%	11.29%	13.58%	12.42%	11.68%	12.33%	11.36%	13.22%	13.86%	13.31%	13.05%	2.73%	13.72%	17.27%	6.32%	10.00%	19.23%	28.50%	13.85%	17.86%	12.37%	18.90%	10.62%	6.62%	2.86%	18.10%	12.45%	9.89%	10.98%	12.50%	12.74%	14.48%	12.68%	12.37%									
15	Жириновский Владимир Вольфович	3144	103	90	113	44	64	55	94	62	84	91	85	78	48	73	82	65	92	82	53	71	86	84	103	73	68	88	65	88	67	109	33	33	43	13	12	13	24	13	9	61	25	9	11	10	9	50	22	37	30	89	99	65	74									
		8.17%	11.44%	9.72%	10.04%	6.96%	11.57%	8.54%	9.48%	8.36%	8.26%	9.11%	8.66%	7.07%	5.41%	5.70%	7.64%	7.56%	8.67%	6.40%	6.96%	6.83%	7.96%	7.55%	10.49%	7.75%	7.69%	7.75%	6.32%	10.16%	7.49%	8.95%	18.03%	8.71%	9.77%	7.47%	5.22%	8.33%	6.22%	5.00%	6.43%	7.94%	6.56%	7.96%	7.28%	7.14%	7.76%	9.29%	7.77%	14.02%	10.14%	8.52%	8.01%	7.78%	7.57%									
16	Путин Владимир Владимирович	27771	631	656	808	469	393	449	708	531	698	731	720	767	628	948	765	629	751	899	540	770	778	803	703	698	654	842	761	602	653	847	136	278	305	143	188	104	239	198	100	585	270	85	126	121	81	401	221	182	217	762	865	606	726									
		72.14%	70.11%	70.84%	71.82%	74.21%	71.07%	69.72%	71.37%	71.56%	68.63%	73.17%	73.39%	69.54%	70.80%	74.00%	71.30%	73.14%	70.78%	70.12%	70.87%	74.11%	71.97%	72.21%	71.59%	74.10%	73.98%	74.12%	73.96%	69.52%	73.04%	69.54%	74.32%	73.35%	69.32%	82.18%	81.74%	66.67%	61.92%	76.15%	71.43%	76.17%	70.87%	75.22%	83.44%	86.43%	69.83%	74.54%	78.09%	68.94%	73.31%	72.99%	69.98%	72.49%	74.23%									
17	Собчак Ксения Анатольевна	558	9	8	11	9	10	8	20	12	14	16	12	15	9	26	19	17	21	16	13	14	20	31	13	13	14	13	18	7	8	32	3	5	3	2	3	1	3	3	1	6	3	2	1	1	0	2	1	7	1	13	21	10	18									
		1.45%	1.00%	0.86%	0.98%	1.42%	1.81%	1.24%	2.02%	1.62%	1.38%	1.60%	1.22%	1.36%	1.01%	2.03%	1.77%	1.98%	1.98%	1.25%	1.71%	1.35%	1.85%	2.79%	1.32%	1.38%	1.58%	1.14%	1.75%	0.81%	0.89%	2.63%	1.64%	1.32%	0.68%	1.15%	1.30%	0.64%	0.78%	1.15%	0.71%	0.78%	0.79%	1.77%	0.66%	0.71%	0.00%	0.37%	0.35%	2.65%	0.34%	1.25%	1.70%	1.20%	1.84%									
18	Сурайкин Максим Александрович	290	2	6	9	8	3	3	8	8	14	8	8	7	6	18	12	8	7	8	6	5	9	0	4	10	3	6	9	6	6	11	1	3	4	1	1	3	3	4	1	8	1	1	0	2	1	2	2	0	1	6	12	9	6									
		0.75%	0.22%	0.65%	0.80%	1.27%	0.54%	0.47%	0.81%	1.08%	1.38%	0.80%	0.82%	0.63%	0.68%	1.41%	1.12%	0.93%	0.66%	0.62%	0.79%	0.48%	0.83%	0.00%	0.41%	1.06%	0.34%	0.53%	0.87%	0.69%	0.67%	0.90%	0.55%	0.79%	0.91%	0.57%	0.43%	1.92%	0.78%	1.54%	0.71%	1.04%	0.26%	0.88%	0.00%	1.43%	0.86%	0.37%	0.71%	0.00%	0.34%	0.57%	0.97%	1.08%	0.61%									
19	Титов Борис Юрьевич	338	9	5	7	3	4	6	14	10	9	8	7	9	9	13	10	5	7	14	4	13	12	8	15	9	9	7	14	11	11	7	2	0	1	0	2	0	0	1	1	3	2	1	0	0	0	1	3	4	2	13	16	11	6									
