18	. Глазьев Сергей Юрьевич	4812	47	83	100	28	79	32	73	88	86	55	51	50	51	18	65	61	44	62	19	33	49	29	58	54	52	79	76	62	100	74	45	43	85	33	44	20	2	2	7	0	50	126	32	88	27	35	23	17	70	28	29	54	82	7	48	80	49	65	81	62	30	53	81	56	52	62	41	40	72	56	59	52	27	34	26	23	26	23	84	82	37	62	122	50	117	64	44	99	86	47	13					
		5.03%	4.63%	6.54%	6.36%	5.76%	7.34%	5.32%	5.02%	5.92%	6.01%	7.11%	3.69%	4.59%	7.37%	5.59%	5.00%	4.68%	4.53%	6.67%	3.71%	5.76%	4.59%	4.02%	5.11%	6.98%	5.04%	5.01%	7.31%	4.70%	5.70%	4.93%	3.78%	5.35%	5.24%	5.33%	2.84%	3.85%	0.24%	3.03%	2.81%	0.00%	5.19%	7.00%	3.97%	5.93%	1.47%	4.87%	4.75%	4.76%	4.53%	4.89%	5.04%	3.29%	6.59%	6.86%	4.03%	4.71%	6.80%	4.32%	5.01%	5.39%	5.96%	3.57%	5.74%	5.84%	3.13%	6.07%	3.26%	4.54%	4.73%	3.95%	5.36%	5.19%	4.06%	5.30%	3.81%	5.62%	3.75%	3.16%	5.64%	5.45%	4.90%	4.33%	7.16%	3.60%	6.82%	5.70%	5.68%	7.36%	5.42%	5.66%	4.59%					
19	. Малышкин Олег Александрович	2995	28	35	53	12	32	36	43	35	36	17	42	24	15	12	36	41	22	36	22	24	36	25	36	26	30	58	30	31	43	42	49	19	45	23	31	12	69	3	4	0	34	61	10	32	50	31	28	19	55	32	14	37	35	6	47	39	9	41	43	33	17	37	42	36	55	52	42	38	53	70	49	32	22	27	40	32	20	37	43	39	19	45	29	35	55	27	22	25	48	26	12					
		3.13%	2.76%	2.76%	3.37%	2.47%	2.97%	5.99%	2.96%	2.36%	2.51%	2.20%	3.04%	2.20%	2.17%	3.73%	2.77%	3.14%	2.27%	3.87%	4.30%	4.19%	3.37%	3.47%	3.17%	3.36%	2.91%	3.68%	2.88%	2.35%	2.45%	2.80%	4.12%	2.36%	2.77%	3.72%	2.00%	2.31%	8.37%	4.55%	1.61%	0.00%	3.53%	3.39%	1.24%	2.15%	2.72%	4.32%	5.79%	5.32%	3.56%	5.58%	2.43%	2.25%	2.81%	5.88%	3.95%	2.29%	1.25%	2.73%	2.66%	2.87%	3.38%	2.49%	2.97%	3.75%	3.31%	5.09%	3.34%	4.31%	3.48%	4.94%	4.45%	3.19%	3.31%	4.21%	5.87%	7.82%	2.89%	5.08%	2.89%	2.59%	2.52%	3.14%	1.70%	2.52%	3.21%	2.41%	2.84%	1.86%	3.02%	3.13%	4.24%					
20	. Миронов Сергей Михайлович	818	8	12	14	4	8	6	12	10	6	11	14	8	1	2	10	7	12	5	2	8	8	10	10	4	3	10	5	11	13	9	20	5	16	5	7	5	8	1	3	0	6	18	5	17	13	7	8	6	11	1	5	14	12	2	8	26	4	13	17	11	8	17	22	12	9	6	7	4	11	12	11	9	3	6	7	4	5	3	17	16	5	15	14	15	17	5	10	12	12	7	0					
		0.86%	0.79%	0.94%	0.89%	0.82%	0.74%	1.00%	0.83%	0.67%	0.42%	1.42%	1.01%	0.73%	0.14%	0.62%	0.77%	0.54%	1.24%	0.54%	0.39%	1.40%	0.75%	1.39%	0.88%	0.52%	0.29%	0.63%	0.48%	0.83%	0.74%	0.60%	1.68%	0.62%	0.99%	0.81%	0.45%	0.96%	0.97%	1.52%	1.20%	0.00%	0.62%	1.00%	0.62%	1.14%	0.71%	0.97%	1.65%	1.68%	0.71%	0.17%	0.87%	0.85%	0.96%	1.96%	0.67%	1.53%	0.55%	0.86%	1.05%	0.96%	1.59%	1.15%	1.56%	1.25%	0.54%	0.59%	0.56%	0.45%	0.72%	0.85%	1.00%	0.90%	0.45%	0.94%	1.03%	0.98%	0.72%	0.41%	1.14%	1.06%	0.66%	1.05%	0.82%	1.08%	0.99%	0.45%	1.29%	0.89%	0.76%	0.84%	0.00%					
21	. Путин Владимир Владимирович	60919	589	797	972	302	622	353	906	938	816	459	907	715	448	205	850	851	609	566	333	350	666	452	717	472	651	975	592	865	1145	915	735	521	1052	375	1203	352	581	19	165	46	596	1072	460	934	1541	461	309	210	1000	352	319	1207	785	65	774	1027	390	895	935	684	285	862	886	547	1290	657	968	601	932	931	683	625	433	393	459	228	462	449	953	1043	496	921	1013	1020	1037	721	439	805	944	540	193					
		63.70%	57.97%	62.76%	61.83%	62.14%	57.81%	58.74%	62.31%	63.12%	56.98%	59.30%	65.68%	65.66%	64.74%	63.66%	65.43%	65.26%	62.72%	60.86%	65.04%	61.08%	62.42%	62.69%	63.17%	60.98%	63.14%	61.87%	56.92%	65.58%	65.24%	61.00%	61.82%	64.80%	64.86%	60.58%	77.76%	67.69%	70.51%	28.79%	66.27%	88.46%	61.83%	59.59%	57.07%	62.90%	83.70%	64.21%	63.84%	58.82%	64.72%	61.43%	55.48%	73.55%	63.05%	63.73%	65.04%	60.41%	54.09%	59.51%	57.79%	59.43%	56.66%	58.13%	62.75%	57.04%	77.71%	64.29%	77.01%	68.14%	61.28%	65.75%	62.09%	62.38%	65.11%	61.31%	67.30%	55.75%	66.67%	61.59%	64.00%	69.30%	65.70%	64.27%	59.45%	73.38%	60.47%	64.26%	56.72%	59.81%	59.48%	65.06%	68.20%					
22	. Хакамада Ирина Муцуовна	4690	53	90	104	22	57	27	68	99	79	39	58	66	24	10	67	55	53	41	34	27	57	30	58	27	60	66	62	72	94	61	64	40	90	27	51	18	42	4	5	3	49	98	48	71	38	32	19	17	87	32	21	79	65	0	57	109	61	91	82	76	21	90	76	16	48	34	29	24	51	60	33	43	25	25	17	23	43	34	99	72	35	74	99	63	98	47	56	70	103	33	13					
		4.90%	5.22%	7.09%	6.62%	4.53%	5.30%	4.49%	4.68%	6.66%	5.52%	5.04%	4.20%	6.06%	3.47%	3.11%	5.16%	4.22%	5.46%	4.41%	6.64%	4.71%	5.34%	4.16%	5.11%	3.49%	5.82%	4.19%	5.96%	5.46%	5.36%	4.07%	5.38%	4.98%	5.55%	4.36%	3.30%	3.46%	5.10%	6.06%	2.01%	5.77%	5.08%	5.45%	5.96%	4.78%	2.06%	4.46%	3.93%	4.76%	5.63%	5.58%	3.65%	4.81%	5.22%	0.00%	4.79%	6.41%	8.46%	6.05%	5.07%	6.60%	4.17%	6.07%	5.38%	1.67%	2.89%	3.33%	2.31%	2.72%	3.35%	4.24%	3.00%	4.29%	3.76%	3.90%	2.49%	5.62%	6.20%	4.66%	6.65%	4.78%	4.64%	5.16%	5.81%	4.53%	5.71%	4.19%	7.24%	5.20%	6.49%	3.98%	4.59%					
23	. Харитонов Николай Михайлович	15787	212	182	225	94	221	110	266	212	321	152	213	152	108	60	189	209	170	178	79	85	172	135	190	142	176	305	212	198	271	297	202	140	199	115	135	96	4	37	60	2	174	323	208	261	65	104	73	73	213	100	160	123	203	17	185	323	169	301	365	230	114	327	222	249	134	143	121	140	314	212	205	180	123	113	89	79	99	148	200	153	129	237	349	114	304	196	160	247	314	140	36					
		16.51%	20.87%	14.33%	14.31%	19.34%	20.54%	18.30%	18.29%	14.27%	22.42%	19.64%	15.42%	13.96%	15.61%	18.63%	14.55%	16.03%	17.51%	19.14%	15.43%	14.83%	16.12%	18.72%	16.74%	18.35%	17.07%	19.35%	20.38%	15.01%	15.44%	19.80%	16.99%	17.41%	12.27%	18.58%	8.73%	18.46%	0.49%	56.06%	24.10%	3.85%	18.05%	17.95%	25.81%	17.58%	3.53%	14.48%	15.08%	20.45%	13.79%	17.45%	27.83%	7.50%	16.31%	16.67%	15.55%	19.00%	23.44%	20.01%	22.56%	19.98%	22.66%	22.05%	15.72%	25.96%	8.07%	13.99%	9.63%	15.87%	20.64%	14.97%	18.64%	17.96%	18.50%	17.63%	13.05%	19.32%	14.29%	20.30%	13.43%	10.17%	17.09%	16.54%	20.48%	8.20%	17.73%	17.47%	20.67%	18.35%	19.79%	16.87%	12.72%					
																																																																																																		
24	Против всех	5027	67	69	94	24	50	34	78	100	83	37	87	64	44	8	70	70	51	36	21	42	74	30	58	43	47	72	58	74	83	88	64	26	128	39	67	16	107	0	4	1	46	92	42	74	105	42	21	12	102	20	23	120	54	5	62	87	34	93	85	45	24	88	73	35	61	54	47	30	70	66	49	55	26	35	39	19	35	34	86	95	31	74	69	89	78	56	37	85	68	32	15					
		5.26%	6.59%	5.43%	5.98%	4.94%	4.65%	5.66%	5.36%	6.73%	5.80%	4.78%	6.30%	5.88%	6.36%	2.48%	5.39%	5.37%	5.25%	3.87%	4.10%	7.33%	6.94%	4.16%	5.11%	5.56%	4.56%	4.57%	5.58%	5.61%	4.73%	5.87%	5.38%	3.23%	7.89%	6.30%	4.33%	3.08%	12.99%	0.00%	1.61%	1.92%	4.77%	5.11%	5.21%	4.98%	5.70%	5.85%	4.34%	3.36%	6.60%	3.49%	4.00%	7.31%	4.34%	4.90%	5.21%	5.12%	4.72%	6.18%	5.25%	3.91%	4.77%	5.93%	5.17%	3.65%	3.67%	5.28%	3.74%	3.40%	4.60%	4.66%	4.45%	5.49%	3.91%	5.46%	5.72%	4.65%	5.05%	4.66%	5.78%	6.31%	4.11%	5.16%	4.05%	6.40%	4.55%	4.99%	4.78%	6.32%	4.28%	3.86%	5.30%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
