Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    ТИК Дигорского района																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63					
1	"Число избирателей, внесенных в список избирателей"	14315	1379	1534	1538	1471	802	803	875	966	718	481	1281	1227	1083	157					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14427	1424	1523	1574	1510	768	753	817	902	678	487	1392	1322	1137	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9674	556	478	920	947	640	697	747	777	602	465	811	971	924	139					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	614	22	52	50	54	52	36	55	71	55	16	72	58	21	0					
6	Число погашенных избирательных бюллетеней	4139	846	993	604	509	76	20	15	54	21	6	509	293	192	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	614	22	52	50	54	52	36	55	71	55	16	72	58	21	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9649	556	478	895	947	640	697	747	777	602	465	811	971	924	139					
9	Число недействительных избирательных бюллетеней	134	21	13	16	11	0	0	0	6	5	3	16	17	25	1					
10	Число действительных избирательных бюллетеней	10129	557	517	929	990	692	733	802	842	652	478	867	1012	920	138					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	25	25	25	25	15	15	15	15	15	10	25	20	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	15	0	2	2	1	0	3	1	2	1	1	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	1	1	1	3	0	0	2	2	0	0	3	0	0	17					
14	Число погашенных неиспользованных открепительных удостоверений	235	25	23	23	24	15	12	14	13	14	9	25	18	20	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	250	10	30	27	19	0	0	12	16	8	3	61	26	26	12					
		2.44%	1.73%	5.66%	2.86%	1.90%	0.00%	0.00%	1.50%	1.89%	1.22%	0.62%	6.91%	2.53%	2.75%	8.63%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	90	11	6	6	8	0	0	0	2	2	5	47	2	1	0					
		0.88%	1.90%	1.13%	0.63%	0.80%	0.00%	0.00%	0.00%	0.24%	0.30%	1.04%	5.32%	0.19%	0.11%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	3	2	8	4	0	0	0	0	0	0	2	2	0	0					
		0.20%	0.52%	0.38%	0.85%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.19%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1742	179	171	185	187	57	74	90	210	108	53	139	150	119	20					
		16.97%	30.97%	32.26%	19.58%	18.68%	8.24%	10.10%	11.22%	24.76%	16.44%	11.02%	15.74%	14.58%	12.59%	14.39%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	33	1	8	8	10	0	0	0	0	0	0	4	1	1	0					
		0.32%	0.17%	1.51%	0.85%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.10%	0.11%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7974	351	300	691	761	635	659	700	614	534	417	608	827	771	106					
		77.70%	60.73%	56.60%	73.12%	76.02%	91.76%	89.90%	87.28%	72.41%	81.28%	86.69%	68.86%	80.37%	81.59%	76.26%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	19	2	0	4	1	0	0	0	0	0	0	6	4	2	0					
		0.19%	0.35%	0.00%	0.42%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.39%	0.21%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
