Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Холмогорская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988					
1	"Число избирателей, внесенных в список"	22931	479	242	234	389	1529	2110	167	319	258	203	2238	166	562	1430	193	171	1282	732	922	172	234	210	381	315	163	149	828	170	96	2582	148	139	81	417	245	118	116	282	531	266	992	484	76	110					
2	Число полученных избирательных бюллетеней	21000	430	220	210	340	1340	1890	162	300	230	196	2030	163	520	1290	188	178	1210	680	839	168	210	200	340	280	163	155	760	150	90	2310	147	147	75	380	220	117	117	260	480	240	910	460	79	126					
3	"Число избирательных бюллетеней, выданных  досрочно"	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	45	0	44	0	0	0	0	0	0	0	0	0	0	0	0	3	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12899	297	138	123	220	933	1275	113	166	206	112	1255	87	315	874	122	87	608	484	524	87	104	135	170	156	97	100	470	91	68	1301	77	86	43	230	142	75	74	144	266	121	540	282	41	60					
5	"Число избирательных бюллетеней, выданных вне помещения"	1280	34	15	17	18	55	32	13	49	3	14	53	12	35	41	11	26	46	10	19	56	42	25	56	30	6	11	64	5	8	173	21	5	9	27	17	16	9	30	64	25	23	31	20	4					
6	Число погашенных избирательных бюллетеней	6715	99	67	70	102	352	583	36	85	21	70	722	64	170	375	55	65	556	186	296	25	64	40	114	94	60	44	212	9	14	792	49	56	23	123	61	26	34	86	150	94	347	147	15	62					
7	Число избирательных бюллетеней в переносных ящиках	1386	34	15	17	18	55	32	13	49	3	14	53	12	35	41	11	26	46	10	19	56	42	25	56	30	6	11	78	50	8	217	21	5	9	27	17	16	9	30	64	25	23	31	23	4					
8	Число бюллетеней в стационарных ящиках для голосования	12897	297	138	123	220	933	1273	113	166	206	112	1255	87	315	874	122	87	608	484	524	87	104	135	170	156	97	100	470	91	68	1301	77	86	43	230	142	75	74	144	266	121	540	282	41	60					
9	Число недействительных избирательных бюллетеней	95	2	0	1	0	7	13	0	4	2	0	7	0	1	6	1	2	1	4	2	0	0	0	1	1	4	0	8	0	3	11	1	0	0	3	1	0	1	0	2	1	5	0	0	0					
10	Число действительных избирательных бюллетеней	14188	329	153	139	238	981	1292	126	211	207	126	1301	99	349	909	132	111	653	490	541	143	146	160	225	185	99	111	540	141	73	1507	97	91	52	254	158	91	82	174	328	145	558	313	64	64					
11	Число полученных открепительных  удостоверений	435	18	6	6	4	15	20	4	4	21	6	16	4	15	20	12	4	18	12	28	4	12	18	8	12	4	4	14	6	4	22	8	4	4	4	5	4	10	6	6	4	11	10	8	10					
12	Число выданных открепительных удостоверений	250	7	1	0	2	6	12	0	1	10	2	16	0	11	7	7	1	10	11	25	0	5	17	6	4	1	0	13	3	1	22	0	1	0	4	3	2	2	2	4	0	11	9	3	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	179	5	2	1	5	5	19	2	4	3	5	9	2	2	11	2	1	11	5	3	3	1	0	13	2	1	0	5	4	4	18	1	1	2	7	1	4	1	1	5	0	0	6	1	1					
14	Число неиспользованных открепительных удостоверений	185	11	5	6	2	9	8	4	3	11	4	0	4	4	13	5	3	8	1	3	4	7	1	2	8	3	4	1	3	3	0	8	3	4	0	2	2	8	4	2	4	0	1	5	2					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
