Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Ельцовская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5137	208	2386	1162	329	760	292									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5300	200	2500	1200	350	750	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2	2	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2143	130	1014	446	165	255	133									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	344	10	96	71	8	145	14									
6	Число погашенных избирательных бюллетеней	2811	58	1390	683	177	350	153									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	346	12	96	71	8	145	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2140	130	1011	446	165	255	133									
9	Число недействительных избирательных бюллетеней	70	3	32	9	4	17	5									
10	Число действительных избирательных бюллетеней	2416	139	1075	508	169	383	142									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	5	45	25	5	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	17	0	15	0	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	2	9	4	0	6	9									
14	Число погашенных неиспользованных открепительных удостоверений	83	5	30	25	5	15	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	24	0	15	1	1	6	1									
		0.97%	0.00%	1.36%	0.19%	0.58%	1.50%	0.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	100	5	52	22	6	11	4									
		4.02%	3.52%	4.70%	4.26%	3.47%	2.75%	2.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	52	0	23	15	0	12	2									
		2.09%	0.00%	2.08%	2.90%	0.00%	3.00%	1.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1158	67	453	256	93	211	78									
		46.58%	47.18%	40.92%	49.52%	53.76%	52.75%	53.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	0	6	2	0	1	0									
		0.36%	0.00%	0.54%	0.39%	0.00%	0.25%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	1	0	1	1	0									
		0.12%	0.00%	0.09%	0.00%	0.58%	0.25%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	406	17	189	79	28	72	21									
		16.33%	11.97%	17.07%	15.28%	16.18%	18.00%	14.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	0	1	2	0	0	0									
		0.12%	0.00%	0.09%	0.39%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	15	1	7	5	0	2	0									
		0.60%	0.70%	0.63%	0.97%	0.00%	0.50%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	1	1	0	1	0									
		0.16%	0.70%	0.09%	0.19%	0.00%	0.25%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	1	19	0	1	2	0									
		0.93%	0.70%	1.72%	0.00%	0.58%	0.50%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	425	26	208	95	28	42	26									
		17.10%	18.31%	18.79%	18.38%	16.18%	10.50%	17.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	1	4	2	0	3	0									
		0.40%	0.70%	0.36%	0.39%	0.00%	0.75%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	184	20	96	28	11	19	10									
		7.40%	14.08%	8.67%	5.42%	6.36%	4.75%	6.80%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
