Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Усть-Куломская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679					
1	"Число избирателей, внесенных в список"	22320	217	652	494	307	376	476	1311	200	404	1855	1995	989	253	1275	344	175	196	1327	279	563	587	114	103	160	109	366	436	352	890	523	308	294	155	161	359	500	221	1291	460	402	203	381	257					
2	Число полученных избирательных бюллетеней	22225	210	640	490	310	360	480	1300	215	390	1900	2050	990	250	1250	340	175	195	1340	260	550	580	115	105	165	110	370	440	360	900	510	300	290	155	160	350	480	210	1280	440	390	200	380	240					
3	"Число избирательных бюллетеней, выданных  досрочно"	102	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12361	160	323	233	200	209	241	780	142	205	882	943	417	154	659	208	100	89	738	188	363	352	90	74	106	65	251	284	231	534	241	180	175	107	101	217	301	183	603	258	253	147	203	171					
5	"Число избирательных бюллетеней, выданных вне помещения"	2045	25	146	86	25	68	54	71	28	18	78	71	165	17	93	36	23	27	95	22	22	62	0	5	10	13	14	53	34	50	83	36	54	31	31	30	73	11	177	50	18	12	17	11					
6	Число погашенных избирательных бюллетеней	7717	25	171	171	85	83	185	449	45	125	940	1036	408	79	498	96	52	79	467	50	165	166	25	26	49	32	105	103	95	316	186	84	61	17	28	103	106	16	500	132	99	41	160	58					
7	Число избирательных бюллетеней в переносных ящиках	2147	25	146	86	25	68	54	71	28	60	78	71	165	17	93	36	23	27	135	22	22	62	0	5	10	13	14	53	34	50	83	36	54	31	31	30	73	11	177	50	38	12	17	11					
8	Число бюллетеней в стационарных ящиках для голосования	12361	160	323	233	200	209	241	780	142	205	882	943	417	154	659	208	100	89	738	188	363	352	90	74	106	65	251	284	231	534	241	180	175	107	101	217	301	183	603	258	253	147	203	171					
9	Число недействительных избирательных бюллетеней	131	2	2	1	1	3	3	5	1	9	9	12	7	2	8	1	1	1	3	2	3	8	0	1	2	0	2	6	2	6	5	3	3	4	0	0	0	3	7	0	0	0	3	0					
10	Число действительных избирательных бюллетеней	14377	183	467	318	224	274	292	846	169	256	951	1002	575	169	744	243	122	115	870	208	382	406	90	78	114	78	263	331	263	578	319	213	226	134	132	247	374	191	773	308	291	159	217	182					
11	Число полученных открепительных  удостоверений	239	4	4	4	4	2	3	16	2	2	36	30	6	6	6	5	2	2	10	3	3	4	2	2	2	2	4	4	3	6	5	2	3	2	3	5	3	2	11	3	9	3	6	3					
12	Число выданных открепительных удостоверений	141	0	0	1	0	2	2	9	2	1	24	23	1	0	6	4	0	0	3	0	1	3	0	0	2	1	3	0	3	6	5	1	3	0	1	2	0	2	11	3	8	2	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	100	0	1	1	2	2	3	11	1	1	5	6	4	0	7	1	0	1	5	4	1	2	1	0	2	1	3	1	3	3	3	1	1	4	0	0	1	4	2	7	3	2	0	0					
14	Число неиспользованных открепительных удостоверений	98	4	4	3	4	0	1	7	0	1	12	7	5	6	0	1	2	2	7	3	2	1	2	2	0	1	1	4	0	0	0	1	0	2	2	3	3	0	0	0	1	1	0	3					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	286	4	10	4	7	12	11	15	1	7	27	22	12	0	11	5	1	0	16	3	4	4	0	2	3	4	2	8	5	9	11	3	2	1	1	8	6	1	17	11	5	2	5	4					
