Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Ямальская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201					
1	"Число избирателей, внесенных в список"	9233	597	1085	1090	1316	808	218	1121	899	505	1594					
2	Число полученных избирательных бюллетеней	9185	600	1050	1100	1300	820	225	1100	900	500	1590					
3	"Число избирательных бюллетеней, выданных  досрочно"	2972	103	394	1039	0	0	0	310	0	202	924					
4	"Число избирательных бюллетеней, выданных в день голосования"	5587	469	610	50	1130	673	201	696	839	288	631					
5	"Число избирательных бюллетеней, выданных вне помещения"	270	15	24	0	67	71	11	50	0	0	32					
6	Число погашенных избирательных бюллетеней	356	13	22	11	103	76	13	44	61	10	3					
7	Число избирательных бюллетеней в переносных ящиках	3242	118	418	1039	67	71	11	360	0	202	956					
8	Число бюллетеней в стационарных ящиках для голосования	5587	469	610	50	1130	673	201	696	839	288	631					
9	Число недействительных избирательных бюллетеней	43	10	4	4	8	3	0	8	1	3	2					
10	Число действительных избирательных бюллетеней	8786	577	1024	1085	1189	741	212	1048	838	487	1585					
11	Число полученных открепительных  удостоверений	225	15	15	5	50	40	10	30	20	20	20					
12	Число выданных открепительных удостоверений	137	5	7	0	28	33	1	21	15	16	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	4	7	0	12	2	3	15	5	2	5					
14	Число неиспользованных открепительных удостоверений	88	10	8	5	22	7	9	9	5	4	9					
15	"Число открепительных удостоверений, выданных в ТИК"	16	0	0	0	11	5	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	94	2	7	40	7	9	2	5	12	3	7					
		1.06%	0.34%	0.68%	3.67%	0.58%	1.21%	0.94%	0.47%	1.43%	0.61%	0.44%					
19	. Малышкин Олег Александрович	55	2	3	7	5	7	1	5	15	2	8					
		0.62%	0.34%	0.29%	0.64%	0.42%	0.94%	0.47%	0.47%	1.79%	0.41%	0.50%					
20	. Миронов Сергей Михайлович	39	2	6	1	7	7	0	6	4	1	5					
		0.44%	0.34%	0.58%	0.09%	0.58%	0.94%	0.00%	0.57%	0.48%	0.20%	0.32%					
21	. Путин Владимир Владимирович	8280	549	987	1035	1148	688	203	987	697	463	1523					
		93.78%	93.53%	96.01%	95.04%	95.91%	92.47%	95.75%	93.47%	83.08%	94.49%	95.97%					
22	. Хакамада Ирина Муцуовна	120	2	5	1	9	13	1	22	41	8	18					
		1.36%	0.34%	0.49%	0.09%	0.75%	1.75%	0.47%	2.08%	4.89%	1.63%	1.13%					
23	. Харитонов Николай Михайлович	116	5	8	1	8	8	5	15	46	7	13					
		1.31%	0.85%	0.78%	0.09%	0.67%	1.08%	2.36%	1.42%	5.48%	1.43%	0.82%					
																	
24	Против всех	82	15	8	0	5	9	0	8	23	3	11					
		0.93%	2.56%	0.78%	0.00%	0.42%	1.21%	0.00%	0.76%	2.74%	0.61%	0.69%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
