Выборы Президента Российской Федерации																																																																					
Дата голосования: 02.03.2008																																																																					
																																																																					
Наименование Избирательной комиссии:    Элистинская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
	Число участковых избирательных комиссий	62																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	62																																																																			
																																																																					
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62					
14	Число неиспользованных открепительных удостоверений	660	13	7	17	12	24	0	14	29	24	0	13	10	14	8	12	17	11	10	11	14	15	9	5	3	10	17	7	22	16	18	2	15	12	11	4	6	13	15	9	25	21	10	12	7	13	3	2	12	7	16	16	6	0	6	0	9	4	9	13	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	72	7	4	2	0	0	1	0	2	4	0	0	1	3	0	0	0	1	1	2	0	1	2	0	1	2	2	1	0	4	1	1	2	2	3	3	2	1	1	0	2	0	0	0	0	0	0	1	1	0	4	1	1	0	1	2	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	Богданов Андрей Владимирович	805	23	17	20	26	11	16	16	10	17	1	13	19	11	10	18	5	16	9	10	7	19	24	20	2	23	17	18	16	28	10	23	22	19	10	13	16	6	19	11	14	10	13	8	9	15	15	22	14	11	14	13	1	6	1	12	12	1	9	5	1	0	8					
		1.70%	1.88%	1.68%	1.94%	2.68%	1.52%	1.43%	1.82%	1.16%	1.43%	0.57%	1.59%	2.35%	1.32%	1.28%	2.50%	0.69%	1.37%	1.44%	1.91%	1.11%	1.98%	1.93%	1.40%	0.54%	3.35%	1.71%	2.30%	1.67%	2.30%	1.05%	2.42%	2.60%	1.76%	1.30%	1.28%	1.77%	0.85%	2.01%	1.02%	1.48%	1.48%	2.22%	1.31%	1.77%	1.78%	2.61%	2.04%	1.81%	1.91%	1.80%	1.25%	0.69%	2.19%	1.16%	2.48%	1.28%	0.48%	1.17%	1.02%	1.33%	0.00%	2.94%					
19	Жириновский Владимир Вольфович	2577	40	42	42	67	71	69	66	61	29	6	28	29	37	45	24	104	56	65	42	43	46	66	37	23	13	47	49	52	59	41	29	38	47	30	47	32	41	37	143	96	61	49	29	35	25	41	58	39	14	22	41	9	32	3	7	54	18	84	8	2	1	6					
