Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Газимуро-Заводская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529					
1	"Число избирателей, внесенных в список"	6789	91	367	68	84	205	267	1757	410	782	622	72	435	102	305	150	386	80	165	176	265					
2	Число полученных избирательных бюллетеней	6672	94	370	71	88	205	254	1547	420	786	619	73	441	105	322	157	388	82	170	200	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3585	79	189	60	80	131	185	715	194	321	311	58	251	61	166	102	218	37	103	108	216					
5	"Число избирательных бюллетеней, выданных вне помещения"	545	3	20	7	1	21	36	48	44	93	70	2	52	13	37	9	16	9	6	49	9					
6	Число погашенных избирательных бюллетеней	2542	12	161	4	7	53	33	784	182	372	238	13	138	31	119	46	154	36	61	43	55					
7	Число избирательных бюллетеней в переносных ящиках	545	3	20	7	1	21	36	48	44	93	70	2	52	13	37	9	16	9	6	49	9					
8	Число бюллетеней в стационарных ящиках для голосования	3585	79	189	60	80	131	185	715	194	321	311	58	251	61	166	102	218	37	103	108	216					
9	Число недействительных избирательных бюллетеней	44	1	6	0	0	0	1	10	3	6	7	0	1	0	2	1	4	0	0	0	2					
10	Число действительных избирательных бюллетеней	4086	81	203	67	81	152	220	753	235	408	374	60	302	74	201	110	230	46	109	157	223					
11	Число полученных открепительных  удостоверений	96	2	3	0	4	0	2	24	0	20	7	2	7	2	5	2	8	2	2	2	2					
12	Число выданных открепительных удостоверений	60	0	2	0	4	0	0	24	0	9	1	0	7	0	3	1	8	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	1	1	1	1	4	23	8	1	1	1	1	2	1	3	2	1	6	1	5	2					
14	Число неиспользованных открепительных удостоверений	36	2	1	0	0	0	2	0	0	11	6	2	0	2	2	1	0	2	2	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	88	1	4	2	4	3	9	16	2	14	15	1	2	1	2	0	6	3	1	0	2					
		2.13%	1.22%	1.91%	2.99%	4.94%	1.97%	4.07%	2.10%	0.84%	3.38%	3.94%	1.67%	0.66%	1.35%	0.99%	0.00%	2.56%	6.52%	0.92%	0.00%	0.89%					
19	. Малышкин Олег Александрович	112	3	10	1	4	0	9	14	1	7	8	5	8	2	3	9	5	3	1	7	12					
		2.71%	3.66%	4.78%	1.49%	4.94%	0.00%	4.07%	1.83%	0.42%	1.69%	2.10%	8.33%	2.64%	2.70%	1.48%	8.11%	2.14%	6.52%	0.92%	4.46%	5.33%					
20	. Миронов Сергей Михайлович	45	1	2	0	0	6	6	4	0	6	7	1	3	0	0	1	1	1	0	2	4					
		1.09%	1.22%	0.96%	0.00%	0.00%	3.95%	2.71%	0.52%	0.00%	1.45%	1.84%	1.67%	0.99%	0.00%	0.00%	0.90%	0.43%	2.17%	0.00%	1.27%	1.78%					
21	. Путин Владимир Владимирович	3069	57	123	56	61	97	163	593	207	327	242	46	219	53	186	76	176	32	100	131	124					
		74.31%	69.51%	58.85%	83.58%	75.31%	63.82%	73.76%	77.72%	86.97%	78.99%	63.52%	76.67%	72.28%	71.62%	91.63%	68.47%	75.21%	69.57%	91.74%	83.44%	55.11%					
22	. Хакамада Ирина Муцуовна	48	0	7	1	0	2	0	7	0	8	7	0	3	1	1	2	4	2	2	0	1					
		1.16%	0.00%	3.35%	1.49%	0.00%	1.32%	0.00%	0.92%	0.00%	1.93%	1.84%	0.00%	0.99%	1.35%	0.49%	1.80%	1.71%	4.35%	1.83%	0.00%	0.44%					
23	. Харитонов Николай Михайлович	662	18	55	5	11	43	26	110	23	42	85	7	63	17	8	22	31	5	4	14	73					
		16.03%	21.95%	26.32%	7.46%	13.58%	28.29%	11.76%	14.42%	9.66%	10.14%	22.31%	11.67%	20.79%	22.97%	3.94%	19.82%	13.25%	10.87%	3.67%	8.92%	32.44%					
																											
24	Против всех	62	1	2	2	1	1	7	9	2	4	10	0	4	0	1	0	7	0	1	3	7					
		1.50%	1.22%	0.96%	2.99%	1.23%	0.66%	3.17%	1.18%	0.84%	0.97%	2.62%	0.00%	1.32%	0.00%	0.49%	0.00%	2.99%	0.00%	0.92%	1.91%	3.11%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
