Выборы Президента Российской Федерации																																								
																																								
"Наименование Избирательной комиссии:    Волгоград, Центральная"																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588					
1	"Число избирателей, внесенных в список"	67349	3051	2544	1439	2425	2800	1822	2455	2086	2024	2476	2466	2200	1479	2160	1231	1048	1181	2084	2412	1989	2506	2623	1959	2083	2013	1789	2566	1922	1891	1730	1635	1432	1828					
2	Число полученных избирательных бюллетеней	60800	2600	2300	1300	2200	2600	1600	2300	1900	1900	2300	2300	2000	1400	2000	1100	1100	1000	1900	2200	1800	2200	2300	1800	1900	1900	1600	2300	1800	1700	1600	1500	1200	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	39345	1618	1427	785	1333	1604	1100	1535	1296	1197	1492	1465	1360	825	1155	548	1048	650	1114	1326	1080	1284	1394	1127	1138	1260	1134	1548	1182	1071	1061	1126	954	1108					
5	"Число избирательных бюллетеней, выданных вне помещения"	1491	12	29	13	33	21	7	23	33	37	48	26	37	37	54	42	0	19	142	65	26	41	219	37	54	40	42	63	44	28	62	47	40	70					
6	Число погашенных избирательных бюллетеней	19959	970	844	502	834	975	493	742	571	666	760	809	603	538	786	510	52	331	644	809	694	875	687	636	708	600	424	689	574	601	477	327	206	22					
7	Число избирательных бюллетеней в переносных ящиках	1491	12	29	13	33	21	7	23	33	37	48	26	37	37	54	42	0	19	142	65	26	41	219	37	54	40	42	63	44	28	62	47	40	70					
8	Число бюллетеней в стационарных ящиках для голосования	39279	1618	1427	785	1333	1604	1100	1531	1296	1197	1491	1465	1360	825	1150	545	1048	649	1114	1326	1080	1284	1393	1127	1135	1220	1134	1548	1182	1070	1061	1120	953	1108					
9	Число недействительных избирательных бюллетеней	195	19	6	5	6	6	4	5	8	9	12	1	6	5	6	0	4	2	10	10	3	3	5	8	5	4	1	5	5	2	3	9	5	13					
10	Число действительных избирательных бюллетеней	40575	1611	1450	793	1360	1619	1103	1549	1321	1225	1527	1490	1391	857	1198	587	1044	666	1246	1381	1103	1322	1607	1156	1184	1256	1175	1606	1221	1096	1120	1158	988	1165					
11	Число полученных открепительных  удостоверений	805	25	25	25	25	25	30	25	25	25	25	25	25	25	25	25	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25					
12	Число выданных открепительных удостоверений	402	25	15	11	12	16	26	19	9	9	11	19	19	10	3	0	0	10	8	17	13	22	17	14	7	7	4	12	12	13	11	12	9	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	611	17	15	6	6	14	18	13	9	21	21	9	13	14	12	42	60	14	19	10	6	11	11	24	33	20	20	17	17	52	9	16	21	21					
14	Число неиспользованных открепительных удостоверений	403	0	10	14	13	9	4	6	16	16	14	6	6	15	22	25	0	15	17	8	12	3	8	11	18	18	21	13	13	12	14	13	16	15					
15	"Число открепительных удостоверений, выданных в ТИК"	10	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1					
16	Число утраченных избирательных бюллетеней	11	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0					
17	Число не учтенных при получении избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	2413	53	94	52	70	100	56	92	101	65	104	118	96	47	68	40	5	19	53	79	66	67	87	58	71	76	72	123	109	90	91	78	72	41					
		5.92%	3.25%	6.46%	6.52%	5.12%	6.15%	5.06%	5.92%	7.60%	5.27%	6.76%	7.91%	6.87%	5.45%	5.65%	6.81%	0.48%	2.84%	4.22%	5.68%	5.97%	5.06%	5.40%	4.98%	5.97%	6.03%	6.12%	7.64%	8.89%	8.20%	8.10%	6.68%	7.25%	3.48%					
