Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Питерская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973					
1	"Число избирателей, внесенных в список"	13952	1863	2329	687	960	694	200	720	478	603	43	805	160	1154	749	118	95	535	110	741	137	317	454					
2	Число полученных избирательных бюллетеней	14055	1869	2388	692	966	699	201	717	482	603	44	802	163	1176	754	121	97	535	112	732	139	316	447					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11898	1527	2129	511	783	606	195	668	438	525	42	688	148	874	664	92	84	452	100	630	126	279	337					
5	"Число избирательных бюллетеней, выданных вне помещения"	835	85	68	53	57	47	0	0	15	38	0	48	0	178	27	24	9	52	10	46	7	11	60					
6	Число погашенных избирательных бюллетеней	1322	257	191	128	126	46	6	49	29	40	2	66	15	124	63	5	4	31	2	56	6	26	50					
7	Число избирательных бюллетеней в переносных ящиках	835	85	68	53	57	47	0	0	15	38	0	48	0	178	27	24	9	52	10	46	7	11	60					
8	Число бюллетеней в стационарных ящиках для голосования	11898	1527	2129	511	783	606	195	668	438	525	42	688	148	874	664	92	84	452	100	630	126	279	337					
9	Число недействительных избирательных бюллетеней	70	5	7	2	0	8	0	0	5	0	0	8	2	2	0	0	5	0	0	6	0	20	0					
10	Число действительных избирательных бюллетеней	12663	1607	2190	562	840	645	195	668	448	563	42	728	146	1050	691	116	88	504	110	670	133	270	397					
11	Число полученных открепительных  удостоверений	245	30	30	10	15	10	5	10	10	10	5	10	5	20	15	5	5	10	5	10	5	10	10					
12	Число выданных открепительных удостоверений	120	22	27	7	6	10	0	10	4	0	0	0	2	9	9	1	0	3	0	0	4	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	7	8	1	0	0	1	2	1	0	1	1	1	1	2	1	0	2	0	1	0	2	2					
14	Число неиспользованных открепительных удостоверений	125	8	3	3	9	0	5	0	6	10	5	10	3	11	6	4	5	7	5	10	1	8	6					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	148	10	51	21	3	11	4	0	2	3	0	7	2	4	7	0	1	2	2	6	2	5	5					
		1.16%	0.62%	2.32%	3.72%	0.36%	1.68%	2.05%	0.00%	0.44%	0.53%	0.00%	0.95%	1.35%	0.38%	1.01%	0.00%	1.08%	0.40%	1.82%	0.89%	1.50%	1.72%	1.26%					
19	. Малышкин Олег Александрович	205	35	77	4	5	19	0	0	3	2	5	7	2	8	4	0	0	9	0	3	1	9	12					
		1.61%	2.17%	3.50%	0.71%	0.60%	2.91%	0.00%	0.00%	0.66%	0.36%	11.90%	0.95%	1.35%	0.76%	0.58%	0.00%	0.00%	1.79%	0.00%	0.44%	0.75%	3.10%	3.02%					
20	. Миронов Сергей Михайлович	51	4	9	6	2	5	0	0	2	1	0	4	0	2	1	0	0	3	2	2	0	4	4					
		0.40%	0.25%	0.41%	1.06%	0.24%	0.77%	0.00%	0.00%	0.44%	0.18%	0.00%	0.54%	0.00%	0.19%	0.14%	0.00%	0.00%	0.60%	1.82%	0.30%	0.00%	1.38%	1.01%					
21	. Путин Владимир Владимирович	10184	1319	1770	285	640	524	175	515	415	514	36	590	130	846	556	99	75	403	100	598	121	191	282					
		79.98%	81.82%	80.56%	50.53%	76.19%	80.25%	89.74%	77.10%	91.61%	91.30%	85.71%	80.16%	87.84%	80.42%	80.46%	85.34%	80.65%	79.96%	90.91%	88.46%	90.98%	65.86%	71.03%					
22	. Хакамада Ирина Муцуовна	159	15	33	15	4	9	1	0	7	2	0	9	1	3	38	3	2	4	1	6	0	0	6					
		1.25%	0.93%	1.50%	2.66%	0.48%	1.38%	0.51%	0.00%	1.55%	0.36%	0.00%	1.22%	0.68%	0.29%	5.50%	2.59%	2.15%	0.79%	0.91%	0.89%	0.00%	0.00%	1.51%					
23	. Харитонов Николай Михайлович	1755	204	195	224	183	71	15	150	14	39	1	106	10	185	78	14	10	81	5	50	7	36	77					
		13.78%	12.66%	8.88%	39.72%	21.79%	10.87%	7.69%	22.46%	3.09%	6.93%	2.38%	14.40%	6.76%	17.59%	11.29%	12.07%	10.75%	16.07%	4.55%	7.40%	5.26%	12.41%	19.40%					
																													
24	Против всех	161	20	55	7	3	6	0	3	5	2	0	5	1	2	7	0	0	2	0	5	2	25	11					
		1.26%	1.24%	2.50%	1.24%	0.36%	0.92%	0.00%	0.45%	1.10%	0.36%	0.00%	0.68%	0.68%	0.19%	1.01%	0.00%	0.00%	0.40%	0.00%	0.74%	1.50%	8.62%	2.77%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
