Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Гагаринский район																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №3215					
1	"Число избирателей, внесенных в список"	51561	2889	2323	1968	2092	2769	2296	2058	1822	2126	1972	2209	1669	2547	2633	2594	2627	2553	2268	2427	2531	2153	2907	128					
2	Число полученных избирательных бюллетеней	46040	2550	2080	1710	1770	2340	2050	1880	1630	1860	1780	1990	1500	2260	2470	2350	2330	2340	2020	2180	2290	1950	2580	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29159	1591	1332	1130	1267	1587	1307	1133	1006	1214	1160	1176	983	1455	1756	1378	1447	1407	1229	1371	1412	1136	1554	128					
5	"Число избирательных бюллетеней, выданных вне помещения"	900	56	42	66	25	53	22	31	26	19	24	38	19	31	48	46	56	60	37	52	65	40	44	0					
6	Число погашенных избирательных бюллетеней	15981	903	706	514	478	700	721	716	598	627	596	776	498	774	666	926	827	873	754	757	813	774	982	2					
7	Число избирательных бюллетеней в переносных ящиках	899	56	42	66	25	53	22	31	26	19	24	38	19	31	47	46	56	60	37	52	65	40	44	0					
8	Число бюллетеней в стационарных ящиках для голосования	29034	1589	1326	1130	1264	1583	1302	1133	997	1210	1153	1165	973	1441	1753	1375	1442	1403	1229	1357	1394	1134	1553	128					
9	Число недействительных избирательных бюллетеней	149	13	4	4	11	7	9	3	3	12	4	2	6	7	10	3	14	10	8	8	5	2	4	0					
10	Число действительных избирательных бюллетеней	29784	1632	1364	1192	1278	1629	1315	1161	1020	1217	1173	1201	986	1465	1790	1418	1484	1453	1258	1401	1454	1172	1593	128					
11	Число полученных открепительных  удостоверений	930	50	40	30	40	40	50	50	30	50	30	30	40	50	50	50	50	50	50	30	40	40	40	0					
12	Число выданных открепительных удостоверений	751	44	28	21	29	32	41	43	24	37	29	24	33	47	38	42	38	43	33	25	30	36	34	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1722	115	30	77	146	219	83	37	53	101	41	42	57	106	131	52	112	26	91	28	32	45	44	54					
14	Число неиспользованных открепительных удостоверений	179	6	12	9	11	8	9	7	6	13	1	6	7	3	12	8	12	7	17	5	10	4	6	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	2671	150	132	117	127	164	113	96	80	114	102	97	93	101	189	150	122	121	100	131	116	125	130	1					
		8.92%	9.12%	9.65%	9.78%	9.85%	10.02%	8.53%	8.25%	7.82%	9.28%	8.67%	8.06%	9.38%	6.86%	10.50%	10.56%	8.14%	8.27%	7.90%	9.30%	7.95%	10.65%	8.14%	0.78%					
19	. Малышкин Олег Александрович	227	18	12	12	15	16	10	6	6	10	15	7	5	12	15	7	11	11	5	3	11	2	17	1					
		0.76%	1.09%	0.88%	1.00%	1.16%	0.98%	0.76%	0.52%	0.59%	0.81%	1.27%	0.58%	0.50%	0.82%	0.83%	0.49%	0.73%	0.75%	0.39%	0.21%	0.75%	0.17%	1.06%	0.78%					
20	. Миронов Сергей Михайлович	183	7	7	9	15	7	4	10	9	12	3	11	2	8	5	12	8	5	7	13	8	10	11	0					
		0.61%	0.43%	0.51%	0.75%	1.16%	0.43%	0.30%	0.86%	0.88%	0.98%	0.25%	0.91%	0.20%	0.54%	0.28%	0.84%	0.53%	0.34%	0.55%	0.92%	0.55%	0.85%	0.69%	0.00%					
21	. Путин Владимир Владимирович	17058	1015	771	718	755	953	771	624	557	713	636	643	552	814	977	806	915	912	794	801	698	632	909	92					
		56.99%	61.70%	56.36%	60.03%	58.57%	58.25%	58.23%	53.61%	54.45%	58.01%	54.04%	53.45%	55.65%	55.30%	54.28%	56.72%	61.08%	62.34%	62.72%	56.85%	47.84%	53.83%	56.92%	71.88%					
22	. Хакамада Ирина Муцуовна	4385	171	199	149	145	190	196	199	166	172	190	218	162	256	258	180	182	191	156	210	363	183	239	10					
		14.65%	10.40%	14.55%	12.46%	11.25%	11.61%	14.80%	17.10%	16.23%	14.00%	16.14%	18.12%	16.33%	17.39%	14.33%	12.67%	12.15%	13.06%	12.32%	14.90%	24.88%	15.59%	14.97%	7.81%					
23	. Харитонов Николай Михайлович	2802	163	120	100	117	185	93	133	95	95	114	140	83	132	208	148	126	121	95	142	132	105	152	3					
		9.36%	9.91%	8.77%	8.36%	9.08%	11.31%	7.02%	11.43%	9.29%	7.73%	9.69%	11.64%	8.37%	8.97%	11.56%	10.42%	8.41%	8.27%	7.50%	10.08%	9.05%	8.94%	9.52%	2.34%					
																														
24	Против всех	2458	108	123	87	104	114	128	93	107	101	113	85	89	142	138	115	120	92	101	101	126	115	135	21					
