Выборы Президента Российской Федерации																																																																															
Дата голосования: 02.03.2008																																																																															
																																																																															
Наименование Избирательной комиссии:    Канашская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
	Число участковых избирательных комиссий	72																																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	72																																																																													
																																																																															
		Сумма	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	587	36	14	9	1	7	2	10	2	3	3	11	6	4	13	4	2	47	3	2	8	33	7	4	14	3	2	9	3	5	11	0	8	4	10	6	4	4	11	5	16	6	4	6	6	4	15	11	5	8	4	6	10	8	9	17	9	14	5	7	10	14	4	14	6	4	4	5	7	4	4	5	6					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	804	28	17	1	1	1	0	1	0	0	3	2	0	0	1	12	0	7	0	0	20	48	13	7	56	0	0	1	0	0	1	0	13	16	0	7	3	12	3	1	20	36	39	14	3	0	7	30	50	10	5	15	11	0	19	27	35	27	5	17	8	7	0	32	5	36	9	11	16	24	1	10	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																															
18	Богданов Андрей Владимирович	189	6	12	4	3	3	2	3	1	0	0	3	2	0	5	0	0	23	2	0	5	1	1	0	5	3	0	1	1	3	0	1	2	1	2	3	0	5	8	1	4	1	0	7	3	2	5	3	0	7	3	0	1	1	4	0	4	1	4	3	1	1	0	4	1	2	1	3	0	7	3	1	0					
		0.78%	0.90%	1.84%	0.77%	2.70%	1.42%	0.79%	0.79%	0.62%	0.00%	0.00%	0.91%	0.83%	0.00%	0.99%	0.00%	0.00%	1.29%	0.63%	0.00%	0.92%	0.20%	1.15%	0.00%	0.83%	1.89%	0.00%	0.29%	0.72%	1.35%	0.00%	1.30%	0.68%	0.62%	0.95%	1.61%	0.00%	2.54%	1.82%	0.47%	1.72%	0.65%	0.00%	1.00%	0.35%	1.06%	0.54%	0.78%	0.00%	0.95%	0.97%	0.00%	0.38%	0.66%	0.83%	0.00%	0.63%	0.41%	1.75%	1.04%	0.41%	0.23%	0.00%	0.65%	0.57%	0.47%	0.51%	0.85%	0.00%	1.59%	1.55%	0.21%	0.00%					
19	Жириновский Владимир Вольфович	1447	46	41	31	10	8	11	34	7	7	8	32	15	9	26	22	8	118	25	7	38	8	4	4	27	8	13	12	5	13	1	14	31	12	12	10	7	17	28	6	9	5	11	36	41	6	22	35	22	48	20	16	12	15	38	26	24	9	38	16	17	28	7	60	7	20	23	19	12	31	17	22	0					
		5.98%	6.90%	6.28%	5.97%	9.01%	3.77%	4.33%	8.95%	4.35%	5.07%	4.91%	9.76%	6.25%	8.91%	5.19%	6.75%	3.25%	6.61%	7.81%	5.88%	6.97%	1.60%	4.60%	3.23%	4.49%	5.03%	9.22%	3.50%	3.62%	5.86%	0.85%	18.18%	10.58%	7.41%	5.69%	5.38%	3.38%	8.63%	6.38%	2.84%	3.86%	3.25%	6.55%	5.16%	4.72%	3.19%	2.37%	9.07%	9.40%	6.50%	6.45%	5.59%	4.51%	9.87%	7.87%	6.91%	3.77%	3.66%	16.67%	5.54%	6.99%	6.47%	3.61%	9.80%	3.98%	4.72%	11.73%	5.38%	3.51%	7.03%	8.81%	4.71%	0.00%					
20	Зюганов Геннадий Андреевич	4057	137	194	76	24	62	34	60	31	23	24	45	40	8	83	37	25	336	59	13	80	29	10	19	88	20	9	90	39	63	10	11	53	28	29	44	33	46	70	28	24	35	23	105	57	12	64	67	37	181	31	44	76	54	146	118	128	18	42	49	33	46	22	121	48	85	19	43	27	61	35	94	2					
		16.77%	20.54%	29.71%	14.64%	21.62%	29.25%	13.39%	15.79%	19.25%	16.67%	14.72%	13.72%	16.67%	7.92%	16.57%	11.35%	10.16%	18.83%	18.44%	10.92%	14.68%	5.79%	11.49%	15.32%	14.64%	12.58%	6.38%	26.24%	28.26%	28.38%	8.55%	14.29%	18.09%	17.28%	13.74%	23.66%	15.94%	23.35%	15.95%	13.27%	10.30%	22.73%	13.69%	15.04%	6.56%	6.38%	6.90%	17.36%	15.81%	24.53%	10.00%	15.38%	28.57%	35.53%	30.23%	31.38%	20.13%	7.32%	18.42%	16.96%	13.58%	10.62%	11.34%	19.77%	27.27%	20.05%	9.69%	12.18%	7.89%	13.83%	18.13%	20.13%	3.28%					
21	Медведев Дмитрий Анатольевич	18020	473	400	408	73	136	206	277	120	107	128	244	182	84	383	266	213	1294	230	99	418	444	72	94	456	121	110	218	88	140	106	51	202	111	167	124	152	122	317	159	182	89	131	533	768	168	788	278	174	498	245	223	172	81	283	226	477	208	140	213	192	339	156	427	114	310	147	280	302	336	136	350	59					
