Выборы Президента Российской Федерации																																																																					
Дата голосования: 18.03.2018																																																																					
																																																																					
Наименование Избирательной комиссии:    Миллеровская																																																																					
																																																																					
Сводная таблица итогов голосования																																																																					
																																																																					
	Число участковых избирательных комиссий	58																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	58																																																																			
																																																																					
		Сумма	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174									
		0.49%	0.33%	0.35%	0.47%	0.34%	0.80%	0.42%	0.43%	0.84%	0.80%	0.93%	0.48%	0.34%	0.00%	0.35%	0.33%	0.00%	0.75%	0.00%	1.23%	0.60%	0.00%	0.67%	0.00%	0.71%	0.00%	0.00%	0.00%	0.49%	1.48%	0.00%	1.10%	0.98%	0.79%	0.83%	1.14%	0.55%	0.56%	0.00%	0.00%	0.00%	0.31%	0.53%	0.74%	0.00%	0.74%	0.00%	0.80%	2.70%	1.32%	0.00%	0.41%	0.29%	0.00%	0.60%	0.47%	1.14%	0.00%	0.00%									
14	Грудинин Павел Николаевич	3199	237	73	204	58	95	120	202	113	55	141	167	23	135	120	156	13	43	7	36	14	3	34	3	58	15	13	0	12	31	5	2	1	205	4	21	59	97	28	4	33	13	24	4	37	34	15	34	3	49	25	32	8	11	54	101	22	70	23									
		9.83%	13.12%	6.34%	16.13%	4.86%	10.82%	9.98%	14.34%	11.80%	11.07%	13.17%	10.01%	7.90%	12.12%	14.02%	10.24%	4.71%	10.78%	5.34%	11.04%	4.23%	3.30%	7.54%	0.78%	5.11%	7.46%	2.68%	0.00%	5.91%	11.44%	4.46%	2.20%	0.98%	16.18%	3.33%	12.00%	10.81%	27.25%	6.03%	2.02%	4.72%	4.06%	6.37%	2.94%	7.61%	8.37%	11.81%	9.04%	2.70%	7.20%	7.40%	6.61%	2.31%	4.53%	10.84%	11.95%	5.00%	20.06%	12.43%									
15	Жириновский Владимир Вольфович	1757	79	30	74	23	50	75	80	61	29	68	95	21	67	42	118	21	26	9	15	16	2	10	10	55	7	11	3	3	21	8	5	6	115	6	6	36	15	26	6	24	19	20	12	36	16	5	16	4	43	13	37	12	20	11	66	21	16	16									
		5.40%	4.37%	2.61%	5.85%	1.93%	5.69%	6.23%	5.68%	6.37%	5.84%	6.35%	5.70%	7.22%	6.01%	4.91%	7.75%	7.61%	6.52%	6.87%	4.60%	4.83%	2.20%	2.22%	2.58%	4.85%	3.48%	2.27%	3.57%	1.48%	7.75%	7.14%	5.49%	5.88%	9.08%	5.00%	3.43%	6.59%	4.21%	5.60%	3.03%	3.43%	5.94%	5.31%	8.82%	7.41%	3.94%	3.94%	4.26%	3.60%	6.31%	3.85%	7.64%	3.46%	8.23%	2.21%	7.81%	4.77%	4.58%	8.65%									
16	Путин Владимир Владимирович	26674	1463	1026	956	1085	700	977	1087	742	401	816	1353	238	875	652	1192	234	317	113	262	287	86	399	369	992	178	455	78	185	211	97	82	94	897	106	144	444	234	400	187	626	284	322	115	404	348	103	316	87	566	298	407	323	210	429	649	386	246	141									
		81.99%	80.96%	89.14%	75.57%	90.87%	79.73%	81.21%	77.15%	77.45%	80.68%	76.19%	81.12%	81.79%	78.55%	76.17%	78.27%	84.78%	79.45%	86.26%	80.37%	86.71%	94.51%	88.47%	95.35%	87.48%	88.56%	93.81%	92.86%	91.13%	77.86%	86.61%	90.11%	92.16%	70.80%	88.33%	82.29%	81.32%	65.73%	86.21%	94.44%	89.56%	88.75%	85.41%	84.56%	83.13%	85.71%	81.10%	84.04%	78.38%	83.11%	88.17%	84.09%	93.08%	86.42%	86.14%	76.80%	87.73%	70.49%	76.22%									
17	Собчак Ксения Анатольевна	177	3	5	10	10	6	9	10	7	5	9	11	2	6	8	16	0	2	0	1	3	0	2	1	5	0	2	0	0	0	1	0	0	9	1	0	1	3	1	0	2	1	0	1	0	0	1	1	2	4	0	0	2	0	0	10	1	2	1									
		0.54%	0.17%	0.43%	0.79%	0.84%	0.68%	0.75%	0.71%	0.73%	1.01%	0.84%	0.66%	0.69%	0.54%	0.93%	1.05%	0.00%	0.50%	0.00%	0.31%	0.91%	0.00%	0.44%	0.26%	0.44%	0.00%	0.41%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	0.71%	0.83%	0.00%	0.18%	0.84%	0.22%	0.00%	0.29%	0.31%	0.00%	0.74%	0.00%	0.00%	0.79%	0.27%	1.80%	0.59%	0.00%	0.00%	0.58%	0.00%	0.00%	1.18%	0.23%	0.57%	0.54%									
18	Сурайкин Максим Александрович	191	6	7	4	4	7	5	8	10	1	9	11	1	8	10	10	0	3	1	3	4	0	0	0	6	1	1	2	1	3	1	0	0	14	2	2	1	2	7	0	8	2	1	1	2	2	2	3	0	2	1	5	0	1	0	3	2	1	0									
