Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Территориальная избирательная комиссия г.Черногорска																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139					
1	"Число избирателей, внесенных в список"	49862	1816	1218	1187	1602	1645	512	1439	949	1027	1442	2152	995	791	944	951	1424	802	1095	1071	1992	1126	758	1874	1990	1976	1881	1194	1819	848	1875	1247	719	2152	867	441	1871	921	1249					
2	Число полученных избирательных бюллетеней	52970	2070	1210	1190	1600	1670	470	1610	980	1160	1510	2220	1000	840	980	1040	1450	810	1100	1070	2050	1170	830	2010	2120	2100	2170	1260	2000	850	2080	1330	800	2240	980	460	2050	1010	1480					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22884	894	484	462	541	655	140	544	438	355	583	1034	476	336	475	467	624	398	526	533	928	546	289	851	907	971	911	618	923	429	899	668	415	1006	417	169	899	459	614					
5	"Число избирательных бюллетеней, выданных вне помещения"	3190	74	158	140	166	216	134	196	72	138	144	123	99	95	95	68	91	28	125	79	90	58	67	46	57	28	60	16	21	51	40	33	49	62	28	58	73	57	55					
6	Число погашенных избирательных бюллетеней	26896	1102	568	588	893	799	196	870	470	667	783	1063	425	409	410	505	735	384	449	458	1032	566	474	1113	1156	1101	1199	626	1056	370	1141	629	336	1172	535	233	1078	494	811					
7	Число избирательных бюллетеней в переносных ящиках	3189	74	158	140	166	216	133	196	72	138	144	123	99	95	95	68	91	28	125	79	90	58	67	46	57	28	60	16	21	51	40	33	49	62	28	58	73	57	55					
8	Число бюллетеней в стационарных ящиках для голосования	22882	894	484	462	541	655	140	544	438	355	583	1034	475	336	475	467	624	398	526	533	928	546	289	851	907	971	911	617	923	429	899	668	415	1006	417	169	899	459	614					
9	Число недействительных избирательных бюллетеней	194	5	10	4	8	3	1	5	8	2	2	8	6	1	3	0	5	3	5	5	12	0	3	8	4	11	3	5	12	3	14	11	3	16	0	1	3	1	0					
10	Число действительных избирательных бюллетеней	25877	963	632	598	699	868	272	735	502	491	725	1149	568	430	567	535	710	423	646	607	1006	604	353	889	960	988	968	628	932	477	925	690	461	1052	445	226	969	515	669					
11	Число полученных открепительных  удостоверений	850	30	20	20	20	20	10	30	20	20	20	30	20	20	20	20	20	20	20	20	30	20	20	30	30	30	30	20	30	20	30	20	10	30	20	10	30	20	20					
12	Число выданных открепительных удостоверений	299	9	6	5	8	11	2	10	3	3	2	10	7	3	11	3	5	9	11	5	12	13	1	17	18	13	10	9	12	8	7	8	6	13	2	2	5	5	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	265	4	55	0	3	6	13	2	8	0	5	4	5	2	6	10	10	7	8	5	3	7	9	4	11	7	6	5	2	1	6	3	8	9	4	2	7	5	13					
14	Число неиспользованных открепительных удостоверений	551	21	14	15	12	9	8	20	17	17	18	20	13	17	9	17	15	11	9	15	18	7	19	13	12	17	20	11	18	12	23	12	4	17	18	8	25	15	5					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	1928	72	48	34	59	76	14	42	39	31	37	80	46	33	35	29	52	44	45	68	82	53	11	67	67	77	93	60	69	32	75	50	32	77	25	14	64	42	54					
		7.40%	7.44%	7.48%	5.65%	8.35%	8.73%	5.13%	5.68%	7.65%	6.29%	5.09%	6.91%	8.01%	7.66%	6.14%	5.42%	7.27%	10.33%	6.91%	11.11%	8.06%	8.77%	3.09%	7.47%	6.95%	7.71%	9.58%	9.48%	7.31%	6.67%	7.99%	7.13%	6.90%	7.21%	5.62%	6.17%	6.58%	8.14%	8.07%					
19	. Малышкин Олег Александрович	1015	51	23	20	37	23	11	24	19	21	30	49	16	16	16	21	38	16	16	22	35	24	16	30	49	22	37	22	46	21	50	36	19	35	16	9	39	10	30					
		3.89%	5.27%	3.58%	3.32%	5.23%	2.64%	4.03%	3.24%	3.73%	4.26%	4.13%	4.24%	2.79%	3.71%	2.81%	3.93%	5.31%	3.76%	2.46%	3.59%	3.44%	3.97%	4.49%	3.34%	5.08%	2.20%	3.81%	3.48%	4.87%	4.38%	5.32%	5.14%	4.09%	3.28%	3.60%	3.96%	4.01%	1.94%	4.48%					
