Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Новоземельская													
													
Итоги голосования 													
													
		Сумма	УИК №637	УИК №638	УИК №639	УИК №1154	УИК №1155	УИК №1156					
1	"Число избирателей, внесенных в список"	2817	1048	1140	386	220	14	9					
2	Число полученных избирательных бюллетеней	3033	1200	1150	390	270	14	9					
3	"Число избирательных бюллетеней, выданных  досрочно"	23	0	12	11	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2736	1040	1078	375	220	14	9					
5	"Число избирательных бюллетеней, выданных вне помещения"	58	8	50	0	0	0	0					
6	Число погашенных избирательных бюллетеней	216	152	10	4	50	0	0					
7	Число избирательных бюллетеней в переносных ящиках	81	8	62	11	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	2736	1040	1078	375	220	14	9					
9	Число недействительных избирательных бюллетеней	88	73	1	13	1	0	0					
10	Число действительных избирательных бюллетеней	2729	975	1139	373	219	14	9					
11	Число полученных открепительных  удостоверений	132	92	20	20	0	0	0					
12	Число выданных открепительных удостоверений	132	92	20	20	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	5	4	0	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	68	68	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	40	23	4	6	7	0	0					
		1.42%	2.19%	0.35%	1.55%	3.18%	0.00%	0.00%					
19	. Малышкин Олег Александрович	72	17	33	13	9	0	0					
		2.56%	1.62%	2.89%	3.37%	4.09%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	11	1	8	0	2	0	0					
		0.39%	0.10%	0.70%	0.00%	0.91%	0.00%	0.00%					
21	. Путин Владимир Владимирович	2393	835	1037	324	174	14	9					
		84.95%	79.68%	90.96%	83.94%	79.09%	100.00%	100.00%					
22	. Хакамада Ирина Муцуовна	63	35	14	9	5	0	0					
		2.24%	3.34%	1.23%	2.33%	2.27%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	55	31	6	11	7	0	0					
		1.95%	2.96%	0.53%	2.85%	3.18%	0.00%	0.00%					
													
24	Против всех	95	33	37	10	15	0	0					
		3.37%	3.15%	3.25%	2.59%	6.82%	0.00%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
