Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Бондарская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634					
1	"Число избирателей, внесенных в список"	11268	1486	1478	642	353	566	537	198	397	214	404	355	384	352	503	308	437	125	348	512	500	336	563	270					
2	Число полученных избирательных бюллетеней	10980	1450	1450	600	350	540	540	200	380	210	400	350	370	340	500	300	430	120	350	480	480	330	550	260					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6924	899	898	423	278	379	301	131	227	68	184	215	185	221	324	179	300	47	269	359	289	175	386	187					
5	"Число избирательных бюллетеней, выданных вне помещения"	2139	121	137	77	12	107	129	40	134	131	180	85	145	89	93	90	78	70	32	56	89	121	67	56					
6	Число погашенных избирательных бюллетеней	1917	430	415	100	60	54	110	29	19	11	36	50	40	30	83	31	52	3	49	65	102	34	97	17					
7	Число избирательных бюллетеней в переносных ящиках	2139	121	137	77	12	107	129	40	134	131	180	85	145	89	93	90	78	70	32	56	89	121	67	56					
8	Число бюллетеней в стационарных ящиках для голосования	6924	899	898	423	278	379	301	131	227	68	184	215	185	221	324	179	300	47	269	359	289	175	386	187					
9	Число недействительных избирательных бюллетеней	73	7	12	4	0	1	4	1	3	1	0	2	5	1	5	4	2	2	5	4	4	1	4	1					
10	Число действительных избирательных бюллетеней	8990	1013	1023	496	290	485	426	170	358	198	364	298	325	309	412	265	376	115	296	411	374	295	449	242					
11	Число полученных открепительных  удостоверений	130	20	20	5	5	5	4	2	4	2	5	4	5	5	4	4	5	2	4	5	5	5	5	5					
12	Число выданных открепительных удостоверений	52	18	15	1	5	2	2	0	0	0	3	1	0	0	2	0	0	0	2	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	1	6	2	0	1	2	2	6	2	2	3	1	1	2	4	3	0	2	4	2	3	2	2					
14	Число неиспользованных открепительных удостоверений	78	2	5	4	0	3	2	2	4	2	2	3	5	5	2	4	5	2	2	5	5	5	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	160	31	14	10	7	11	8	2	3	1	15	3	5	4	5	3	2	3	6	8	10	3	4	2					
		1.77%	3.04%	1.35%	2.00%	2.41%	2.26%	1.86%	1.17%	0.83%	0.50%	4.12%	1.00%	1.52%	1.29%	1.20%	1.12%	0.53%	2.56%	1.99%	1.93%	2.65%	1.01%	0.88%	0.82%					
19	. Малышкин Олег Александрович	188	17	14	9	4	17	4	4	6	5	7	12	11	6	9	2	7	5	9	11	3	10	10	6					
		2.07%	1.67%	1.35%	1.80%	1.38%	3.50%	0.93%	2.34%	1.66%	2.51%	1.92%	4.00%	3.33%	1.94%	2.16%	0.74%	1.85%	4.27%	2.99%	2.65%	0.79%	3.38%	2.21%	2.47%					
20	. Миронов Сергей Михайлович	44	6	8	5	0	2	1	1	2	1	1	0	0	0	0	4	4	0	1	0	3	1	1	3					
		0.49%	0.59%	0.77%	1.00%	0.00%	0.41%	0.23%	0.58%	0.55%	0.50%	0.27%	0.00%	0.00%	0.00%	0.00%	1.49%	1.06%	0.00%	0.33%	0.00%	0.79%	0.34%	0.22%	1.23%					
21	. Путин Владимир Владимирович	5450	669	629	314	162	283	224	128	285	113	214	208	181	150	280	152	242	40	147	220	240	187	238	144					
		60.13%	65.59%	60.77%	62.80%	55.86%	58.23%	52.09%	74.85%	78.95%	56.78%	58.79%	69.33%	54.85%	48.39%	67.15%	56.51%	64.02%	34.19%	48.84%	53.01%	63.49%	63.18%	52.54%	59.26%					
