Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Романовская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061					
1	"Число избирателей, внесенных в список"	13444	1348	1275	1435	902	471	555	489	330	677	454	971	521	199	589	167	612	470	520	237	909	313					
2	Число полученных избирательных бюллетеней	14012	1454	1310	1476	1018	515	569	545	356	674	453	995	531	207	601	172	639	468	517	233	938	341					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9153	1036	973	852	566	297	380	284	263	470	360	617	360	127	477	99	373	245	374	180	613	207					
5	"Число избирательных бюллетеней, выданных вне помещения"	1736	51	88	113	35	81	15	124	54	109	68	155	65	23	65	59	132	163	79	36	143	78					
6	Число погашенных избирательных бюллетеней	3123	367	249	511	417	137	174	137	39	95	25	223	106	57	59	14	134	60	64	17	182	56					
7	Число избирательных бюллетеней в переносных ящиках	1736	51	88	113	35	81	15	124	54	109	68	155	65	23	65	59	132	163	79	36	143	78					
8	Число бюллетеней в стационарных ящиках для голосования	9151	1035	973	852	566	297	380	284	262	470	360	617	360	127	477	99	373	245	374	180	613	207					
9	Число недействительных избирательных бюллетеней	278	4	0	5	14	0	2	2	15	13	19	36	3	2	77	0	36	27	4	2	5	12					
10	Число действительных избирательных бюллетеней	10609	1082	1061	960	587	378	393	406	301	566	409	736	422	148	465	158	469	381	449	214	751	273					
11	Число полученных открепительных  удостоверений	285	23	20	20	20	15	15	15	10	10	10	20	10	7	20	5	20	10	10	5	10	10					
12	Число выданных открепительных удостоверений	183	22	20	13	18	8	5	11	7	3	4	11	3	7	20	1	10	2	2	3	10	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	4	6	4	1	1	1	3	5	3	2	0	2	2	1	3	3	2	3	1	2	2					
14	Число неиспользованных открепительных удостоверений	102	1	0	7	2	7	10	4	3	7	6	9	7	0	0	4	10	8	8	2	0	7					
15	"Число открепительных удостоверений, выданных в ТИК"	13	2	1	2	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	191	17	12	33	25	2	8	2	11	5	4	19	4	8	7	0	4	13	0	6	8	3					
		1.75%	1.57%	1.13%	3.42%	4.16%	0.53%	2.03%	0.49%	3.48%	0.86%	0.93%	2.46%	0.94%	5.33%	1.29%	0.00%	0.79%	3.19%	0.00%	2.78%	1.06%	1.05%					
19	. Малышкин Олег Александрович	316	23	22	29	16	10	15	6	16	2	14	53	14	6	9	3	22	22	16	4	9	5					
		2.90%	2.12%	2.07%	3.01%	2.66%	2.65%	3.80%	1.47%	5.06%	0.35%	3.27%	6.87%	3.29%	4.00%	1.66%	1.90%	4.36%	5.39%	3.53%	1.85%	1.19%	1.75%					
20	. Миронов Сергей Михайлович	55	8	0	4	6	3	1	1	1	2	3	3	6	0	1	1	3	4	2	1	4	1					
		0.51%	0.74%	0.00%	0.41%	1.00%	0.79%	0.25%	0.25%	0.32%	0.35%	0.70%	0.39%	1.41%	0.00%	0.18%	0.63%	0.59%	0.98%	0.44%	0.46%	0.53%	0.35%					
21	. Путин Владимир Владимирович	7955	804	926	688	400	306	244	259	220	510	323	500	304	96	423	132	307	257	338	163	560	195					
		73.07%	74.03%	87.28%	71.30%	66.56%	80.95%	61.77%	63.48%	69.62%	88.08%	75.47%	64.77%	71.53%	64.00%	78.04%	83.54%	60.79%	62.99%	74.61%	75.46%	74.07%	68.42%					
22	. Хакамада Ирина Муцуовна	104	10	3	13	8	2	5	6	4	2	8	5	5	4	4	0	6	3	10	0	3	3					
		0.96%	0.92%	0.28%	1.35%	1.33%	0.53%	1.27%	1.47%	1.27%	0.35%	1.87%	0.65%	1.18%	2.67%	0.74%	0.00%	1.19%	0.74%	2.21%	0.00%	0.40%	1.05%					
23	. Харитонов Николай Михайлович	1830	201	80	170	120	46	113	130	46	43	57	149	82	31	19	19	111	74	79	38	160	62					
		16.81%	18.51%	7.54%	17.62%	19.97%	12.17%	28.61%	31.86%	14.56%	7.43%	13.32%	19.30%	19.29%	20.67%	3.51%	12.03%	21.98%	18.14%	17.44%	17.59%	21.16%	21.75%					
																												
24	Против всех	158	19	18	23	12	9	7	2	3	2	0	7	7	3	2	3	16	8	4	2	7	4					
		1.45%	1.75%	1.70%	2.38%	2.00%	2.38%	1.77%	0.49%	0.95%	0.35%	0.00%	0.91%	1.65%	2.00%	0.37%	1.90%	3.17%	1.96%	0.88%	0.93%	0.93%	1.40%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
