Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Юргинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051					
1	"Число избирателей, внесенных в список"	9131	392	411	402	413	337	97	787	428	584	739	141	192	410	1343	617	677	697	220	186	58					
2	Число полученных избирательных бюллетеней	9150	402	414	410	403	338	103	780	434	599	729	144	205	415	1264	589	696	720	246	194	65					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6872	282	315	320	308	224	71	572	316	414	592	132	158	301	946	406	519	582	193	165	56					
5	"Число избирательных бюллетеней, выданных вне помещения"	1274	95	78	66	70	83	18	117	100	126	72	9	33	93	118	75	32	40	27	20	2					
6	Число погашенных избирательных бюллетеней	1003	25	21	24	25	31	14	91	18	59	65	3	14	21	200	108	144	98	26	9	7					
7	Число избирательных бюллетеней в переносных ящиках	1274	95	78	66	70	83	18	117	100	126	72	9	33	93	118	75	32	40	27	20	2					
8	Число бюллетеней в стационарных ящиках для голосования	6872	282	315	320	308	224	71	572	316	414	592	132	158	301	946	406	519	582	193	165	56					
9	Число недействительных избирательных бюллетеней	38	2	0	3	0	1	4	0	0	4	7	0	0	0	8	2	2	4	0	1	0					
10	Число действительных избирательных бюллетеней	8108	375	393	383	378	306	85	689	416	536	657	141	191	394	1056	479	549	618	220	184	58					
11	Число полученных открепительных  удостоверений	199	13	7	5	1	0	2	14	14	14	14	0	6	6	39	12	15	25	6	4	2					
12	Число выданных открепительных удостоверений	175	13	5	5	1	0	2	7	11	7	14	0	6	6	39	8	15	25	6	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	2	1	2	3	4	2	3	2	2	4	5	2	2	14	20	0	4	3	0	1					
14	Число неиспользованных открепительных удостоверений	24	0	2	0	0	0	0	7	3	7	0	0	0	0	0	4	0	0	0	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	179	7	6	7	2	7	0	1	10	12	13	0	4	6	29	23	19	22	7	2	2					
		2.20%	1.86%	1.53%	1.81%	0.53%	2.28%	0.00%	0.15%	2.40%	2.22%	1.96%	0.00%	2.09%	1.52%	2.73%	4.78%	3.45%	3.54%	3.18%	1.08%	3.45%					
19	. Малышкин Олег Александрович	301	3	9	5	12	15	11	3	21	29	22	0	6	25	37	30	21	29	15	5	3					
		3.70%	0.80%	2.29%	1.30%	3.17%	4.89%	12.36%	0.44%	5.05%	5.37%	3.31%	0.00%	3.14%	6.35%	3.48%	6.24%	3.81%	4.66%	6.82%	2.70%	5.17%					
20	. Миронов Сергей Михайлович	54	0	4	0	0	5	0	1	7	2	4	0	0	5	7	3	8	5	1	1	1					
		0.66%	0.00%	1.02%	0.00%	0.00%	1.63%	0.00%	0.15%	1.68%	0.37%	0.60%	0.00%	0.00%	1.27%	0.66%	0.62%	1.45%	0.80%	0.45%	0.54%	1.72%					
21	. Путин Владимир Владимирович	6140	348	349	335	305	213	64	589	298	367	475	133	164	287	685	328	377	474	169	136	44					
		75.37%	92.31%	88.80%	86.79%	80.69%	69.38%	71.91%	85.49%	71.63%	67.96%	71.54%	94.33%	85.86%	72.84%	64.38%	68.19%	68.42%	76.21%	76.82%	73.51%	75.86%					
22	. Хакамада Ирина Муцуовна	146	2	4	2	8	10	3	2	3	18	8	1	4	4	29	9	17	14	5	1	2					
		1.79%	0.53%	1.02%	0.52%	2.12%	3.26%	3.37%	0.29%	0.72%	3.33%	1.20%	0.71%	2.09%	1.02%	2.73%	1.87%	3.09%	2.25%	2.27%	0.54%	3.45%					
23	. Харитонов Николай Михайлович	1104	13	12	30	48	42	7	90	69	102	126	7	13	57	229	70	85	46	21	31	6					
		13.55%	3.45%	3.05%	7.77%	12.70%	13.68%	7.87%	13.06%	16.59%	18.89%	18.98%	4.96%	6.81%	14.47%	21.52%	14.55%	15.43%	7.40%	9.55%	16.76%	10.34%					
																											
24	Против всех	184	2	9	4	3	14	0	3	8	6	9	0	0	10	40	16	22	28	2	8	0					
		2.26%	0.53%	2.29%	1.04%	0.79%	4.56%	0.00%	0.44%	1.92%	1.11%	1.36%	0.00%	0.00%	2.54%	3.76%	3.33%	3.99%	4.50%	0.91%	4.32%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
