Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Знаменская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177					
1	"Число избирателей, внесенных в список"	9984	984	834	1058	931	386	343	261	175	143	627	208	271	408	129	380	532	478	103	143	292	139	117	623	184	122	113					
2	Число полученных избирательных бюллетеней	9565	900	800	1000	870	360	310	280	179	144	600	200	260	390	131	370	490	440	108	146	280	144	120	605	190	125	123					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7016	647	556	780	598	244	187	223	142	105	467	163	208	266	110	243	302	333	80	104	235	117	103	473	146	83	101					
5	"Число избирательных бюллетеней, выданных вне помещения"	1154	122	57	81	32	50	62	38	19	22	52	28	25	61	10	102	111	95	11	20	34	9	9	49	21	34	0					
6	Число погашенных избирательных бюллетеней	1395	131	187	139	240	66	61	19	18	17	81	9	27	63	11	25	77	12	17	22	11	18	8	83	23	8	22					
7	Число избирательных бюллетеней в переносных ящиках	1154	122	57	81	32	50	62	38	19	22	52	28	25	61	10	102	111	95	11	20	34	9	9	49	21	34	0					
8	Число бюллетеней в стационарных ящиках для голосования	7016	647	556	780	598	244	187	223	142	105	467	163	208	266	110	243	302	333	80	104	235	117	103	473	146	83	101					
9	Число недействительных избирательных бюллетеней	82	5	4	6	12	2	1	1	3	1	12	1	2	4	2	0	2	5	0	1	2	1	1	11	3	0	0					
10	Число действительных избирательных бюллетеней	8088	764	609	855	618	292	248	260	158	126	507	190	231	323	118	345	411	423	91	123	267	125	111	511	164	117	101					
11	Число полученных открепительных  удостоверений	478	45	38	50	43	18	15	19	8	6	30	10	13	20	6	20	25	22	5	6	15	6	5	30	13	5	5					
12	Число выданных открепительных удостоверений	249	23	6	26	14	4	1	16	1	1	29	2	9	12	6	14	10	16	4	1	8	1	1	30	13	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	15	3	7	11	5	0	4	3	3	8	0	3	3	5	6	2	3	1	2	4	4	3	1	1	3	3					
14	Число неиспользованных открепительных удостоверений	229	22	32	24	29	14	14	3	7	5	1	8	4	8	0	6	15	6	1	5	7	5	4	0	0	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	187	24	14	26	8	12	5	7	0	2	8	1	2	11	1	7	4	16	0	1	5	4	0	19	3	1	6					
		2.29%	3.12%	2.28%	3.02%	1.27%	4.08%	2.01%	2.68%	0.00%	1.57%	1.54%	0.52%	0.86%	3.36%	0.83%	2.03%	0.97%	3.74%	0.00%	0.81%	1.86%	3.17%	0.00%	3.64%	1.80%	0.85%	5.94%					
19	. Малышкин Олег Александрович	337	25	20	48	52	16	8	11	4	10	16	3	8	5	3	7	6	30	2	6	7	6	13	7	5	4	15					
		4.12%	3.25%	3.26%	5.57%	8.25%	5.44%	3.21%	4.21%	2.48%	7.87%	3.08%	1.57%	3.43%	1.53%	2.50%	2.03%	1.45%	7.01%	2.20%	4.84%	2.60%	4.76%	11.61%	1.34%	2.99%	3.42%	14.85%					
20	. Миронов Сергей Михайлович	49	2	4	4	2	3	3	3	1	2	4	1	1	2	0	2	3	0	0	0	6	0	3	3	0	0	0					
		0.60%	0.26%	0.65%	0.46%	0.32%	1.02%	1.20%	1.15%	0.62%	1.57%	0.77%	0.52%	0.43%	0.61%	0.00%	0.58%	0.73%	0.00%	0.00%	0.00%	2.23%	0.00%	2.68%	0.57%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	5165	493	402	575	388	190	156	154	112	64	286	131	162	227	86	250	286	230	57	81	157	71	64	291	92	89	71					
		63.22%	64.11%	65.58%	66.78%	61.59%	64.63%	62.65%	59.00%	69.57%	50.39%	55.11%	68.59%	69.53%	69.42%	71.67%	72.46%	69.25%	53.74%	62.64%	65.32%	58.36%	56.35%	57.14%	55.75%	55.09%	76.07%	70.30%					
22	. Хакамада Ирина Муцуовна	146	14	14	15	17	4	3	6	2	5	9	0	0	8	3	7	11	6	0	3	2	4	2	8	0	0	3					
		1.79%	1.82%	2.28%	1.74%	2.70%	1.36%	1.20%	2.30%	1.24%	3.94%	1.73%	0.00%	0.00%	2.45%	2.50%	2.03%	2.66%	1.40%	0.00%	2.42%	0.74%	3.17%	1.79%	1.53%	0.00%	0.00%	2.97%					
23	. Харитонов Николай Михайлович	2053	191	131	169	137	57	72	72	38	43	178	53	53	65	25	68	91	134	32	31	83	39	28	174	63	22	4					
		25.13%	24.84%	21.37%	19.63%	21.75%	19.39%	28.92%	27.59%	23.60%	33.86%	34.30%	27.75%	22.75%	19.88%	20.83%	19.71%	22.03%	31.31%	35.16%	25.00%	30.86%	30.95%	25.00%	33.33%	37.72%	18.80%	3.96%					
																																	
24	Против всех	151	15	24	18	14	10	1	7	1	0	6	1	5	5	0	4	10	7	0	1	7	1	1	9	1	1	2					
		1.85%	1.95%	3.92%	2.09%	2.22%	3.40%	0.40%	2.68%	0.62%	0.00%	1.16%	0.52%	2.15%	1.53%	0.00%	1.16%	2.42%	1.64%	0.00%	0.81%	2.60%	0.79%	0.89%	1.72%	0.60%	0.85%	1.98%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
