Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Койгородская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623					
1	"Число избирателей, внесенных в список избирателей"	7545	123	792	322	341	138	233	348	193	2277	222	1164	278	129	843	142					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7881	130	833	325	341	157	257	324	198	2316	239	1214	292	151	920	184					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	114	0	2	24	4	3	0	13	0	0	0	0	0	31	0	37					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5728	108	617	219	284	108	181	215	136	1780	153	949	209	37	649	83					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	647	7	84	14	22	14	20	26	15	223	50	57	27	3	73	12					
6	Число погашенных избирательных бюллетеней	1392	15	130	68	31	32	56	70	47	313	36	208	56	80	198	52					
7	Число избирательных бюллетеней в переносных ящиках для голосования	759	7	84	38	26	17	20	39	15	223	50	57	27	34	73	49					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5728	108	617	219	284	108	181	215	136	1780	153	949	209	37	649	83					
9	Число недействительных избирательных бюллетеней	71	0	3	0	5	8	4	2	0	13	7	13	1	3	11	1					
10	Число действительных избирательных бюллетеней	6416	115	698	257	305	117	197	252	151	1990	196	993	235	68	711	131					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	290	5	30	10	10	20	5	10	5	60	15	40	10	5	45	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	276	5	30	8	10	20	1	9	5	60	15	40	10	0	43	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	89	1	14	3	7	7	4	7	4	22	1	8	3	3	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	14	0	0	2	0	0	4	1	0	0	0	0	0	5	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	0	0	0	0	6	0	2	0	1	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	618	9	61	65	10	20	26	29	14	135	22	100	9	10	97	11					
		9.53%	7.83%	8.70%	25.29%	3.23%	16.00%	12.94%	11.42%	9.27%	6.74%	10.84%	9.94%	3.81%	14.08%	13.43%	8.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	493	12	85	34	9	16	2	24	17	108	27	27	18	7	96	11					
		7.60%	10.43%	12.13%	13.23%	2.90%	12.80%	0.99%	9.45%	11.26%	5.39%	13.30%	2.68%	7.63%	9.86%	13.30%	8.33%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	62	0	16	1	1	0	3	6	2	15	3	7	0	0	7	1					
		0.96%	0.00%	2.28%	0.39%	0.32%	0.00%	1.49%	2.36%	1.32%	0.75%	1.48%	0.70%	0.00%	0.00%	0.97%	0.76%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	413	14	19	29	18	5	3	63	38	48	13	28	9	15	90	21					
		6.37%	12.17%	2.71%	11.28%	5.81%	4.00%	1.49%	24.80%	25.17%	2.40%	6.40%	2.78%	3.81%	21.13%	12.47%	15.91%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	66	2	13	6	1	0	2	3	3	17	1	7	2	0	8	1					
		1.02%	1.74%	1.85%	2.33%	0.32%	0.00%	0.99%	1.18%	1.99%	0.85%	0.49%	0.70%	0.85%	0.00%	1.11%	0.76%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4736	77	500	120	264	75	161	125	77	1659	128	820	197	36	411	86					
		73.01%	66.96%	71.33%	46.69%	85.16%	60.00%	80.10%	49.21%	50.99%	82.83%	63.05%	81.51%	83.47%	50.70%	56.93%	65.15%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	28	1	4	2	2	1	0	2	0	8	2	4	0	0	2	0					
		0.43%	0.87%	0.57%	0.78%	0.65%	0.80%	0.00%	0.79%	0.00%	0.40%	0.99%	0.40%	0.00%	0.00%	0.28%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
