Выборы Президента Российской Федерации																																														
																																														
"Наименование Избирательной комиссии:    Нижний Новгород, Приокская"																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706					
1	"Число избирателей, внесенных в список"	82470	1157	2256	2372	2282	1598	1833	1835	2593	2545	2296	2615	2789	2093	2930	2188	2969	1298	1831	1487	1079	2430	2790	2070	2452	1065	2565	2184	2160	2564	2320	1987	1931	1771	2172	2179	2478	2517	1881	908					
2	Число полученных избирательных бюллетеней	81000	1000	2200	2300	2200	1600	1800	1800	2600	2600	2300	2600	2700	2100	2900	2100	2800	1200	1800	1500	1000	2400	2700	2100	2400	1000	2500	2100	2200	2500	2300	2000	1900	1700	2100	2200	2500	2500	1900	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43227	684	1311	1348	1522	830	923	962	1521	1465	1107	1391	1427	1074	1304	967	1299	514	763	678	403	1240	1683	1003	1287	549	1399	1177	1103	1360	1270	1133	957	996	1220	1258	1323	1360	1053	363					
5	"Число избирательных бюллетеней, выданных вне помещения"	1135	68	23	78	51	39	44	39	22	27	35	28	44	34	17	27	41	7	43	14	7	25	23	15	40	21	32	37	32	21	16	16	19	20	15	17	18	11	6	63					
6	Число погашенных избирательных бюллетеней	36638	248	866	874	627	731	833	799	1057	1108	1158	1181	1229	992	1579	1106	1460	679	994	808	590	1135	994	1082	1073	430	1069	886	1065	1119	1014	851	924	684	865	925	1159	1129	841	474					
7	Число избирательных бюллетеней в переносных ящиках	1135	68	23	78	51	39	44	39	22	27	35	28	44	34	17	27	41	7	43	14	7	25	23	15	40	21	32	37	32	21	16	16	19	20	15	17	18	11	6	63					
8	Число бюллетеней в стационарных ящиках для голосования	43208	684	1311	1348	1521	830	922	962	1521	1465	1107	1391	1427	1074	1304	967	1297	513	763	678	403	1240	1683	1002	1287	549	1397	1177	1102	1360	1270	1130	957	996	1219	1257	1323	1360	1048	363					
9	Число недействительных избирательных бюллетеней	213	2	5	4	7	8	3	4	6	8	11	4	7	4	7	6	6	9	4	9	12	5	7	5	1	1	4	7	6	4	5	6	6	3	5	3	2	2	10	5					
10	Число действительных избирательных бюллетеней	44130	750	1329	1422	1565	861	963	997	1537	1484	1131	1415	1464	1104	1314	988	1332	511	802	683	398	1260	1699	1012	1326	569	1425	1207	1128	1377	1281	1140	970	1013	1229	1271	1339	1369	1044	421					
11	Число полученных открепительных  удостоверений	752	50	20	20	50	20	10	10	20	20	17	20	10	10	10	10	70	10	10	10	10	10	20	20	20	50	20	10	25	10	10	10	20	20	20	20	20	20	10	10					
12	Число выданных открепительных удостоверений	400	16	15	11	23	14	8	4	15	12	10	10	7	8	8	5	20	3	4	4	1	9	14	9	17	7	13	5	15	4	6	9	18	10	10	17	18	13	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	350	8	8	12	9	8	3	11	7	5	10	10	5	17	12	11	12	8	4	3	3	4	21	14	10	32	8	7	5	10	1	10	12	9	14	2	8	8	6	3					
14	Число неиспользованных открепительных удостоверений	352	34	5	9	27	6	2	6	5	8	7	10	3	2	2	5	50	7	6	6	9	1	6	11	3	43	7	5	10	6	4	1	2	10	10	3	2	7	3	9					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	2310	23	77	74	55	46	47	67	110	89	39	77	72	41	88	41	46	22	27	20	18	64	86	56	66	19	99	56	72	73	76	60	60	63	83	68	86	85	54	5					
		5.21%	3.06%	5.77%	5.19%	3.50%	5.29%	4.87%	6.69%	7.13%	5.97%	3.42%	5.43%	4.89%	3.70%	6.66%	4.12%	3.44%	4.23%	3.35%	2.89%	4.39%	5.06%	5.04%	5.51%	4.97%	3.33%	6.93%	4.61%	6.35%	5.29%	5.91%	5.24%	6.15%	6.20%	6.73%	5.34%	6.41%	6.20%	5.12%	1.17%					
19	. Малышкин Олег Александрович	608	12	15	18	30	7	14	8	25	18	17	27	17	12	20	23	21	6	9	7	4	8	15	14	13	13	25	12	12	31	21	16	17	10	10	10	21	31	8	11					
		1.37%	1.60%	1.12%	1.26%	1.91%	0.81%	1.45%	0.80%	1.62%	1.21%	1.49%	1.90%	1.16%	1.08%	1.51%	2.31%	1.57%	1.15%	1.12%	1.01%	0.98%	0.63%	0.88%	1.38%	0.98%	2.28%	1.75%	0.99%	1.06%	2.24%	1.63%	1.40%	1.74%	0.98%	0.81%	0.78%	1.57%	2.26%	0.76%	2.58%					
20	. Миронов Сергей Михайлович	300	6	5	8	12	2	5	11	9	14	8	11	10	11	14	12	3	1	11	1	1	12	10	7	14	1	10	6	3	11	5	7	6	6	13	8	8	9	9	0					
		0.68%	0.80%	0.37%	0.56%	0.76%	0.23%	0.52%	1.10%	0.58%	0.94%	0.70%	0.78%	0.68%	0.99%	1.06%	1.21%	0.22%	0.19%	1.36%	0.14%	0.24%	0.95%	0.59%	0.69%	1.06%	0.18%	0.70%	0.49%	0.26%	0.80%	0.39%	0.61%	0.61%	0.59%	1.05%	0.63%	0.60%	0.66%	0.85%	0.00%					
21	. Путин Владимир Владимирович	28468	542	844	886	1138	513	608	585	881	916	725	857	1011	730	807	627	956	371	559	477	268	905	1205	658	800	407	840	791	676	828	804	677	602	622	805	855	855	831	684	322					
		64.20%	72.07%	63.27%	62.13%	72.39%	59.03%	62.94%	58.44%	57.10%	61.39%	63.49%	60.39%	68.73%	65.88%	61.09%	63.08%	71.45%	71.35%	69.35%	68.93%	65.37%	71.54%	70.63%	64.70%	60.29%	71.40%	58.78%	65.16%	59.61%	59.96%	62.52%	59.08%	61.68%	61.22%	65.24%	67.11%	63.76%	60.61%	64.90%	75.59%					
22	. Хакамада Ирина Муцуовна	3790	60	143	132	110	109	111	94	149	141	123	133	115	103	102	65	86	36	54	24	33	88	116	71	137	23	132	95	110	111	78	99	86	97	144	120	141	118	86	15					
		8.55%	7.98%	10.72%	9.26%	7.00%	12.54%	11.49%	9.39%	9.66%	9.45%	10.77%	9.37%	7.82%	9.30%	7.72%	6.54%	6.43%	6.92%	6.70%	3.47%	8.05%	6.96%	6.80%	6.98%	10.32%	4.04%	9.24%	7.83%	9.70%	8.04%	6.07%	8.64%	8.81%	9.55%	11.67%	9.42%	10.51%	8.61%	8.16%	3.52%					
23	. Харитонов Николай Михайлович	6362	62	190	227	150	125	131	186	293	213	156	240	172	148	208	181	156	59	112	131	58	129	199	163	229	72	240	181	208	245	235	210	144	152	109	127	137	183	143	58					
		14.35%	8.24%	14.24%	15.92%	9.54%	14.38%	13.56%	18.58%	18.99%	14.28%	13.66%	16.91%	11.69%	13.36%	15.75%	18.21%	11.66%	11.35%	13.90%	18.93%	14.15%	10.20%	11.66%	16.03%	17.26%	12.63%	16.79%	14.91%	18.34%	17.74%	18.27%	18.32%	14.75%	14.96%	8.83%	9.97%	10.22%	13.35%	13.57%	13.62%					
																																														
24	Против всех	2292	45	55	77	70	59	47	46	70	93	63	70	67	59	75	39	64	16	30	23	16	54	68	43	67	34	79	66	47	78	62	71	55	63	65	83	91	112	60	10					
		5.17%	5.98%	4.12%	5.40%	4.45%	6.79%	4.87%	4.60%	4.54%	6.23%	5.52%	4.93%	4.55%	5.32%	5.68%	3.92%	4.78%	3.08%	3.72%	3.32%	3.90%	4.27%	3.99%	4.23%	5.05%	5.96%	5.53%	5.44%	4.14%	5.65%	4.82%	6.20%	5.64%	6.20%	5.27%	6.51%	6.79%	8.17%	5.69%	2.35%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
