Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    район Кузьминки																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №2988	УИК №2989					
1	"Число избирателей, внесенных в список"	72992	2150	2297	1621	1852	2290	1317	2127	2081	1359	1400	1605	2130	1289	2180	2323	2439	2317	2115	2294	2195	2212	2427	2643	1396	1776	1494	1900	1882	1545	1610	2212	1502	2644	2465	2130	2186	1587					
2	Число полученных избирательных бюллетеней	74900	2200	2400	1700	1900	2400	1300	2250	2200	1400	1450	1600	2200	1250	2300	2400	2550	2400	2200	2400	2300	2300	2550	2750	1450	1800	1400	2000	1950	1550	1650	2300	1450	2550	2400	2100	2300	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44983	1306	1433	1127	1126	1526	760	1574	1311	876	921	918	1328	776	1260	1461	1440	1335	1316	1338	1353	1641	1627	1629	933	954	896	1178	1165	984	941	1243	946	1399	1355	1273	1314	1020					
5	"Число избирательных бюллетеней, выданных вне помещения"	1815	61	49	22	51	64	24	64	55	43	49	45	76	37	90	65	66	51	44	46	62	55	62	39	46	44	35	72	67	41	31	38	25	44	38	38	47	29					
6	Число погашенных избирательных бюллетеней	28102	833	918	551	723	810	516	612	834	481	480	637	796	437	950	874	1044	1014	840	1016	885	604	861	1082	471	802	469	750	718	525	678	1019	479	1107	1007	789	939	551					
7	Число избирательных бюллетеней в переносных ящиках	1815	61	49	22	51	64	24	64	55	43	49	45	76	37	90	65	66	51	44	46	62	55	62	39	46	44	35	72	67	41	31	38	25	44	38	38	47	29					
8	Число бюллетеней в стационарных ящиках для голосования	44705	1306	1427	1127	1116	1526	700	1574	1311	876	872	918	1325	776	1260	1396	1434	1325	1316	1292	1353	1641	1627	1614	933	950	896	1178	1165	983	938	1243	946	1399	1355	1273	1314	1020					
9	Число недействительных избирательных бюллетеней	502	13	11	30	8	0	5	15	13	9	5	4	8	1	15	0	12	16	15	11	12	19	50	10	17	12	7	10	9	10	12	25	8	54	12	10	19	15					
10	Число действительных избирательных бюллетеней	46018	1354	1465	1119	1159	1590	719	1623	1353	910	916	959	1393	812	1335	1461	1488	1360	1345	1327	1403	1677	1639	1643	962	982	924	1240	1223	1014	957	1256	963	1389	1381	1301	1342	1034					
11	Число полученных открепительных  удостоверений	2220	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60					
12	Число выданных открепительных удостоверений	2124	60	60	60	60	60	23	60	60	60	60	23	60	38	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	890	23	17	24	26	32	17	22	21	24	14	17	32	16	18	29	37	36	28	46	23	34	21	42	24	11	15	18	29	22	27	17	16	18	20	23	6	45					
14	Число неиспользованных открепительных удостоверений	96	0	0	0	0	0	37	0	0	0	0	37	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	28	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	4	0	3	0	0	2	1	2	1	1	3	0	0	2	0	3	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
