Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Каргасокская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480					
1	"Число избирателей, внесенных в список избирателей"	17494	190	228	1389	1815	316	444	165	248	377	198	404	1293	1385	1049	773	849	1465	1445	576	637	216	113	177	210	192	160	131	397	430	222					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17226	195	214	1420	1700	314	420	166	247	380	205	370	1270	1340	1040	760	830	1450	1435	575	632	208	110	178	204	204	180	135	398	418	228					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	206	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8204	73	156	650	722	177	349	129	125	250	116	214	549	584	394	293	380	598	550	200	264	186	74	99	136	134	94	73	223	279	133					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	940	5	20	89	78	9	48	4	24	34	16	25	115	60	31	23	36	25	45	27	64	17	7	13	7	6	5	11	33	12	51					
6	Число погашенных избирательных бюллетеней	7876	117	38	681	694	128	23	33	98	96	73	131	606	696	615	444	414	827	840	348	304	5	29	66	61	64	81	51	142	127	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1146	5	20	89	284	9	48	4	24	34	16	25	115	60	31	23	36	25	45	27	64	17	7	13	7	6	5	11	33	12	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8204	73	156	650	722	177	349	129	125	250	116	214	549	584	394	293	380	598	550	200	264	186	74	99	136	134	94	73	223	279	133					
9	Число недействительных избирательных бюллетеней	135	6	5	4	22	1	7	0	2	1	2	2	11	15	5	5	6	14	7	1	3	1	0	1	0	1	1	2	1	5	4					
10	Число действительных избирательных бюллетеней	9215	72	171	735	984	185	390	133	147	283	130	237	653	629	420	311	410	609	588	226	325	202	81	111	143	139	98	82	255	286	180					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	900	20	20	65	80	25	30	20	20	25	20	40	40	40	40	40	40	40	40	30	30	20	20	20	20	15	15	15	25	25	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	157	0	1	9	32	1	0	2	0	7	2	3	12	12	7	2	2	10	13	1	0	0	0	10	0	12	0	0	4	2	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	90	1	4	1	4	1	5	1	1	4	1	23	12	2	1	1	4	1	1	0	0	2	1	3	0	5	1	1	3	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	743	20	19	56	48	24	30	18	20	18	18	37	28	28	33	38	38	30	27	29	30	20	20	10	20	3	15	15	21	23	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	1	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1589	13	23	79	158	34	41	11	21	39	24	45	141	135	84	56	75	125	91	63	69	27	14	10	20	24	10	17	36	70	34					
		16.99%	16.67%	13.07%	10.69%	15.71%	18.28%	10.33%	8.27%	14.09%	13.73%	18.18%	18.83%	21.23%	20.96%	19.76%	17.72%	18.03%	20.06%	15.29%	27.75%	21.04%	13.30%	17.28%	8.93%	13.99%	17.14%	10.10%	20.24%	14.06%	24.05%	18.48%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1309	13	35	113	174	17	73	18	19	30	27	37	84	83	55	56	56	87	101	31	22	18	10	20	18	14	15	7	34	26	16					
		14.00%	16.67%	19.89%	15.29%	17.30%	9.14%	18.39%	13.53%	12.75%	10.56%	20.45%	15.48%	12.65%	12.89%	12.94%	17.72%	13.46%	13.96%	16.97%	13.66%	6.71%	8.87%	12.35%	17.86%	12.59%	10.00%	15.15%	8.33%	13.28%	8.93%	8.70%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	87	0	3	6	14	3	6	0	1	6	1	1	5	3	3	3	4	2	3	2	4	2	1	1	1	2	2	1	4	3	0					
		0.93%	0.00%	1.70%	0.81%	1.39%	1.61%	1.51%	0.00%	0.67%	2.11%	0.76%	0.42%	0.75%	0.47%	0.71%	0.95%	0.96%	0.32%	0.50%	0.88%	1.22%	0.99%	1.23%	0.89%	0.70%	1.43%	2.02%	1.19%	1.56%	1.03%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1335	12	9	118	182	19	38	10	17	46	20	15	103	107	93	53	63	121	74	18	43	10	8	29	26	7	10	11	32	24	17					
		14.28%	15.38%	5.11%	15.97%	18.09%	10.22%	9.57%	7.52%	11.41%	16.20%	15.15%	6.28%	15.51%	16.61%	21.88%	16.77%	15.14%	19.42%	12.44%	7.93%	13.11%	4.93%	9.88%	25.89%	18.18%	5.00%	10.10%	13.10%	12.50%	8.25%	9.24%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	216	2	4	21	48	3	6	1	1	9	0	5	25	11	7	9	13	11	16	3	8	0	0	1	4	0	0	0	5	2	1					
		2.31%	2.56%	2.27%	2.84%	4.77%	1.61%	1.51%	0.75%	0.67%	3.17%	0.00%	2.09%	3.77%	1.71%	1.65%	2.85%	3.13%	1.77%	2.69%	1.32%	2.44%	0.00%	0.00%	0.89%	2.80%	0.00%	0.00%	0.00%	1.95%	0.69%	0.54%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4628	32	97	395	397	109	226	93	87	152	57	132	293	288	177	132	197	258	303	108	178	143	48	47	74	91	58	44	144	156	112					
		49.50%	41.03%	55.11%	53.45%	39.46%	58.60%	56.93%	69.92%	58.39%	53.52%	43.18%	55.23%	44.13%	44.72%	41.65%	41.77%	47.36%	41.41%	50.92%	47.58%	54.27%	70.44%	59.26%	41.96%	51.75%	65.00%	58.59%	52.38%	56.25%	53.61%	60.87%					
