Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Заветинская 																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  2437	УИК  2438	УИК  2439					
1	"Число избирателей, внесенных в списки"	11026	2802	2010	662	1008	803	620	685	709	563	724	127	157	156					
2	"Число бюллетеней, полученных участковыми комиссиями"	11027	2730	1990	700	1000	820	630	690	710	580	740	123	160	154					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6075	1293	1037	389	609	481	397	460	448	272	441	90	74	84					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1160	181	103	92	100	134	73	69	121	79	116	27	37	28					
6	Число погашенных бюллетеней	3792	1256	850	219	291	205	160	161	141	229	183	6	49	42					
7	Число бюллетеней в переносных ящиках для голосования	1160	181	103	92	100	134	73	69	121	79	116	27	37	28					
8	Число бюллетеней в стационарных ящиках для голосования	6067	1287	1037	389	609	481	397	460	446	272	441	90	74	84					
9	Число недействительных бюллетеней	96	20	2	2	30	6	8	7	4	8	5	0	1	3					
10	Число действительных бюллетеней	7131	1448	1138	479	679	609	462	522	563	343	552	117	110	109					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	195	49	36	8	18	15	10	13	13	10	14	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	93	23	10	8	1	4	9	12	2	4	14	3	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	9	2	1	0	0	1	3	2	1	1	3	2	1					
14	Число погашенных открепительных удостоверений	102	26	26	0	17	11	1	1	11	6	0	0	3	0					
15	Число открепительных удостоверений выданных ТИК	5	0	0	4	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	107	11	4	0	14	15	6	17	10	12	11	4	0	3					
		1.48%	0.74%	0.35%	0.0%	1.97%	2.43%	1.27%	3.21%	1.76%	3.41%	1.97%	3.41%	0.0%	2.67%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	93	26	14	5	12	11	6	2	9	2	6	0	0	0					
		1.28%	1.77%	1.22%	1.03%	1.69%	1.78%	1.27%	0.37%	1.58%	0.56%	1.07%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	116	31	20	13	8	3	6	10	9	8	6	0	1	1					
		1.60%	2.11%	1.75%	2.70%	1.12%	0.48%	1.27%	1.89%	1.58%	2.27%	1.07%	0.0%	0.90%	0.89%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	109	15	7	4	6	12	10	18	16	6	5	6	4	0					
		1.50%	1.02%	0.61%	0.83%	0.84%	1.95%	2.12%	3.40%	2.82%	1.70%	0.89%	5.12%	3.60%	0.0%					
22	"5. ""За Русь Святую"""	25	3	5	0	2	4	3	2	2	1	2	1	0	0					
		0.34%	0.20%	0.43%	0.0%	0.28%	0.65%	0.63%	0.37%	0.35%	0.28%	0.35%	0.85%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	4	1	2	0	1	1	0	2	1	1	0	0	0					
		0.17%	0.27%	0.08%	0.41%	0.0%	0.16%	0.21%	0.0%	0.35%	0.28%	0.17%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	22	6	4	1	0	0	5	1	4	0	0	0	1	0					
		0.30%	0.40%	0.35%	0.20%	0.0%	0.0%	1.06%	0.18%	0.70%	0.0%	0.0%	0.0%	0.90%	0.0%					
25	"8. ""Народно-республиканская партия России"""	7	1	0	1	1	0	1	0	2	0	0	0	1	0					
		0.09%	0.06%	0.0%	0.20%	0.14%	0.0%	0.21%	0.0%	0.35%	0.0%	0.0%	0.0%	0.90%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	16	5	3	0	0	0	4	1	0	0	0	0	2	1					
		0.22%	0.34%	0.26%	0.0%	0.0%	0.0%	0.85%	0.18%	0.0%	0.0%	0.0%	0.0%	1.80%	0.89%					
27	"10. ""Аграрная партия России"""	437	59	70	33	43	24	39	91	28	11	32	2	4	1					
		6.04%	4.01%	6.14%	6.86%	6.06%	3.90%	8.29%	17.20%	4.93%	3.13%	5.74%	1.70%	3.60%	0.89%					
28	"11. ""Истинные патриоты России"""	60	0	1	3	1	3	10	16	2	5	13	1	0	5					
		0.83%	0.0%	0.08%	0.62%	0.14%	0.48%	2.12%	3.02%	0.35%	1.42%	2.33%	0.85%	0.0%	4.46%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	57	19	14	3	0	4	6	4	2	1	4	0	0	0					
		0.78%	1.29%	1.22%	0.62%	0.0%	0.65%	1.27%	0.75%	0.35%	0.28%	0.71%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	11	3	1	0	0	1	1	1	1	1	2	0	0	0					
		0.15%	0.20%	0.08%	0.0%	0.0%	0.16%	0.21%	0.18%	0.17%	0.28%	0.35%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	2	1	0	0	2	2	0	2	0	7	0	0	3					
		0.26%	0.13%	0.08%	0.0%	0.0%	0.32%	0.42%	0.0%	0.35%	0.0%	1.25%	0.0%	0.0%	2.67%					
32	"15. ""Партия СЛОН"""	2	1	0	0	0	0	0	1	0	0	0	0	0	0					
		0.02%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	341	103	72	6	28	20	23	18	12	9	42	5	1	2					
		4.71%	7.01%	6.31%	1.24%	3.94%	3.25%	4.89%	3.40%	2.11%	2.56%	7.54%	4.27%	0.90%	1.78%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	28	2	2	3	8	2	2	2	2	1	1	0	0	3					
		0.38%	0.13%	0.17%	0.62%	1.12%	0.32%	0.42%	0.37%	0.35%	0.28%	0.17%	0.0%	0.0%	2.67%					
35	"18. ""ЛДПР"""	552	130	81	30	29	64	37	68	18	20	62	5	7	1					
		7.63%	8.85%	7.10%	6.23%	4.09%	10.40%	7.87%	12.85%	3.17%	5.69%	11.13%	4.27%	6.30%	0.89%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	105	34	14	1	8	14	8	3	12	1	6	0	0	4					
		1.45%	2.31%	1.22%	0.20%	1.12%	2.27%	1.70%	0.56%	2.11%	0.28%	1.07%	0.0%	0.0%	3.57%					
37	"20. ""Политическая партия ""Единая Россия"""	3668	711	592	319	423	314	239	134	315	164	257	66	66	68					
		50.75%	48.43%	51.92%	66.32%	59.66%	51.05%	50.85%	25.33%	55.55%	46.72%	46.14%	56.41%	59.45%	60.71%					
38	"21. ""Российская Конституционно-демократическая партия"""	41	6	3	0	0	27	0	2	2	1	0	0	0	0					
		0.56%	0.40%	0.26%	0.0%	0.0%	4.39%	0.0%	0.37%	0.35%	0.28%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	12	4	1	0	0	1	0	2	0	0	2	0	2	0					
		0.16%	0.27%	0.08%	0.0%	0.0%	0.16%	0.0%	0.37%	0.0%	0.0%	0.35%	0.0%	1.80%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1076	218	194	52	81	74	34	110	99	84	79	25	16	10					
		14.88%	14.85%	17.01%	10.81%	11.42%	12.03%	7.23%	20.79%	17.46%	23.93%	14.18%	21.36%	14.41%	8.92%					
																				
41	Против всех	214	54	34	3	15	13	19	19	14	15	14	2	5	7					
		2.96%	3.67%	2.98%	0.62%	2.11%	2.11%	4.04%	3.59%	2.46%	4.27%	2.51%	1.70%	4.50%	6.24%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
