Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Когалымская городская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311					
1	"Число избирателей, внесенных в список"	43061	2748	2651	2724	2898	2680	2040	2016	2646	2719	2730	2772	2790	2683	2623	3230	3111					
2	Число полученных избирательных бюллетеней	39450	2600	2350	2500	2500	2330	1800	1800	2570	2450	2500	2650	2650	2500	2600	2900	2750					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32770	2115	1957	1961	2215	2033	1765	1670	2078	1944	2023	2096	2085	1975	2197	2398	2258					
5	"Число избирательных бюллетеней, выданных вне помещения"	236	13	10	17	14	16	9	3	12	21	12	20	22	15	15	18	19					
6	Число погашенных избирательных бюллетеней	6444	472	383	522	271	281	26	127	480	485	465	534	543	510	388	484	473					
7	Число избирательных бюллетеней в переносных ящиках	236	13	10	17	14	16	9	3	12	21	12	20	22	15	15	18	19					
8	Число бюллетеней в стационарных ящиках для голосования	32725	2115	1957	1961	2215	2033	1765	1670	2075	1944	2018	2096	2084	1975	2182	2377	2258					
9	Число недействительных избирательных бюллетеней	225	9	18	13	18	18	6	17	17	17	15	17	0	9	19	20	12					
10	Число действительных избирательных бюллетеней	32736	2119	1949	1965	2211	2031	1768	1656	2070	1948	2015	2099	2106	1981	2178	2375	2265					
11	Число полученных открепительных  удостоверений	615	38	38	38	38	38	38	38	38	38	29	47	38	38	45	38	38					
12	Число выданных открепительных удостоверений	422	34	26	22	36	33	30	23	34	14	17	42	27	27	16	29	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3414	129	288	299	408	316	316	227	183	236	21	104	181	205	215	162	124					
14	Число неиспользованных открепительных удостоверений	193	4	12	16	2	5	8	15	4	24	12	5	11	11	29	9	26					
15	"Число открепительных удостоверений, выданных в ТИК"	85	8	8	8	5	9	5	4	4	4	5	6	8	2	4	2	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	1032	61	73	67	57	65	53	49	62	62	79	82	72	59	70	63	58					
		3.13%	2.87%	3.71%	3.39%	2.56%	3.17%	2.99%	2.93%	2.97%	3.16%	3.89%	3.88%	3.42%	2.96%	3.19%	2.63%	2.55%					
19	. Малышкин Олег Александрович	734	54	50	43	42	46	22	33	51	36	43	39	27	46	44	85	73					
		2.23%	2.54%	2.54%	2.17%	1.88%	2.24%	1.24%	1.97%	2.44%	1.83%	2.12%	1.84%	1.28%	2.31%	2.00%	3.55%	3.21%					
20	. Миронов Сергей Михайлович	175	10	6	8	12	4	6	11	10	8	13	16	13	9	17	15	17					
		0.53%	0.47%	0.31%	0.40%	0.54%	0.20%	0.34%	0.66%	0.48%	0.41%	0.64%	0.76%	0.62%	0.45%	0.77%	0.63%	0.75%					
21	. Путин Владимир Владимирович	26362	1695	1573	1624	1831	1621	1438	1348	1664	1585	1602	1663	1682	1587	1739	1892	1818					
		79.98%	79.65%	79.97%	82.10%	82.14%	79.11%	81.06%	80.57%	79.73%	80.66%	78.92%	78.59%	79.87%	79.75%	79.15%	79.00%	79.84%					
22	. Хакамада Ирина Муцуовна	1343	109	86	69	79	85	91	57	92	81	76	77	94	89	89	77	92					
		4.07%	5.12%	4.37%	3.49%	3.54%	4.15%	5.13%	3.41%	4.41%	4.12%	3.74%	3.64%	4.46%	4.47%	4.05%	3.22%	4.04%					
23	. Харитонов Николай Михайлович	1766	101	82	93	104	124	90	87	97	84	104	135	125	110	146	169	115					
		5.36%	4.75%	4.17%	4.70%	4.67%	6.05%	5.07%	5.20%	4.65%	4.27%	5.12%	6.38%	5.94%	5.53%	6.65%	7.06%	5.05%					
																							
24	Против всех	1324	89	79	61	86	86	68	71	94	92	98	87	93	81	73	74	92					
		4.02%	4.18%	4.02%	3.08%	3.86%	4.20%	3.83%	4.24%	4.50%	4.68%	4.83%	4.11%	4.42%	4.07%	3.32%	3.09%	4.04%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
