Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Пестречинская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420					
1	"Число избирателей, внесенных в список избирателей"	21953	186	983	214	441	187	273	207	257	755	1426	438	1044	1132	1021	227	381	594	1442	1471	1399	1382	1419	273	186	588	474	1322	1041	870	320					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22060	193	985	214	433	188	281	209	259	759	1423	435	1046	1139	1033	231	383	591	1442	1478	1409	1399	1431	270	186	591	477	1333	1041	880	321					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20154	173	871	165	411	180	252	203	228	738	1384	406	943	1068	976	195	368	570	1331	1421	1311	880	1348	263	100	541	472	1294	971	806	285					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1131	11	97	48	22	5	18	3	24	15	21	29	90	48	39	30	11	16	85	20	66	94	48	7	85	43	1	17	61	45	32					
6	Число погашенных избирательных бюллетеней	775	9	17	1	0	3	11	3	7	6	18	0	13	23	18	6	4	5	26	37	32	425	35	0	1	7	4	22	9	29	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1131	11	97	48	22	5	18	3	24	15	21	29	90	48	39	30	11	16	85	20	66	94	48	7	85	43	1	17	61	45	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20154	173	871	165	411	180	252	203	228	738	1384	406	943	1068	976	195	368	570	1331	1421	1311	880	1348	263	100	541	472	1294	971	806	285					
9	Число недействительных избирательных бюллетеней	48	1	0	2	0	3	0	0	0	0	0	0	3	1	0	0	0	0	3	2	1	23	3	0	2	0	0	0	1	1	2					
10	Число действительных избирательных бюллетеней	21237	183	968	211	433	182	270	206	252	753	1405	435	1030	1115	1015	225	379	586	1413	1439	1376	951	1393	270	183	584	473	1311	1031	850	315					
