Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Дальнеконстантиновская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804					
1	"Число избирателей, внесенных в список избирателей"	17583	828	1017	898	972	305	340	645	411	502	310	355	642	870	625	417	304	857	473	463	384	1129	298	614	408	178	563	568	912	995	300					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18000	800	950	900	1000	310	390	700	420	500	330	360	670	960	650	430	300	870	500	480	390	1160	300	610	440	200	600	570	890	1000	320					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9533	475	684	519	611	181	196	345	191	265	108	146	297	388	332	116	117	409	235	190	194	579	86	228	203	94	402	447	704	676	115					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2577	72	51	33	38	48	11	92	113	88	129	54	147	47	112	163	79	89	88	119	111	142	136	175	100	46	84	68	5	5	132					
6	Число погашенных избирательных бюллетеней	5890	253	215	348	351	81	183	263	116	147	93	160	226	525	206	151	104	372	177	171	85	439	78	207	137	60	114	55	181	319	73					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2577	72	51	33	38	48	11	92	113	88	129	54	147	47	112	163	79	89	88	119	111	142	136	175	100	46	84	68	5	5	132					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9530	475	684	519	610	181	196	345	191	265	108	146	297	388	332	116	117	409	235	190	194	579	86	228	203	94	400	447	704	676	115					
9	Число недействительных избирательных бюллетеней	172	9	8	7	3	1	4	6	0	3	2	0	3	6	5	2	0	7	2	2	0	44	5	2	13	2	2	5	18	9	2					
10	Число действительных избирательных бюллетеней	11935	538	727	545	645	228	203	431	304	350	235	200	441	429	439	277	196	491	321	307	305	677	217	401	290	138	482	510	691	672	245					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	557	30	45	10	45	14	16	19	15	10	45	5	10	29	10	10	10	20	19	15	15	35	10	16	10	5	14	10	20	30	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	540	30	45	10	45	14	16	19	15	10	45	5	10	29	10	10	10	20	19	15	15	22	10	16	10	5	14	10	18	28	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	187	15	17	6	15	2	1	3	1	4	2	4	9	10	6	2	2	9	6	6	6	12	3	2	7	3	7	6	6	12	3					
14	Число погашенных неиспользованных открепительных удостоверений	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	2	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	3	1	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1025	45	82	48	68	29	24	56	21	40	22	2	59	50	23	25	13	56	25	23	24	41	13	54	26	7	2	3	54	62	28					
		8.47%	8.23%	11.16%	8.70%	10.49%	12.66%	11.59%	12.81%	6.91%	11.33%	9.28%	1.00%	13.29%	11.49%	5.18%	8.96%	6.63%	11.24%	7.74%	7.44%	7.87%	5.69%	5.86%	13.40%	8.58%	5.00%	0.41%	0.58%	7.62%	9.10%	11.34%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1515	71	64	66	76	21	32	64	41	44	24	4	62	49	42	29	19	72	26	55	44	70	20	62	39	24	3	6	185	178	23					
		12.51%	12.98%	8.71%	11.96%	11.73%	9.17%	15.46%	14.65%	13.49%	12.46%	10.13%	2.00%	13.96%	11.26%	9.46%	10.39%	9.69%	14.46%	8.05%	17.80%	14.43%	9.71%	9.01%	15.38%	12.87%	17.14%	0.62%	1.17%	26.09%	26.14%	9.31%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	97	2	9	6	7	4	2	2	4	3	1	0	2	2	6	1	2	6	0	3	2	4	1	4	0	5	0	0	7	12	0					
		0.80%	0.37%	1.22%	1.09%	1.08%	1.75%	0.97%	0.46%	1.32%	0.85%	0.42%	0.00%	0.45%	0.46%	1.35%	0.36%	1.02%	1.20%	0.00%	0.97%	0.66%	0.55%	0.45%	0.99%	0.00%	3.57%	0.00%	0.00%	0.99%	1.76%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3293	202	244	198	223	59	44	98	94	82	45	57	147	210	145	83	55	170	79	81	78	121	73	68	89	52	80	94	98	190	34					
		27.20%	36.93%	33.20%	35.87%	34.41%	25.76%	21.26%	22.43%	30.92%	23.23%	18.99%	28.50%	33.11%	48.28%	32.66%	29.75%	28.06%	34.14%	24.46%	26.21%	25.57%	16.78%	32.88%	16.87%	29.37%	37.14%	16.53%	18.25%	13.82%	27.90%	13.77%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	123	9	7	12	8	1	0	2	2	9	2	2	2	2	1	0	5	6	5	3	4	1	4	10	2	0	1	1	11	7	4					
		1.02%	1.65%	0.95%	2.17%	1.23%	0.44%	0.00%	0.46%	0.66%	2.55%	0.84%	1.00%	0.45%	0.46%	0.23%	0.00%	2.55%	1.20%	1.55%	0.97%	1.31%	0.14%	1.80%	2.48%	0.66%	0.00%	0.21%	0.19%	1.55%	1.03%	1.62%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5843	206	320	211	261	114	100	208	141	172	141	135	168	115	222	138	102	179	185	141	152	437	105	202	134	50	395	405	330	220	154					
		48.26%	37.66%	43.54%	38.22%	40.28%	49.78%	48.31%	47.60%	46.38%	48.73%	59.49%	67.50%	37.84%	26.44%	50.00%	49.46%	52.04%	35.94%	57.28%	45.63%	49.84%	60.61%	47.30%	50.12%	44.22%	35.71%	81.61%	78.64%	46.54%	32.31%	62.35%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	39	3	1	4	2	0	1	1	1	0	0	0	1	1	0	1	0	2	1	1	1	3	1	1	0	0	1	1	6	3	2					
		0.32%	0.55%	0.14%	0.72%	0.31%	0.00%	0.48%	0.23%	0.33%	0.00%	0.00%	0.00%	0.23%	0.23%	0.00%	0.36%	0.00%	0.40%	0.31%	0.32%	0.33%	0.42%	0.45%	0.25%	0.00%	0.00%	0.21%	0.19%	0.85%	0.44%	0.81%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
